season_id,player,gender,finish,origin,team,pair_id,source
s02_real_world_road_rules_challenge,Beth Stolarczyk,F,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Los Angeles,Real World,,cast
s02_real_world_road_rules_challenge,Janet Choi,F,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Seattle,Real World,,cast
s02_real_world_road_rules_challenge,Jason Cornwell,M,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Boston,Real World,,cast
s02_real_world_road_rules_challenge,Montana McGlynn,F,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Boston,Real World,,cast
s02_real_world_road_rules_challenge,Nathan Blackburn,M,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Seattle,Real World,,cast
s02_real_world_road_rules_challenge,Neil Forrester,M,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: London,Real World,,cast
s02_real_world_road_rules_challenge,Anne Wharton,F,Winners in Handsome Reward,w:c:roadrules:Road Rules: Northern Trail,Road Rules,,cast
s02_real_world_road_rules_challenge,Kalle Dedolph,F,Winners in Handsome Reward,w:c:roadrules:Road Rules: Islands,Road Rules,,cast
s02_real_world_road_rules_challenge,Kefla Hare,M,Winners in Handsome Reward,w:c:roadrules:Road Rules: Down Under,Road Rules,,cast
s02_real_world_road_rules_challenge,Mark Long,M,Winners in Handsome Reward,w:c:roadrules:Road Rules: USA – The First Adventure,Road Rules,,cast
s02_real_world_road_rules_challenge,Noah Rickun,M,Winners in Handsome Reward,w:c:roadrules:Road Rules: Northern Trail,Road Rules,,cast
s02_real_world_road_rules_challenge,Roni Martin,F,Winners in Handsome Reward,w:c:roadrules:Road Rules: Northern Trail,Road Rules,,cast
s03_challenge_2000,Amaya Brecher,F,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Hawaii,Real World,,cast
s03_challenge_2000,David Burns,M,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Seattle,Real World,,cast
s03_challenge_2000,Heather Gardner,F,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: New York,Real World,,cast
s03_challenge_2000,Kat Ogden,F,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: London,Real World,,cast
s03_challenge_2000,Mike Lambert,M,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Miami,Real World,,cast
s03_challenge_2000,Teck Holmes,M,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Hawaii,Real World,,cast
s03_challenge_2000,Dan Setzler,M,Winners in Handsome Reward,w:c:roadrules:Road Rules: Northern Trail,Road Rules,,cast
s03_challenge_2000,Holly Shand,F,Winners in Handsome Reward,w:c:roadrules:Road Rules: Latin America,Road Rules,,cast
s03_challenge_2000,Los Jackson,M,Winners in Handsome Reward,w:c:roadrules:Road Rules: USA – The First Adventure,Road Rules,,cast
s03_challenge_2000,Piggy Thomas,F,Winners in Handsome Reward,w:c:roadrules:Road Rules: Down Under,Road Rules,,cast
s03_challenge_2000,Veronica Portillo,F,Winners in Handsome Reward,w:c:roadrules:Road Rules: Semester at Sea,Road Rules,,cast
s03_challenge_2000,Yes Duffy,M,Winners in Handsome Reward,w:c:roadrules:Road Rules: Semester at Sea,Road Rules,,cast
s04_extreme_challenge,Dan Renzi,M,Winners in Race to the Finish,w:c:mtvrealworld:The Real World: Miami,Real World,,cast
s04_extreme_challenge,Jamie Murray,M,Winners in Race to the Finish,w:c:mtvrealworld:The Real World: New Orleans (2000),Real World,,cast
s04_extreme_challenge,Julie Stoffer,F,Winners in Race to the Finish,w:c:mtvrealworld:The Real World: New Orleans (2000),Real World,,cast
s04_extreme_challenge,Kameelah Phillips,F,Winners in Race to the Finish,w:c:mtvrealworld:The Real World: Boston,Real World,,cast
s04_extreme_challenge,Rebecca Lord,F,Winners in Race to the Finish,w:c:mtvrealworld:The Real World: Seattle,Real World,,cast
s04_extreme_challenge,Syrus Yarbrough,M,Winners in Race to the Finish,w:c:mtvrealworld:The Real World: Boston,Real World,,cast
s04_extreme_challenge,Christian Breivik,M,Runners-Up in Race to the Finish,w:c:roadrules:Road Rules: USA – The Second Adventure,Road Rules,,cast
s04_extreme_challenge,Emily Bailey,F,Runners-Up in Race to the Finish,w:c:roadrules:Road Rules: USA – The Second Adventure,Road Rules,,cast
s04_extreme_challenge,James Orlando,M,Runners-Up in Race to the Finish,w:c:roadrules:Road Rules: Maximum Velocity Tour,Road Rules,,cast
s04_extreme_challenge,Laterrian Wallace,M,Runners-Up in Race to the Finish,w:c:roadrules:Road Rules: Maximum Velocity Tour,Road Rules,,cast
s04_extreme_challenge,Michelle Parma,F,Runners-Up in Race to the Finish,w:c:roadrules:Road Rules: Europe,Road Rules,,cast
s04_extreme_challenge,Susie Meister,F,Runners-Up in Race to the Finish,w:c:roadrules:Road Rules: Down Under,Road Rules,,cast
s04_extreme_challenge,Ayanna Mackins,F,Disqualified in Ayanna's Departure,w:c:roadrules:Road Rules: Semester at Sea,Road Rules,,cast
s05_battle_of_the_seasons,Sean Duffy,M,Winners in Handsome Reward,w:c:mtvrealworld:The Real World: Boston,,row_002,cast
s05_battle_of_the_seasons,Elka Walker,F,Winners in Handsome Reward,w:c:mtvrealworld:The Real World: Boston,,row_002,cast
s05_battle_of_the_seasons,Mike Mizanin,M,Winners in Handsome Reward,w:c:mtvrealworld:The Real World: Back to New York,,row_003,cast
s05_battle_of_the_seasons,Coral Smith,F,Winners in Handsome Reward,w:c:mtvrealworld:The Real World: Back to New York,,row_003,cast
s05_battle_of_the_seasons,Danny Roberts,M,Winners in Handsome Reward,w:c:mtvrealworld:The Real World: New Orleans (2000),,row_004,cast
s05_battle_of_the_seasons,Kelley Limp,F,Winners in Handsome Reward,w:c:mtvrealworld:The Real World: New Orleans (2000),,row_004,cast
s05_battle_of_the_seasons,Theo von Kurnatowski,M,Runners-Up in Handsome Reward,w:c:roadrules:Road Rules: Maximum Velocity Tour,,row_005,cast
s05_battle_of_the_seasons,Holly Brentson,F,Runners-Up in Handsome Reward,w:c:roadrules:Road Rules: Maximum Velocity Tour,,row_005,cast
s05_battle_of_the_seasons,Dan Setzler,M,Runners-Up in Handsome Reward,w:c:roadrules:Road Rules: Northern Trail,,row_006,cast
s05_battle_of_the_seasons,Tara McDaniel,F,Runners-Up in Handsome Reward,w:c:roadrules:Road Rules: Northern Trail,,row_006,cast
s05_battle_of_the_seasons,Timmy Beggy,M,Runners-Up in Handsome Reward,w:c:roadrules:Road Rules: USA – The Second Adventure,,row_007,cast
s05_battle_of_the_seasons,Emily Bailey,F,Runners-Up in Handsome Reward,w:c:roadrules:Road Rules: USA – The Second Adventure,,row_007,cast
s05_battle_of_the_seasons,Norman Korpi,M,Eliminated in Ladder of Doom,w:c:The Real World: New York,,row_008,cast
s05_battle_of_the_seasons,Becky Blasband,F,Eliminated in Ladder of Doom,w:c:The Real World: New York,,row_008,cast
s05_battle_of_the_seasons,Josh Florence,M,Eliminated in Ladder of Doom,w:c:roadrules:Road Rules: Latin America,,row_009,cast
s05_battle_of_the_seasons,Holly Shand,F,Eliminated in Ladder of Doom,w:c:roadrules:Road Rules: Latin America,,row_009,cast
