season_id,player,fandom_wins,our_wins,diff
s02_real_world_road_rules_challenge,Beth Stolarczyk,3,0,-3
s02_real_world_road_rules_challenge,Mark Long,5,0,-5
s02_real_world_road_rules_challenge,Montana McGlynn,3,0,-3
s02_real_world_road_rules_challenge,Nathan Blackburn,3,0,-3
s02_real_world_road_rules_challenge,Roni Martin,5,0,-5
s03_challenge_2000,Amaya Brecher,3,0,-3
s03_challenge_2000,Dan Setzler,7,0,-7
s03_challenge_2000,David Burns,3,0,-3
s03_challenge_2000,Holly Shand,7,0,-7
s03_challenge_2000,Mike Lambert,3,0,-3
s03_challenge_2000,Piggy Thomas,7,0,-7
s03_challenge_2000,Veronica Portillo,7,0,-7
s03_challenge_2000,Yes Duffy,7,0,-7
s04_extreme_challenge,Ayanna Mackins,2,0,-2
s04_extreme_challenge,Dan Renzi,13,0,-13
s04_extreme_challenge,Emily Bailey,6,0,-6
s04_extreme_challenge,James Orlando,6,0,-6
s04_extreme_challenge,Jamie Murray,12,0,-12
s04_extreme_challenge,Julie Stoffer,13,0,-13
s04_extreme_challenge,Laterrian Wallace,5,0,-5
s04_extreme_challenge,Susie Meister,2,0,-2
s04_extreme_challenge,Syrus Yarbrough,12,0,-12
s06_battle_of_the_sexes,Aneesa Ferreira,0,1,1
s06_battle_of_the_sexes,Blair Herter,0,3,3
s06_battle_of_the_sexes,Dan Renzi,1,2,1
s06_battle_of_the_sexes,Ellen Cho,2,4,2
s06_battle_of_the_sexes,Emily Bailey,0,5,5
s06_battle_of_the_sexes,Genesis Moss,0,2,2
s06_battle_of_the_sexes,Gladys Sanabria,0,1,1
s06_battle_of_the_sexes,Jake Bronstein,0,1,1
s06_battle_of_the_sexes,Jamie Murray,3,11,8
s06_battle_of_the_sexes,Mark Long,1,0,-1
s06_battle_of_the_sexes,Puck Rainey,1,2,1
s06_battle_of_the_sexes,Ruthie Alcaide,2,3,1
s06_battle_of_the_sexes,Shane Landrum,1,3,2
s06_battle_of_the_sexes,Tonya Cooley,0,2,2
s07_the_gauntlet,Adam Larson,3,2,-1
s07_the_gauntlet,Cara Zavaleta,1,0,-1
s07_the_gauntlet,Coral Smith,0,1,1
s07_the_gauntlet,Darrell Taylor,1,0,-1
s07_the_gauntlet,Dave Giuntoli,2,1,-1
s07_the_gauntlet,David Broom,0,1,1
s07_the_gauntlet,Katie Cooley,0,2,2
s07_the_gauntlet,Matt Smith,0,1,1
s07_the_gauntlet,Montana McGlynn,0,1,1
s07_the_gauntlet,Rachel Braband,0,1,1
s07_the_gauntlet,Rachel Robinson,1,0,-1
s07_the_gauntlet,Roni Martin,2,1,-1
s07_the_gauntlet,Sarah Greyson,1,2,1
s07_the_gauntlet,Steve Meinke,0,1,1
s07_the_gauntlet,Theo von Kurnatowski,3,2,-1
s07_the_gauntlet,Tina Barta,0,1,1
s07_the_gauntlet,Tonya Cooley,0,1,1
s07_the_gauntlet,Veronica Portillo,3,2,-1
s08_the_inferno,Abram Boise,1,0,-1
s08_the_inferno,Ace Amerson,0,1,1
s08_the_inferno,CT Tamburello,3,5,2
s08_the_inferno,Christena Pyle,1,0,-1
s08_the_inferno,Coral Smith,1,2,1
s08_the_inferno,Darrell Taylor,2,1,-1
s08_the_inferno,David Burns,1,5,4
s08_the_inferno,Holly Shand,2,1,-1
s08_the_inferno,Julie Stoffer,0,1,1
s08_the_inferno,Katie Cooley,1,0,-1
s08_the_inferno,Leah Gillingwater,0,2,2
s08_the_inferno,Mallory Snyder,0,1,1
s08_the_inferno,Mike Mizanin,1,2,1
s08_the_inferno,Syrus Yarbrough,1,3,2
s08_the_inferno,Timmy Beggy,2,1,-1
s08_the_inferno,Trishelle Cannatella,0,1,1
s08_the_inferno,Veronica Portillo,5,4,-1
s09_battle_of_the_sexes_2,Aneesa Ferreira,0,1,1
s09_battle_of_the_sexes_2,Arissa Hill,2,3,1
s09_battle_of_the_sexes_2,Brad Fiorenza,0,4,4
s09_battle_of_the_sexes_2,Cameran Eubanks,0,1,1
s09_battle_of_the_sexes_2,Coral Smith,1,2,1
s09_battle_of_the_sexes_2,Dan Setzler,6,4,-2
s09_battle_of_the_sexes_2,Derrick Kosinski,0,1,1
s09_battle_of_the_sexes_2,Eric Nies,6,3,-3
s09_battle_of_the_sexes_2,Frank Roessler,2,3,1
s09_battle_of_the_sexes_2,Ibis Nieves,0,1,1
s09_battle_of_the_sexes_2,Katie Cooley,0,1,1
s09_battle_of_the_sexes_2,Mark Long,3,2,-1
s09_battle_of_the_sexes_2,Mike Mizanin,0,1,1
s09_battle_of_the_sexes_2,Nick Haggart,1,0,-1
s09_battle_of_the_sexes_2,Rachel Robinson,0,1,1
s09_battle_of_the_sexes_2,Randy Barry,2,1,-1
s09_battle_of_the_sexes_2,Ruthie Alcaide,1,2,1
s09_battle_of_the_sexes_2,Shane Landrum,4,3,-1
s09_battle_of_the_sexes_2,Shawn Sealy,1,0,-1
s09_battle_of_the_sexes_2,Sophia Pasquis,1,3,2
s09_battle_of_the_sexes_2,Steven Hill,2,0,-2
s09_battle_of_the_sexes_2,Theo von Kurnatowski,4,0,-4
s09_battle_of_the_sexes_2,Tina Barta,1,0,-1
s09_battle_of_the_sexes_2,Veronica Portillo,1,0,-1
s10_the_inferno_ii,Darrell Taylor,2,1,-1
s10_the_inferno_ii,Landon Lueck,4,3,-1
s10_the_inferno_ii,Mike Mizanin,4,3,-1
s11_the_gauntlet_2,Ace Amerson,3,1,-2
s11_the_gauntlet_2,Adam King,2,1,-1
s11_the_gauntlet_2,Alton Williams,11,3,-8
s11_the_gauntlet_2,Aneesa Ferreira,6,1,-5
s11_the_gauntlet_2,Beth Stolarczyk,5,3,-2
s11_the_gauntlet_2,Brad Fiorenza,5,1,-4
s11_the_gauntlet_2,Cara Zavaleta,6,1,-5
s11_the_gauntlet_2,David Burns,6,0,-6
s11_the_gauntlet_2,Derrick Kosinski,6,5,-1
s11_the_gauntlet_2,Ibis Nieves,10,0,-10
s11_the_gauntlet_2,Jamie Murray,10,0,-10
s11_the_gauntlet_2,Jeremy Blossom,6,1,-5
s11_the_gauntlet_2,Jillian Zoboroski,8,1,-7
s11_the_gauntlet_2,Jisela Delgado,2,1,-1
s11_the_gauntlet_2,Jodi Weatherton,10,0,-10
s11_the_gauntlet_2,Julie Stoffer,6,0,-6
s11_the_gauntlet_2,Katie Cooley,6,0,-6
s11_the_gauntlet_2,Kina Dean,10,3,-7
s11_the_gauntlet_2,Landon Lueck,10,0,-10
s11_the_gauntlet_2,MJ Garrett,10,0,-10
s11_the_gauntlet_2,Mark Long,6,0,-6
s11_the_gauntlet_2,Montana McGlynn,3,1,-2
s11_the_gauntlet_2,Randy Barry,10,0,-10
s11_the_gauntlet_2,Robin Hibbard,6,0,-6
s11_the_gauntlet_2,Ruthie Alcaide,4,2,-2
s11_the_gauntlet_2,Susie Meister,10,0,-10
s11_the_gauntlet_2,Syrus Yarbrough,3,1,-2
s11_the_gauntlet_2,Timmy Beggy,6,1,-5
s12_fresh_meat,Aviv Melmed,3,1,-2
s12_fresh_meat,Chanda Sneed,2,0,-2
s12_fresh_meat,Coral Smith,5,0,-5
s12_fresh_meat,Darrell Taylor,3,1,-2
s12_fresh_meat,Derrick Kosinski,3,0,-3
s12_fresh_meat,Diem Brown,3,0,-3
s12_fresh_meat,Evan Starkman,5,0,-5
s12_fresh_meat,Linette Gallo,2,0,-2
s12_fresh_meat,Shane Landrum,2,0,-2
s12_fresh_meat,Theo von Kurnatowski,2,0,-2
s13_the_duel,Aneesa Ferreira,0,1,1
s13_the_duel,Brad Fiorenza,1,2,1
s13_the_duel,CT Tamburello,3,4,1
s13_the_duel,Jodi Weatherton,8,7,-1
s13_the_duel,Svetlana Shusterman,2,3,1
s13_the_duel,Wes Bergmann,3,2,-1
s14_the_inferno_3,Abram Boise,3,2,-1
s14_the_inferno_3,Alton Williams,0,1,1
s14_the_inferno_3,Derrick Kosinski,1,0,-1
s14_the_inferno_3,Evelyn Smith,2,1,-1
s14_the_inferno_3,Janelle Casanave,2,1,-1
s14_the_inferno_3,Kenny Santucci,3,2,-1
s14_the_inferno_3,Rachel Moyal,0,1,1
s14_the_inferno_3,Tonya Cooley,2,1,-1
s15_the_gauntlet_iii,Adam King,11,2,-9
s15_the_gauntlet_iii,Beth Stolarczyk,7,0,-7
s15_the_gauntlet_iii,Big Easy Banks,11,1,-10
s15_the_gauntlet_iii,Brad Fiorenza,11,0,-11
s15_the_gauntlet_iii,Brooke LaBarbera,0,1,1
s15_the_gauntlet_iii,CT Tamburello,11,0,-11
s15_the_gauntlet_iii,Casey Cooper,10,1,-9
s15_the_gauntlet_iii,Coral Smith,10,1,-9
s15_the_gauntlet_iii,Danny Jamieson,11,0,-11
s15_the_gauntlet_iii,Derek McCray,2,1,-1
s15_the_gauntlet_iii,Diem Brown,11,1,-10
s15_the_gauntlet_iii,Evan Starkman,11,1,-10
s15_the_gauntlet_iii,Evelyn Smith,11,1,-10
s15_the_gauntlet_iii,Frank Roessler,6,3,-3
s15_the_gauntlet_iii,Jillian Zoboroski,6,2,-4
s15_the_gauntlet_iii,Johanna Botta,6,1,-5
s15_the_gauntlet_iii,Johnny Bananas,5,0,-5
s15_the_gauntlet_iii,Katie Cooley,11,1,-10
s15_the_gauntlet_iii,Kenny Santucci,11,0,-11
s15_the_gauntlet_iii,Melinda Collins,2,1,-1
s15_the_gauntlet_iii,Nehemiah Clark,6,1,-5
s15_the_gauntlet_iii,Paula Meronek,11,1,-10
s15_the_gauntlet_iii,Rachel Moyal,6,1,-5
s15_the_gauntlet_iii,Robin Hibbard,11,0,-11
s15_the_gauntlet_iii,Tori Hall,6,1,-5
s15_the_gauntlet_iii,Tyler Duckworth,0,1,1
s15_the_gauntlet_iii,Tyri Ballard-Brown,0,1,1
s15_the_gauntlet_iii,Zach Mann,1,0,-1
s16_the_island,Abram Boise,1,0,-1
s16_the_island,Jenn Grijalva,0,1,1
s16_the_island,Johanna Botta,0,1,1
s16_the_island,Rachel Robinson,0,1,1
s16_the_island,Robin Hibbard,0,1,1
s16_the_island,Tonya Cooley,0,1,1
s16_the_island,Tyri Ballard-Brown,0,1,1
s17_the_duel_ii,Aneesa Ferreira,0,3,3
s17_the_duel_ii,Big Easy Banks,0,1,1
s17_the_duel_ii,Brad Fiorenza,0,2,2
s17_the_duel_ii,Brittini Sherrod,3,2,-1
s17_the_duel_ii,Brooke LaBarbera,0,1,1
s17_the_duel_ii,Davis Mallory,0,1,1
s17_the_duel_ii,Derek McCray,0,2,2
s17_the_duel_ii,Diem Brown,0,1,1
s17_the_duel_ii,Dunbar Merrill,0,1,1
s17_the_duel_ii,Isaac Stout,0,1,1
s17_the_duel_ii,Jenn Grijalva,0,3,3
s17_the_duel_ii,Katie Cooley,0,1,1
s17_the_duel_ii,Kimberly Alexander,0,3,3
s17_the_duel_ii,Landon Lueck,5,1,-4
s17_the_duel_ii,MJ Garrett,0,3,3
s17_the_duel_ii,Mark Long,2,0,-2
s17_the_duel_ii,Nehemiah Clark,0,1,1
s17_the_duel_ii,Nick Brown,0,1,1
s17_the_duel_ii,Paula Meronek,0,1,1
s17_the_duel_ii,Rachel Robinson,5,0,-5
s17_the_duel_ii,Ryan Kehoe,0,2,2
s17_the_duel_ii,Shauvon Torres,0,1,1
s17_the_duel_ii,Tori Hall,0,1,1
s18_the_ruins,Casey Cooper,0,2,2
s18_the_ruins,Darrell Taylor,0,1,1
s18_the_ruins,Derrick Kosinski,1,3,2
s18_the_ruins,Evan Starkman,1,2,1
s18_the_ruins,Ibis Nieves,0,1,1
s18_the_ruins,Johanna Botta,0,2,2
s18_the_ruins,Johnny Bananas,1,4,3
s18_the_ruins,Katie Cooley,0,2,2
s18_the_ruins,Kenny Santucci,1,5,4
s18_the_ruins,Susie Meister,1,8,7
s18_the_ruins,Syrus Yarbrough,0,1,1
s18_the_ruins,Tonya Cooley,0,1,1
s18_the_ruins,Veronica Portillo,0,2,2
s19_fresh_meat_ii,Brandon Nelson,0,1,1
s19_fresh_meat_ii,CJ Koegel,0,2,2
s19_fresh_meat_ii,Cara Maria Sorbello,0,1,1
s19_fresh_meat_ii,Carley Johnson,3,2,-1
s19_fresh_meat_ii,Danny Jamieson,0,1,1
s19_fresh_meat_ii,Darrell Taylor,0,1,1
s19_fresh_meat_ii,Evelyn Smith,0,3,3
s19_fresh_meat_ii,Jeff Barr,0,1,1
s19_fresh_meat_ii,Jillian Zoboroski,1,2,1
s19_fresh_meat_ii,Katelynn Cusanelli,0,1,1
s19_fresh_meat_ii,Kenny Santucci,5,1,-4
s19_fresh_meat_ii,Landon Lueck,3,2,-1
s19_fresh_meat_ii,Laurel Stucky,5,1,-4
s19_fresh_meat_ii,Luke Wolfe,0,3,3
s19_fresh_meat_ii,Mandi Moyer,0,1,1
s19_fresh_meat_ii,Paula Meronek,0,1,1
s19_fresh_meat_ii,Pete Connolly,1,2,1
s19_fresh_meat_ii,Ryan Kehoe,0,1,1
s19_fresh_meat_ii,Sandy Kang,0,1,1
s19_fresh_meat_ii,Sarah Rice,0,1,1
s19_fresh_meat_ii,Sydney Walker,0,2,2
s19_fresh_meat_ii,Theresa Jones,0,1,1
s19_fresh_meat_ii,Vinny Foti,0,1,1
s19_fresh_meat_ii,Wes Bergmann,0,1,1
s20_cutthroat,Abram Boise,5,0,-5
s20_cutthroat,Big Easy Banks,1,2,1
s20_cutthroat,Brad Fiorenza,3,0,-3
s20_cutthroat,Brandon Nelson,2,3,1
s20_cutthroat,Camila Nakagawa,2,0,-2
s20_cutthroat,Cara Maria Sorbello,5,1,-4
s20_cutthroat,Chet Cannon,2,0,-2
s20_cutthroat,Dan Walsh,3,1,-2
s20_cutthroat,Derek Chavez,0,1,1
s20_cutthroat,Dunbar Merrill,3,1,-2
s20_cutthroat,Emilee Fitzpatrick,0,1,1
s20_cutthroat,Jenn Grijalva,2,0,-2
s20_cutthroat,Johnny Bananas,2,1,-1
s20_cutthroat,Katie Cooley,1,3,2
s20_cutthroat,Laurel Stucky,5,1,-4
s20_cutthroat,Luke Wolfe,5,0,-5
s20_cutthroat,Melinda Collins,2,1,-1
s20_cutthroat,Paula Meronek,2,0,-2
s20_cutthroat,Sarah Rice,5,0,-5
s20_cutthroat,Shauvon Torres,1,0,-1
s20_cutthroat,Theresa Jones,0,1,1
s20_cutthroat,Tori Hall,3,1,-2
s20_cutthroat,Tyler Duckworth,3,1,-2
s21_rivals,Adam Royer,0,1,1
s21_rivals,Evelyn Smith,5,4,-1
s21_rivals,Johnny Bananas,4,3,-1
s21_rivals,Kenny Santucci,1,2,1
s21_rivals,Paula Meronek,5,4,-1
s21_rivals,Tyler Duckworth,4,3,-1
s21_rivals,Wes Bergmann,1,2,1
s22_battle_of_the_exes,Abram Boise,0,1,1
s22_battle_of_the_exes,Aneesa Ferreira,0,2,2
s22_battle_of_the_exes,CT Tamburello,2,0,-2
s22_battle_of_the_exes,Camila Nakagawa,4,1,-3
s22_battle_of_the_exes,Cara Maria Sorbello,0,1,1
s22_battle_of_the_exes,Diem Brown,2,0,-2
s22_battle_of_the_exes,Dunbar Merrill,1,2,1
s22_battle_of_the_exes,Emily Schromm,0,3,3
s22_battle_of_the_exes,Jasmine Reynaud,0,1,1
s22_battle_of_the_exes,Johnny Bananas,4,1,-3
s22_battle_of_the_exes,Leroy Garrett,0,2,2
s22_battle_of_the_exes,Mandi Moyer,0,2,2
s22_battle_of_the_exes,Naomi Defensor,0,2,2
s22_battle_of_the_exes,Nate Stodghill,0,1,1
s22_battle_of_the_exes,Paula Meronek,1,2,1
s22_battle_of_the_exes,Priscilla Mendez,0,1,1
s22_battle_of_the_exes,Rachel Robinson,0,2,2
s22_battle_of_the_exes,Ty Ruff,0,3,3
s22_battle_of_the_exes,Tyri Ballard-Brown,0,1,1
s22_battle_of_the_exes,Wes Bergmann,0,2,2
s23_battle_of_the_seasons_2012,Ashley Kelsey,5,1,-4
s23_battle_of_the_seasons_2012,Big Easy Banks,0,3,3
s23_battle_of_the_seasons_2012,Brandon Nelson,0,1,1
s23_battle_of_the_seasons_2012,CJ Koegel,2,1,-1
s23_battle_of_the_seasons_2012,Camila Nakagawa,0,2,2
s23_battle_of_the_seasons_2012,Cara Maria Sorbello,0,2,2
s23_battle_of_the_seasons_2012,Coral Smith,2,0,-2
s23_battle_of_the_seasons_2012,Dan Setzler,1,0,-1
s23_battle_of_the_seasons_2012,Danny Jamieson,0,1,1
s23_battle_of_the_seasons_2012,Danny Roberts,2,0,-2
s23_battle_of_the_seasons_2012,Derek Chavez,2,1,-1
s23_battle_of_the_seasons_2012,Devyn Simone,2,1,-1
s23_battle_of_the_seasons_2012,Elka Walker,3,0,-3
s23_battle_of_the_seasons_2012,Emily Bailey,2,0,-2
s23_battle_of_the_seasons_2012,Frank Fox,5,1,-4
s23_battle_of_the_seasons_2012,Holly Brentson,3,0,-3
s23_battle_of_the_seasons_2012,JD Ordoñez,2,1,-1
s23_battle_of_the_seasons_2012,Jasmine Reynaud,2,1,-1
s23_battle_of_the_seasons_2012,Jonna Mannion,2,1,-1
s23_battle_of_the_seasons_2012,Kelley Limp,2,0,-2
s23_battle_of_the_seasons_2012,Lacey Buehler,0,1,1
s23_battle_of_the_seasons_2012,Laura Waller,0,1,1
s23_battle_of_the_seasons_2012,Lindsay Brien,1,0,-1
s23_battle_of_the_seasons_2012,Marie Roda,0,2,2
s23_battle_of_the_seasons_2012,McKenzie Coburn,0,1,1
s23_battle_of_the_seasons_2012,Melinda Collins,0,1,1
s23_battle_of_the_seasons_2012,Mike Mizanin,2,0,-2
