season_id,player,fandom_wins,our_wins,diff
s02_real_world_road_rules_challenge,Beth Stolarczyk,3,0,-3
s02_real_world_road_rules_challenge,Mark Long,5,0,-5
s02_real_world_road_rules_challenge,Montana McGlynn,3,0,-3
s02_real_world_road_rules_challenge,Nathan Blackburn,3,0,-3
s02_real_world_road_rules_challenge,Roni Martin,5,0,-5
s03_challenge_2000,Amaya Brecher,3,0,-3
s03_challenge_2000,Dan Setzler,7,0,-7
s03_challenge_2000,David Burns,3,0,-3
s03_challenge_2000,Holly Shand,7,0,-7
s03_challenge_2000,Mike Lambert,3,0,-3
s03_challenge_2000,Piggy Thomas,7,0,-7
s03_challenge_2000,Veronica Portillo,7,0,-7
s03_challenge_2000,Yes Duffy,7,0,-7
s04_extreme_challenge,Ayanna Mackins,2,0,-2
s04_extreme_challenge,Dan Renzi,13,0,-13
s04_extreme_challenge,Emily Bailey,6,0,-6
s04_extreme_challenge,James Orlando,6,0,-6
s04_extreme_challenge,Jamie Murray,12,0,-12
s04_extreme_challenge,Julie Stoffer,13,0,-13
s04_extreme_challenge,Laterrian Wallace,5,0,-5
s04_extreme_challenge,Susie Meister,2,0,-2
s04_extreme_challenge,Syrus Yarbrough,12,0,-12
s06_battle_of_the_sexes,Amaya Brecher,1,1,0
s06_battle_of_the_sexes,Antoine de Bouverie,2,2,0
s06_battle_of_the_sexes,Ayanna Mackins,1,1,0
s06_battle_of_the_sexes,Colin Mortensen,1,1,0
s06_battle_of_the_sexes,Dan Renzi,1,2,1
s06_battle_of_the_sexes,Ellen Cho,2,4,2
s06_battle_of_the_sexes,Eric Nies,1,1,0
s06_battle_of_the_sexes,James Orlando,2,2,0
s06_battle_of_the_sexes,Jamie Murray,3,11,8
s06_battle_of_the_sexes,Mark Long,1,0,-1
s06_battle_of_the_sexes,Melissa Howard,1,1,0
s06_battle_of_the_sexes,Puck Rainey,1,2,1
s06_battle_of_the_sexes,Ruthie Alcaide,2,1,-1
s06_battle_of_the_sexes,Shane Landrum,1,3,2
s06_battle_of_the_sexes,Theo Gantt,1,1,0
s07_the_gauntlet,Adam Larson,3,8,5
s07_the_gauntlet,Alton Williams,4,6,2
s07_the_gauntlet,Cara Zavaleta,1,8,7
s07_the_gauntlet,Darrell Taylor,1,8,7
s07_the_gauntlet,Dave Giuntoli,2,8,6
s07_the_gauntlet,Mike Mizanin,1,6,5
s07_the_gauntlet,Nathan Blackburn,1,6,5
s07_the_gauntlet,Norman Korpi,1,6,5
s07_the_gauntlet,Rachel Robinson,1,8,7
s07_the_gauntlet,Roni Martin,2,8,6
s07_the_gauntlet,Sarah Greyson,1,8,7
s07_the_gauntlet,Theo Gantt,1,5,4
s07_the_gauntlet,Theo von Kurnatowski,3,8,5
s07_the_gauntlet,Veronica Portillo,3,8,5
s08_the_inferno,Abram Boise,1,11,10
s08_the_inferno,CT Tamburello,3,4,1
s08_the_inferno,Christena Pyle,1,11,10
s08_the_inferno,Coral Smith,1,4,3
s08_the_inferno,Darrell Taylor,2,11,9
s08_the_inferno,David Burns,1,4,3
s08_the_inferno,Holly Shand,2,11,9
s08_the_inferno,Katie Cooley,1,1,0
s08_the_inferno,Kendal Sheppard,1,11,10
s08_the_inferno,Mike Mizanin,1,4,3
s08_the_inferno,Syrus Yarbrough,1,4,3
s08_the_inferno,Timmy Beggy,2,0,-2
s08_the_inferno,Veronica Portillo,5,7,2
s09_battle_of_the_sexes_2,Abram Boise,1,1,0
s09_battle_of_the_sexes_2,Adam King,1,1,0
s09_battle_of_the_sexes_2,Arissa Hill,2,3,1
s09_battle_of_the_sexes_2,Chris Graebe,1,1,0
s09_battle_of_the_sexes_2,Coral Smith,1,2,1
s09_battle_of_the_sexes_2,Dan Setzler,6,4,-2
s09_battle_of_the_sexes_2,Eric Nies,6,3,-3
s09_battle_of_the_sexes_2,Frank Roessler,2,2,0
s09_battle_of_the_sexes_2,Mark Long,3,2,-1
s09_battle_of_the_sexes_2,Nick Haggart,1,0,-1
s09_battle_of_the_sexes_2,Randy Barry,2,1,-1
s09_battle_of_the_sexes_2,Robin Hibbard,1,1,0
s09_battle_of_the_sexes_2,Ruthie Alcaide,1,2,1
s09_battle_of_the_sexes_2,Shane Landrum,4,3,-1
s09_battle_of_the_sexes_2,Shawn Sealy,1,0,-1
s09_battle_of_the_sexes_2,Sophia Pasquis,1,3,2
s09_battle_of_the_sexes_2,Steven Hill,2,0,-2
s09_battle_of_the_sexes_2,Theo von Kurnatowski,4,0,-4
s09_battle_of_the_sexes_2,Tina Barta,1,0,-1
s09_battle_of_the_sexes_2,Veronica Portillo,1,0,-1
s10_the_inferno_ii,CT Tamburello,6,7,1
s10_the_inferno_ii,Darrell Taylor,2,8,6
s10_the_inferno_ii,Derrick Kosinski,2,7,5
s10_the_inferno_ii,Landon Lueck,4,8,4
s10_the_inferno_ii,Mike Mizanin,4,8,4
s11_the_gauntlet_2,Ace Amerson,3,3,0
s11_the_gauntlet_2,Adam King,2,2,0
s11_the_gauntlet_2,Adam Larson,1,0,-1
s11_the_gauntlet_2,Alton Williams,11,0,-11
s11_the_gauntlet_2,Aneesa Ferreira,6,6,0
s11_the_gauntlet_2,Beth Stolarczyk,5,5,0
s11_the_gauntlet_2,Brad Fiorenza,5,5,0
s11_the_gauntlet_2,Cameran Eubanks,1,1,0
s11_the_gauntlet_2,Cara Zavaleta,6,6,0
s11_the_gauntlet_2,Danny Dias,1,1,0
s11_the_gauntlet_2,David Burns,6,6,0
s11_the_gauntlet_2,Derrick Kosinski,6,6,0
s11_the_gauntlet_2,Ibis Nieves,10,9,-1
s11_the_gauntlet_2,Jamie Murray,10,9,-1
s11_the_gauntlet_2,Jeremy Blossom,6,6,0
s11_the_gauntlet_2,Jillian Zoboroski,8,8,0
s11_the_gauntlet_2,Jisela Delgado,2,2,0
s11_the_gauntlet_2,Jodi Weatherton,10,9,-1
s11_the_gauntlet_2,Julie Stoffer,6,6,0
s11_the_gauntlet_2,Katie Cooley,6,6,0
s11_the_gauntlet_2,Kina Dean,10,9,-1
s11_the_gauntlet_2,Landon Lueck,10,9,-1
s11_the_gauntlet_2,MJ Garrett,10,9,-1
s11_the_gauntlet_2,Mark Long,6,6,0
s11_the_gauntlet_2,Montana McGlynn,3,3,0
s11_the_gauntlet_2,Randy Barry,10,9,-1
s11_the_gauntlet_2,Robin Hibbard,6,6,0
s11_the_gauntlet_2,Ruthie Alcaide,4,0,-4
s11_the_gauntlet_2,Susie Meister,10,9,-1
s11_the_gauntlet_2,Syrus Yarbrough,3,3,0
s11_the_gauntlet_2,Timmy Beggy,6,6,0
s12_fresh_meat,Aviv Melmed,3,2,-1
s12_fresh_meat,Chanda Sneed,2,2,0
s12_fresh_meat,Coral Smith,5,5,0
s12_fresh_meat,Darrell Taylor,3,2,-1
s12_fresh_meat,Derrick Kosinski,3,3,0
s12_fresh_meat,Diem Brown,3,3,0
s12_fresh_meat,Evan Starkman,5,5,0
s12_fresh_meat,Kenny Santucci,1,1,0
s12_fresh_meat,Linette Gallo,2,2,0
s12_fresh_meat,Shane Landrum,2,2,0
s12_fresh_meat,Theo von Kurnatowski,2,2,0
s12_fresh_meat,Tina Barta,1,1,0
s13_the_duel,Beth Stolarczyk,1,1,0
s13_the_duel,Big Easy Banks,1,1,0
s13_the_duel,Brad Fiorenza,1,1,0
s13_the_duel,CT Tamburello,3,3,0
s13_the_duel,Derrick Kosinski,1,1,0
s13_the_duel,Diem Brown,3,3,0
s13_the_duel,Evan Starkman,6,6,0
s13_the_duel,Jodi Weatherton,8,7,-1
s13_the_duel,Kenny Santucci,1,1,0
s13_the_duel,Kina Dean,1,1,0
s13_the_duel,Robin Hibbard,1,1,0
s13_the_duel,Svetlana Shusterman,2,2,0
s13_the_duel,Wes Bergmann,3,2,-1
s14_the_inferno_3,Abram Boise,3,0,-3
s14_the_inferno_3,Ace Amerson,1,6,5
s14_the_inferno_3,Derrick Kosinski,1,6,5
s14_the_inferno_3,Evelyn Smith,2,9,7
s14_the_inferno_3,Janelle Casanave,2,9,7
s14_the_inferno_3,Johnny Bananas,2,6,4
s14_the_inferno_3,Kenny Santucci,3,4,1
s14_the_inferno_3,Paula Meronek,1,6,5
s14_the_inferno_3,Susie Meister,3,6,3
s14_the_inferno_3,Tonya Cooley,2,9,7
s15_the_gauntlet_iii,Adam King,11,10,-1
s15_the_gauntlet_iii,Beth Stolarczyk,7,6,-1
s15_the_gauntlet_iii,Big Easy Banks,11,10,-1
s15_the_gauntlet_iii,Brad Fiorenza,11,10,-1
s15_the_gauntlet_iii,CT Tamburello,11,10,-1
s15_the_gauntlet_iii,Casey Cooper,10,9,-1
s15_the_gauntlet_iii,Coral Smith,10,10,0
s15_the_gauntlet_iii,Danny Jamieson,11,10,-1
s15_the_gauntlet_iii,Derek McCray,2,2,0
s15_the_gauntlet_iii,Diem Brown,11,10,-1
s15_the_gauntlet_iii,Evan Starkman,11,10,-1
s15_the_gauntlet_iii,Evelyn Smith,11,10,-1
s15_the_gauntlet_iii,Frank Roessler,6,5,-1
s15_the_gauntlet_iii,Janelle Casanave,1,1,0
s15_the_gauntlet_iii,Jillian Zoboroski,6,5,-1
s15_the_gauntlet_iii,Johanna Botta,6,5,-1
s15_the_gauntlet_iii,Johnny Bananas,5,4,-1
s15_the_gauntlet_iii,Katie Cooley,11,10,-1
s15_the_gauntlet_iii,Kenny Santucci,11,10,-1
s15_the_gauntlet_iii,MJ Garrett,1,2,1
s15_the_gauntlet_iii,Melinda Collins,2,2,0
s15_the_gauntlet_iii,Nehemiah Clark,6,5,-1
s15_the_gauntlet_iii,Paula Meronek,11,10,-1
s15_the_gauntlet_iii,Rachel Moyal,6,5,-1
s15_the_gauntlet_iii,Robin Hibbard,11,10,-1
s15_the_gauntlet_iii,Ryan Kehoe,3,3,0
s15_the_gauntlet_iii,Tori Hall,6,5,-1
s15_the_gauntlet_iii,Zach Mann,1,1,0
s16_the_island,Abram Boise,1,1,0
s16_the_island,Derrick Kosinski,2,0,-2
s16_the_island,Evelyn Smith,3,0,-3
s16_the_island,Johnny Bananas,2,0,-2
s16_the_island,KellyAnne Judd,1,1,0
s16_the_island,Kenny Santucci,1,0,-1
s16_the_island,Paula Meronek,1,0,-1
s16_the_island,Ryan Kehoe,1,0,-1
s17_the_duel_ii,Brittini Sherrod,3,1,-2
s17_the_duel_ii,Evan Starkman,3,2,-1
s17_the_duel_ii,Landon Lueck,5,3,-2
s17_the_duel_ii,Mark Long,2,1,-1
s17_the_duel_ii,Rachel Robinson,5,1,-4
s17_the_duel_ii,Robin Hibbard,1,0,-1
s17_the_duel_ii,Ruthie Alcaide,1,1,0
s18_the_ruins,Derrick Kosinski,1,8,7
s18_the_ruins,Evan Starkman,1,8,7
s18_the_ruins,Johnny Bananas,1,8,7
s18_the_ruins,Kenny Santucci,1,8,7
s18_the_ruins,Susie Meister,1,8,7
s19_fresh_meat_ii,Carley Johnson,3,2,-1
s19_fresh_meat_ii,Jenn Grijalva,1,1,0
s19_fresh_meat_ii,Jillian Zoboroski,1,1,0
s19_fresh_meat_ii,Kenny Santucci,5,5,0
s19_fresh_meat_ii,Landon Lueck,3,2,-1
s19_fresh_meat_ii,Laurel Stucky,5,5,0
s19_fresh_meat_ii,Noor Jehangir,1,1,0
s19_fresh_meat_ii,Pete Connolly,1,1,0
s20_cutthroat,Abram Boise,5,5,0
s20_cutthroat,Ayiiia Elizarrarás,1,1,0
s20_cutthroat,Big Easy Banks,1,1,0
s20_cutthroat,Brad Fiorenza,3,2,-1
s20_cutthroat,Brandon Nelson,2,2,0
s20_cutthroat,Camila Nakagawa,2,2,0
s20_cutthroat,Cara Maria Sorbello,5,5,0
s20_cutthroat,Chet Cannon,2,2,0
s20_cutthroat,Dan Walsh,3,3,0
s20_cutthroat,Derrick Kosinski,2,2,0
s20_cutthroat,Dunbar Merrill,3,2,-1
s20_cutthroat,Emily Schromm,2,2,0
s20_cutthroat,JD Ordoñez,1,1,0
s20_cutthroat,Jenn Grijalva,2,2,0
s20_cutthroat,Johnny Bananas,2,2,0
s20_cutthroat,Katie Cooley,1,1,0
s20_cutthroat,Laurel Stucky,5,5,0
s20_cutthroat,Luke Wolfe,5,5,0
s20_cutthroat,Melinda Collins,2,2,0
s20_cutthroat,Paula Meronek,2,2,0
s20_cutthroat,Sarah Rice,5,5,0
s20_cutthroat,Shauvon Torres,1,1,0
s20_cutthroat,Tori Hall,3,2,-1
s20_cutthroat,Ty Ruff,1,1,0
s20_cutthroat,Tyler Duckworth,3,2,-1
s20_cutthroat,Vinny Foti,1,1,0
s21_rivals,Adam King,2,2,0
s21_rivals,CT Tamburello,2,2,0
s21_rivals,Cara Maria Sorbello,1,1,0
s21_rivals,Evelyn Smith,5,4,-1
s21_rivals,Jasmine Reynaud,1,1,0
s21_rivals,Jenn Grijalva,1,1,0
s21_rivals,Johnny Bananas,4,3,-1
s21_rivals,Jonna Mannion,1,1,0
s21_rivals,Kenny Santucci,1,1,0
s21_rivals,Laurel Stucky,1,1,0
s21_rivals,Leroy Garrett,2,2,0
s21_rivals,Mandi Moyer,1,1,0
s21_rivals,Michael Ross,1,1,0
s21_rivals,Paula Meronek,5,4,-1
s21_rivals,Tyler Duckworth,4,3,-1
s21_rivals,Wes Bergmann,1,1,0
s22_battle_of_the_exes,CT Tamburello,2,2,0
s22_battle_of_the_exes,Camila Nakagawa,4,3,-1
s22_battle_of_the_exes,Diem Brown,2,2,0
s22_battle_of_the_exes,Dunbar Merrill,1,1,0
s22_battle_of_the_exes,Johnny Bananas,4,3,-1
s22_battle_of_the_exes,Mark Long,1,1,0
s22_battle_of_the_exes,Paula Meronek,1,1,0
s22_battle_of_the_exes,Robin Hibbard,1,1,0
s23_battle_of_the_seasons_2012,Alton Williams,1,1,0
s23_battle_of_the_seasons_2012,Ashley Kelsey,5,4,-1
s23_battle_of_the_seasons_2012,CJ Koegel,2,2,0
s23_battle_of_the_seasons_2012,Chet Cannon,2,2,0
s23_battle_of_the_seasons_2012,Derek Chavez,2,2,0
s23_battle_of_the_seasons_2012,Devyn Simone,2,2,0
s23_battle_of_the_seasons_2012,Dustin Zito,2,2,0
s23_battle_of_the_seasons_2012,Frank Fox,5,4,-1
s23_battle_of_the_seasons_2012,JD Ordoñez,2,2,0
s23_battle_of_the_seasons_2012,Jasmine Reynaud,2,2,0
s23_battle_of_the_seasons_2012,Jemmye Carroll,1,1,0
s23_battle_of_the_seasons_2012,Jonna Mannion,2,2,0
s23_battle_of_the_seasons_2012,Nany González,1,1,0
s23_battle_of_the_seasons_2012,Ryan Knight,1,1,0
s23_battle_of_the_seasons_2012,Sam McGinn,5,4,-1
s23_battle_of_the_seasons_2012,Sarah Rice,2,2,0
s23_battle_of_the_seasons_2012,Trishelle Cannatella,2,2,0
s23_battle_of_the_seasons_2012,Zach Nichols,5,4,-1
s24_rivals_ii,Aneesa Ferreira,1,1,0
s24_rivals_ii,CT Tamburello,5,3,-2
s24_rivals_ii,Camila Nakagawa,1,1,0
s24_rivals_ii,Cara Maria Sorbello,1,1,0
s24_rivals_ii,Diem Brown,1,1,0
s24_rivals_ii,Emily Schromm,8,6,-2
s24_rivals_ii,Frank Fox,2,2,0
s24_rivals_ii,Heather Cooke,1,1,0
s24_rivals_ii,Jasmine Reynaud,1,1,0
s24_rivals_ii,Jemmye Carroll,1,1,0
s24_rivals_ii,Johnny Bananas,2,2,0
s24_rivals_ii,Jordan Wiseley,1,1,0
s24_rivals_ii,Leroy Garrett,1,1,0
s24_rivals_ii,Marlon Williams,1,1,0
s24_rivals_ii,Paula Meronek,8,6,-2
s24_rivals_ii,Theresa Jones,1,1,0
s24_rivals_ii,Trey Weatherholtz,2,2,0
s24_rivals_ii,Ty Ruff,1,1,0
s24_rivals_ii,Wes Bergmann,5,3,-2
s24_rivals_ii,Zach Nichols,2,2,0
s25_free_agents,Aneesa Ferreira,1,1,0
s25_free_agents,Brandon Nelson,1,0,-1
s25_free_agents,Brandon Swift,3,3,0
s25_free_agents,CT Tamburello,4,2,-2
s25_free_agents,Camila Nakagawa,1,0,-1
s25_free_agents,Cara Maria Sorbello,2,1,-1
s25_free_agents,Cohutta Grindstaff,2,2,0
s25_free_agents,Devyn Simone,4,2,-2
s25_free_agents,Jasmine Reynaud,1,1,0
s25_free_agents,Jessica McCain,5,3,-2
s25_free_agents,Johnny Bananas,7,3,-4
s25_free_agents,Johnny Reilly,4,3,-1
s25_free_agents,Jonna Mannion,2,2,0
s25_free_agents,Jordan Wiseley,3,3,0
s25_free_agents,Laurel Stucky,7,4,-3
s25_free_agents,Leroy Garrett,2,1,-1
s25_free_agents,Nany González,5,4,-1
s25_free_agents,Nia Moore,1,1,0
s25_free_agents,Preston Roberson-Charles,2,2,0
s25_free_agents,Theresa Jones,3,3,0
s25_free_agents,Zach Nichols,4,2,-2
s26_battle_of_the_exes_ii,Jenna Compono,1,1,0
s26_battle_of_the_exes_ii,Johnny Bananas,1,1,0
s26_battle_of_the_exes_ii,Jonna Mannion,1,1,0
s26_battle_of_the_exes_ii,Jordan Wiseley,4,3,-1
s26_battle_of_the_exes_ii,Leroy Garrett,1,1,0
s26_battle_of_the_exes_ii,Nany González,1,1,0
s26_battle_of_the_exes_ii,Nia Moore,1,1,0
s26_battle_of_the_exes_ii,Sarah Rice,4,3,-1
s26_battle_of_the_exes_ii,Theresa Jones,3,3,0
s26_battle_of_the_exes_ii,Wes Bergmann,3,3,0
s26_battle_of_the_exes_ii,Zach Nichols,1,1,0
s27_battle_of_the_bloodlines,Abram Boise,4,0,-4
