season_id,player,opponent,our_result
s08_the_inferno,Abram Boise,Shane Landrum,W
s08_the_inferno,Abram Boise,Jeremy Blossom,W
s08_the_inferno,Christena Pyle,Katie Cooley,W
s08_the_inferno,Darrell Taylor,Timmy Beggy,W
s08_the_inferno,Holly Shand,Katie Cooley,W
s08_the_inferno,Jeremy Blossom,Timmy Beggy,W
s08_the_inferno,Jeremy Blossom,Abram Boise,L
s08_the_inferno,Katie Cooley,Holly Shand,L
s08_the_inferno,Katie Cooley,Veronica Portillo,W
s08_the_inferno,Katie Cooley,Christena Pyle,L
s08_the_inferno,Shane Landrum,Abram Boise,L
s08_the_inferno,Timmy Beggy,Jeremy Blossom,L
s08_the_inferno,Timmy Beggy,Darrell Taylor,L
s08_the_inferno,Veronica Portillo,Katie Cooley,L
s10_the_inferno_ii,Abram Boise,Mike Mizanin,L
s10_the_inferno_ii,Dan Renzi,Mike Mizanin,L
s10_the_inferno_ii,Jodi Weatherton,Veronica Portillo,W
s10_the_inferno_ii,Julie Stoffer,Tonya Cooley,W
s10_the_inferno_ii,Karamo Brown,Mike Mizanin,L
s10_the_inferno_ii,Mike Mizanin,Dan Renzi,W
s10_the_inferno_ii,Mike Mizanin,Abram Boise,W
s10_the_inferno_ii,Mike Mizanin,Karamo Brown,W
s10_the_inferno_ii,Robin Hibbard,Tina Barta,W
s10_the_inferno_ii,Shavonda Billingslea,Tonya Cooley,W
s10_the_inferno_ii,Tina Barta,Robin Hibbard,L
s10_the_inferno_ii,Tonya Cooley,Shavonda Billingslea,L
s10_the_inferno_ii,Tonya Cooley,Julie Stoffer,L
s10_the_inferno_ii,Veronica Portillo,Jodi Weatherton,L
s12_fresh_meat,Aviv Melmed,Chanda Sneed,L
s12_fresh_meat,Big Easy Banks,Kenny Santucci,W
s12_fresh_meat,Casey Cooper,Linette Gallo,L
s12_fresh_meat,Casey Cooper,Melinda Collins,L
s12_fresh_meat,Chanda Sneed,Aviv Melmed,W
s12_fresh_meat,Darrell Taylor,Theo von Kurnatowski,L
s12_fresh_meat,Katie Cooley,Tina Barta,W
s12_fresh_meat,Kenny Santucci,Big Easy Banks,L
s12_fresh_meat,Linette Gallo,Casey Cooper,W
s12_fresh_meat,Melinda Collins,Casey Cooper,W
s12_fresh_meat,Ryan Kehoe,Wes Bergmann,W
s12_fresh_meat,Shane Landrum,Wes Bergmann,W
s12_fresh_meat,Theo von Kurnatowski,Kenny Santucci,L
s12_fresh_meat,Theo von Kurnatowski,Darrell Taylor,W
s12_fresh_meat,Tina Barta,Katie Cooley,L
s12_fresh_meat,Wes Bergmann,Ryan Kehoe,L
s12_fresh_meat,Wes Bergmann,Shane Landrum,L
s14_the_inferno_3,Abram Boise,Davis Mallory,L
s14_the_inferno_3,Ace Amerson,Kenny Santucci,W
s14_the_inferno_3,Aneesa Ferreira,Susie Meister,L
s14_the_inferno_3,Davis Mallory,Abram Boise,W
s14_the_inferno_3,Davis Mallory,Derrick Kosinski,W
s14_the_inferno_3,Derrick Kosinski,Davis Mallory,L
s14_the_inferno_3,Kenny Santucci,Ace Amerson,L
s14_the_inferno_3,Susie Meister,Aneesa Ferreira,W
s19_fresh_meat_ii,Vinny Foti,Kenny Santucci,L
s23_battle_of_the_seasons_2012,Chet Cannon,Preston Roberson-Charles,W
s23_battle_of_the_seasons_2012,Preston Roberson-Charles,Chet Cannon,L
s23_battle_of_the_seasons_2012,Robb Schreiber,Alton Williams,W
s23_battle_of_the_seasons_2012,Robb Schreiber,Dustin Zito,L
s24_rivals_ii,Marlon Williams,Preston Roberson-Charles,W
s27_battle_of_the_bloodlines,Abram Boise,Jamie Banks,L
s27_battle_of_the_bloodlines,Anthony Cuomo,Jenna Compono,L
s27_battle_of_the_bloodlines,Camila Nakagawa,Jenna Compono,L
