season_id,player,episode,game,opponent,fandom_result
s07_the_gauntlet,Abram Boise,12,Knock Your Block Off,Mike Mizanin,L
s10_the_inferno_ii,Abram Boise,10,Balls In,Brad Fiorenza,W
s14_the_inferno_3,Abram Boise,10,Smash House,Timmy Beggy,W
s16_the_island,Abram Boise,1,Leaning Tower,Kenny Santucci,L
s16_the_island,Abram Boise,2,Ring Wrestle,Derrick Kosinski,L
s22_battle_of_the_exes,Abram Boise,5,X Battle,Emily Schromm,L
s22_battle_of_the_exes,Abram Boise,5,X Battle,Ty Ruff,L
s08_the_inferno,Ace Amerson,2,Bug Helmet,Jeremy Blossom,L
s11_the_gauntlet_2,Ace Amerson,8,Beach Brawl,Derrick Kosinski,L
s11_the_gauntlet_2,Adam King,6,Capture the Flag,Alton Williams,L
s15_the_gauntlet_iii,Adam King,9,Ball Brawl,Danny Jamieson,W
s18_the_ruins,Adam King,3,Burnout,Syrus Yarbrough,L
s21_rivals,Adam King,| 6,| Rail Slide,Evan Starkman,W
s21_rivals,Adam King,| 6,| Rail Slide,Nehemiah Clark,W
s21_rivals,Adam King,| 8/9,| T-Bone,Johnny Bananas,L
s21_rivals,Adam King,| 8/9,| T-Bone,Tyler Duckworth,L
s26_battle_of_the_exes_ii,Adam Kuhn,1,Pole Position,Dustin Zito,W
s26_battle_of_the_exes_ii,Adam Kuhn,1,Pole Position,Jessica McCain,W
s26_battle_of_the_exes_ii,Adam Kuhn,3,"He Said, She Said",John Jacobs,W
s26_battle_of_the_exes_ii,Adam Kuhn,3,"He Said, She Said",Simone Kelly,W
s26_battle_of_the_exes_ii,Adam Kuhn,4,Breaking Up,Jemmye Carroll,W
s26_battle_of_the_exes_ii,Adam Kuhn,4,Breaking Up,Ryan Knight,W
s26_battle_of_the_exes_ii,Adam Kuhn,6/7,Stacking Up,Averey Tressler,L
s26_battle_of_the_exes_ii,Adam Kuhn,6/7,Stacking Up,Johnny Reilly,L
s11_the_gauntlet_2,Adam Larson,2,Name That Coconut,Derrick Kosinski,L
s41_vets_and_new_threats,Adrienne Naylor,10,Busting Balls,CT Tamburello,W
s41_vets_and_new_threats,Adrienne Naylor,10,Busting Balls,Tay Wilcoxson,W
s41_vets_and_new_threats,Adrienne Naylor,12,Bad Dreams,Derrick Kosinski,W
s41_vets_and_new_threats,Adrienne Naylor,12,Bad Dreams,Dee Valladares,W
s41_vets_and_new_threats,Adrienne Naylor,13,Think Alike,Leroy Garrett,W
s41_vets_and_new_threats,Adrienne Naylor,13,Think Alike,America Lopez,W
s41_vets_and_new_threats,Adrienne Naylor,15,Loose Ends,Aneesa Ferreira,W
