season_id,player,opponent,fandom_result
s29_invasion_of_the_champions,Amanda Garcia,Nicole Zanatta,L
s29_invasion_of_the_champions,Ashley Mitchell,Nicole Zanatta,W
s29_invasion_of_the_champions,Cory Wharton,Nelson Thomas,W
s29_invasion_of_the_champions,Cory Wharton,Shane Landrum,W
s29_invasion_of_the_champions,Nelson Thomas,Cory Wharton,W
s29_invasion_of_the_champions,Nicole Zanatta,Ashley Mitchell,W
s29_invasion_of_the_champions,Nicole Zanatta,Amanda Garcia,W
s29_invasion_of_the_champions,Shane Landrum,Cory Wharton,L
s33_war_of_the_worlds,CT Tamburello,Kyle Christie,L
s33_war_of_the_worlds,CT Tamburello,JP Andrade,L
s33_war_of_the_worlds,JP Andrade,Kyle Christie,L
s33_war_of_the_worlds,Julia Nolan,Natalie Negrotti,L
s33_war_of_the_worlds,Julia Nolan,Mattie Lynn Breaux,L
s33_war_of_the_worlds,Kyle Christie,CT Tamburello,W
s33_war_of_the_worlds,Kyle Christie,JP Andrade,W
s33_war_of_the_worlds,Mattie Lynn Breaux,Julia Nolan,W
s33_war_of_the_worlds,Mattie Lynn Breaux,Natalie Negrotti,W
s33_war_of_the_worlds,Natalie Negrotti,Mattie Lynn Breaux,L
s35_total_madness,Johnny Bananas,Rogan O'Connor,W
s35_total_madness,Rogan O'Connor,Johnny Bananas,L
s37_spies_lies_allies,Kaycee Clark,Nany González,W
s37_spies_lies_allies,Kyle Christie,Nelson Thomas,W
s37_spies_lies_allies,Nany González,Kaycee Clark,L
s37_spies_lies_allies,Nelson Thomas,Kyle Christie,L
s38_ride_or_dies,Aneesa Ferreira,Nany González,L
s38_ride_or_dies,Johnny Bananas,Jordan Wiseley,W
s38_ride_or_dies,Jordan Wiseley,Johnny Bananas,L
s38_ride_or_dies,Nany González,Aneesa Ferreira,W
s39_battle_for_a_new_champion,Corey Lay,Jay Starrett,W
s39_battle_for_a_new_champion,Horacio Gutiérrez Jr.,Kyland Young,L
s39_battle_for_a_new_champion,Jay Starrett,Corey Lay,L
s39_battle_for_a_new_champion,Kyland Young,Horacio Gutiérrez Jr.,W
s39_battle_for_a_new_champion,Moriah Jade,Nurys Mateo,L
s39_battle_for_a_new_champion,Nurys Mateo,Olivia Kaiser,W
s39_battle_for_a_new_champion,Nurys Mateo,Moriah Jade,W
s39_battle_for_a_new_champion,Olivia Kaiser,Nurys Mateo,L
