player,status,fandom_seasons,fandom_wins,fandom_elim_wins,fandom_elim_losses,our_seasons,our_championships,our_elim_wins,our_elim_losses,diff_summary
Abram Boise,mismatch,9.0,49.0,3.0,3.0,9,2,4,6,wins 2 vs F49; elimW 4 vs F3; elimL 6 vs F3
Ace Amerson,mismatch,4.0,12.0,0.0,2.0,4,0,1,3,wins 0 vs F12; elimW 1 vs F0; elimL 3 vs F2
Adam King,mismatch,6.0,19.0,2.0,3.0,6,0,3,5,wins 0 vs F19; elimW 3 vs F2; elimL 5 vs F3
Adam Kuhn,ok,1.0,0.0,3.0,1.0,1,0,3,1,
Adam Larson,mismatch,3.0,11.0,0.0,1.0,3,1,1,1,wins 1 vs F11; elimW 1 vs F0
Adam Royer,mismatch,1.0,1.0,,,1,0,0,0,wins 0 vs F1
Adrienne Naylor,mismatch,1.0,0.0,4.0,0.0,1,0,0,0,elimW 0 vs F4
Alex Smith,ok,1.0,0.0,0.0,1.0,1,0,0,1,
Alicia Wright,ok,1.0,0.0,0.0,1.0,1,0,0,1,
Alton Williams,mismatch,4.0,23.0,5.0,1.0,4,1,5,1,wins 1 vs F23
Amanda Garcia,mismatch,7.0,10.0,2.0,6.0,7,0,3,6,wins 0 vs F10; elimW 3 vs F2
Amaya Brecher,mismatch,2.0,5.0,,,2,0,0,1,wins 0 vs F5
Amber Borzotra,mismatch,3.0,2.0,5.0,2.0,3,1,5,2,wins 1 vs F2
Amber Martinez,ok,1.0,0.0,0.0,1.0,1,0,0,1,
America Lopez,mismatch,1.0,0.0,0.0,1.0,1,0,0,0,elimL 0 vs F1
Ammo Hall,mismatch,1.0,1.0,1.0,1.0,1,0,1,1,wins 0 vs F1
Analyse Talavera,ok,1.0,0.0,0.0,1.0,1,0,0,1,
Anastasia Miller,mismatch,1.0,0.0,0.0,1.0,1,0,0,2,elimL 2 vs F1
Aneesa Ferreira,mismatch,18.0,35.0,14.0,15.0,18,0,13,12,wins 0 vs F35; elimW 13 vs F14; elimL 12 vs F15
Angel Turlington,ok,1.0,0.0,0.0,1.0,1,0,0,1,
Angela Babicz,mismatch,1.0,0.0,0.0,1.0,1,0,0,0,elimL 0 vs F1
Angela Trimbur,mismatch,1.0,1.0,,,1,0,0,1,wins 0 vs F1
Anthony Cuomo,mismatch,1.0,5.0,,,1,0,0,1,wins 0 vs F5
Antoine de Bouverie,mismatch,1.0,10.0,,,1,0,0,0,wins 0 vs F10
Arissa Hill,mismatch,1.0,3.0,,,1,0,0,0,wins 0 vs F3
Asaf Goren,mismatch,2.0,2.0,0.0,2.0,2,0,0,1,wins 0 vs F2; elimL 1 vs F2
Ashley Cain,mismatch,1.0,1.0,1.0,1.0,1,0,0,0,wins 0 vs F1; elimW 0 vs F1; elimL 0 vs F1
Ashley Kelsey,mismatch,2.0,5.0,1.0,1.0,2,1,1,1,wins 1 vs F5
Ashley Mitchell,mismatch,10.0,19.0,4.0,6.0,11,2,3,5,seasons 11 vs F10; wins 2 vs F19; elimW 3 vs F4; elimL 5 vs F6
Averey Tressler,mismatch,3.0,2.0,3.0,2.0,3,0,2,2,wins 0 vs F2; elimW 2 vs F3
Aviv Melmed,mismatch,3.0,4.0,2.0,2.0,3,1,1,3,wins 1 vs F4; elimW 1 vs F2; elimL 3 vs F2
Ayanna Mackins,mismatch,3.0,6.0,,,3,0,0,2,wins 0 vs F6
Ayiiia Elizarrarás,mismatch,1.0,1.0,0.0,1.0,1,0,0,1,wins 0 vs F1
Bayleigh Dayton,mismatch,1.0,3.0,1.0,0.0,1,0,1,1,wins 0 vs F3; elimL 1 vs F0
Becky Blasband,mismatch,1.0,2.0,,,1,0,1,0,wins 0 vs F2
Belou Den Tex,mismatch,1.0,1.0,,,1,0,0,0,wins 0 vs F1
Ben Davis,mismatch,1.0,1.0,0.0,1.0,1,0,0,1,wins 0 vs F1
Berna Canbeldek,mismatch,2.0,6.0,1.0,1.0,2,0,2,2,wins 0 vs F6; elimW 2 vs F1; elimL 2 vs F1
Beth Stolarczyk,mismatch,7.0,21.0,2.0,2.0,7,0,2,4,wins 0 vs F21; elimL 4 vs F2
Bettina Buchanan,ok,1.0,0.0,1.0,1.0,1,0,1,1,
Big Easy Banks,mismatch,6.0,13.0,4.0,5.0,6,0,5,5,wins 0 vs F13; elimW 5 vs F4
Big T Fazakerley,mismatch,5.0,4.0,3.0,5.0,5,0,1,4,wins 0 vs F4; elimW 1 vs F3; elimL 4 vs F5
Blair Herter,mismatch,1.0,7.0,,,1,0,0,0,wins 0 vs F7
Blue Kim,ok,1.0,0.0,0.0,1.0,1,0,0,1,
Brad Fiorenza,mismatch,11.0,41.0,6.0,7.0,12,1,5,6,seasons 12 vs F11; wins 1 vs F41; elimW 5 vs F6; elimL 6 vs F7
Brandon Nelson,mismatch,6.0,3.0,3.0,5.0,6,0,3,4,wins 0 vs F3; elimL 4 vs F5
Brandon Swift,mismatch,1.0,3.0,0.0,1.0,1,0,0,1,wins 0 vs F3
Brandon Tindel,ok,1.0,0.0,,,1,0,0,0,
Briana LaCuesta,mismatch,2.0,0.0,0.0,1.0,2,0,0,2,elimL 2 vs F1
Brianna Julig,mismatch,1.0,6.0,,,1,0,0,0,wins 0 vs F6
Brianna Taylor,mismatch,1.0,1.0,0.0,1.0,1,0,0,1,wins 0 vs F1
Britni Thornton,mismatch,3.0,4.0,2.0,2.0,3,0,3,0,wins 0 vs F4; elimW 3 vs F2; elimL 0 vs F2
Brittany Baldi,ok,1.0,0.0,3.0,1.0,1,0,3,1,
Brittini Sherrod,mismatch,1.0,3.0,2.0,0.0,1,0,1,0,wins 0 vs F3; elimW 1 vs F2
Brooke LaBarbera,ok,2.0,0.0,0.0,2.0,2,0,0,2,
CJ Koegel,mismatch,2.0,2.0,0.0,2.0,2,0,0,2,wins 0 vs F2
CT Tamburello,mismatch,21.0,56.0,7.0,7.0,22,4,8,5,seasons 22 vs F21; wins 4 vs F56; elimW 8 vs F7; elimL 5 vs F7
Callum Izzard,ok,1.0,0.0,0.0,1.0,1,0,0,1,
Cameran Eubanks,mismatch,2.0,1.0,,,2,0,0,1,wins 0 vs F1
Camila Nakagawa,mismatch,10.0,16.0,9.0,4.0,10,2,7,6,wins 2 vs F16; elimW 7 vs F9; elimL 6 vs F4
Cara Maria Sorbello,mismatch,16.0,44.0,14.0,7.0,17,2,17,7,seasons 17 vs F16; wins 2 vs F44; elimW 17 vs F14
Cara Zavaleta,mismatch,3.0,20.0,2.0,1.0,3,1,1,1,wins 1 vs F20; elimW 1 vs F2
Carley Johnson,mismatch,1.0,2.0,2.0,0.0,1,1,2,0,wins 1 vs F2
Casey Cooper,mismatch,4.0,11.0,5.0,3.0,4,1,7,3,wins 1 vs F11; elimW 7 vs F5
Cedric Hodges,mismatch,1.0,2.0,2.0,0.0,1,0,1,0,wins 0 vs F2; elimW 1 vs F2
Chadwick Pelletier,mismatch,1.0,1.0,,,1,0,0,1,wins 0 vs F1
Chanda Sneed,mismatch,1.0,2.0,0.0,1.0,1,0,0,0,wins 0 vs F2; elimL 0 vs F1
Chase McNary,mismatch,1.0,0.0,0.0,1.0,1,0,0,0,elimL 0 vs F1
Chauncey Palmer,mismatch,2.0,4.0,1.0,2.0,2,0,1,1,wins 0 vs F4; elimL 1 vs F2
Chet Cannon,mismatch,4.0,4.0,2.0,2.0,4,0,2,2,wins 0 vs F4
Cheyenne Floyd,ok,1.0,0.0,0.0,1.0,1,0,0,1,
Chris Graebe,mismatch,1.0,7.0,,,1,0,0,1,wins 0 vs F7
Chris Melling,mismatch,1.0,1.0,,,1,0,0,0,wins 0 vs F1
Christena Pyle,mismatch,1.0,11.0,1.0,0.0,1,1,2,0,wins 1 vs F11; elimW 2 vs F1
Christina LeBlanc,mismatch,2.0,1.0,1.0,2.0,2,0,2,1,wins 0 vs F1; elimW 2 vs F1; elimL 1 vs F2
Cohutta Grindstaff,mismatch,4.0,4.0,3.0,4.0,4,0,4,4,wins 0 vs F4; elimW 4 vs F3
Colie,mismatch,2.0,4.0,0.0,2.0,2,0,0,2,wins 0 vs F4
Colin Mortensen,mismatch,1.0,10.0,,,1,1,0,0,wins 1 vs F10
Colleen Schneider,mismatch,2.0,3.0,1.0,1.0,2,0,1,1,wins 0 vs F3
Coral Smith,mismatch,6.0,33.0,2.0,0.0,6,1,4,0,wins 1 vs F33; elimW 4 vs F2
Corey Lay,mismatch,2.0,4.0,2.0,1.0,2,0,1,1,wins 0 vs F4; elimW 1 vs F2
Cory Wharton,mismatch,10.0,22.0,11.0,5.0,10,0,12,6,wins 0 vs F22; elimW 12 vs F11; elimL 6 vs F5
Cynthia Roberts,mismatch,2.0,1.0,,,1,0,0,1,seasons 1 vs F2; wins 0 vs F1
Da'Vonne Rogers,mismatch,2.0,3.0,5.0,2.0,2,0,3,3,wins 0 vs F3; elimW 3 vs F5; elimL 3 vs F2
Dan Renzi,mismatch,3.0,22.0,1.0,1.0,3,1,1,5,wins 1 vs F22; elimL 5 vs F1
Dan Setzler,mismatch,3.0,24.0,,,3,2,0,0,wins 2 vs F24
Dan Walsh,mismatch,2.0,3.0,0.0,3.0,2,0,1,1,wins 0 vs F3; elimW 1 vs F0; elimL 1 vs F3
Danny Dias,mismatch,1.0,1.0,0.0,1.0,1,0,0,1,wins 0 vs F1
Danny Jamieson,mismatch,6.0,15.0,0.0,6.0,6,0,0,8,wins 0 vs F15; elimL 8 vs F6
Danny Roberts,mismatch,1.0,5.0,,,1,1,1,0,wins 1 vs F5
Dario Medrano,mismatch,4.0,7.0,1.0,3.0,4,0,1,3,wins 0 vs F7
Darrell Taylor,mismatch,11.0,38.0,7.0,5.0,12,4,6,6,seasons 12 vs F11; wins 4 vs F38; elimW 6 vs F7; elimL 6 vs F5
Dave Giuntoli,mismatch,1.0,8.0,,,1,1,0,0,wins 1 vs F8
David Broom,mismatch,2.0,3.0,0.0,1.0,2,0,0,1,wins 0 vs F3
David Burns,mismatch,3.0,13.0,0.0,1.0,3,0,0,0,wins 0 vs F13; elimL 0 vs F1
Davis Mallory,mismatch,3.0,6.0,1.0,3.0,3,0,3,4,wins 0 vs F6; elimW 3 vs F1; elimL 4 vs F3
Dee Nguyen,mismatch,3.0,12.0,3.0,2.0,3,1,2,3,wins 1 vs F12; elimW 2 vs F3; elimL 3 vs F2
Dee Valladares,mismatch,1.0,2.0,0.0,1.0,1,0,0,0,wins 0 vs F2; elimL 0 vs F1
Derek Chavez,mismatch,5.0,4.0,3.0,4.0,5,0,5,5,wins 0 vs F4; elimW 5 vs F3; elimL 5 vs F4
Derek McCray,mismatch,2.0,2.0,1.0,2.0,2,0,1,2,wins 0 vs F2
Derrick Henry,mismatch,2.0,1.0,0.0,2.0,2,0,0,3,wins 0 vs F1; elimL 3 vs F2
Derrick Kosinski,mismatch,12.0,44.0,11.0,7.0,12,1,10,5,wins 1 vs F44; elimW 10 vs F11; elimL 5 vs F7
Devin Walker,mismatch,8.0,13.0,6.0,3.0,9,1,6,4,seasons 9 vs F8; wins 1 vs F13; elimL 4 vs F3
Devyn Simone,mismatch,2.0,6.0,1.0,0.0,2,0,1,0,wins 0 vs F6
Diem Brown,mismatch,8.0,20.0,1.0,5.0,8,0,1,2,wins 0 vs F20; elimL 2 vs F5
Dunbar Merrill,mismatch,6.0,4.0,2.0,4.0,6,1,1,4,wins 1 vs F4; elimW 1 vs F2
Dustin Zito,mismatch,4.0,2.0,2.0,2.0,4,0,3,1,wins 0 vs F2; elimW 3 vs F2; elimL 1 vs F2
Ed Eason,mismatch,2.0,4.0,1.0,1.0,2,0,1,2,wins 0 vs F4; elimL 2 vs F1
