player,gender,era_total,era_daily,era_elim,era_within,era_field
Abram Boise,M,1.01,1.37,0.78,2.51,1.44
Ace Amerson,M,0.01,0.55,0.66,0.0,0.3
Adam King,M,0.43,1.34,0.6,0.54,0.91
Adam Kuhn,M,0.58,0.79,0.39,0.47,0.17
Adam Larson,M,0.99,0.85,0.52,1.83,0.37
Adrienne Naylor,F,0.59,0.68,0.87,0.0,0.85
Alton Williams,M,0.83,1.51,0.57,0.41,1.22
Amanda Garcia,F,0.21,1.3,0.4,0.2,0.0
Amaya Brecher,F,0.01,0.49,0.0,0.0,0.0
Amber Borzotra,F,1.8,1.04,1.85,3.55,1.44
Amber Martinez,F,0.1,0.39,0.02,0.34,0.0
America Lopez,F,0.0,0.01,0.0,0.0,0.0
Ammo Hall,M,0.08,0.0,0.36,0.3,0.0
Analyse Talavera,F,0.03,0.65,0.0,0.0,0.0
Aneesa Ferreira,F,1.67,2.54,4.27,0.69,2.21
Angela Babicz,F,0.0,0.29,0.0,0.14,0.0
Antoine de Bouverie,M,0.24,0.41,0.24,0.2,0.0
Arissa Hill,F,0.81,0.73,0.57,0.92,0.91
Asaf Goren,M,0.26,0.46,0.0,0.36,0.0
Ashley Cain,M,0.0,0.0,0.27,0.0,0.0
Ashley Kelsey,F,0.56,0.0,0.55,0.99,0.66
Ashley Mitchell,F,4.19,2.5,2.84,8.24,3.83
Averey Tressler,F,0.31,0.44,1.16,0.34,0.0
Aviv Melmed,F,0.56,0.5,0.35,0.82,1.03
Ayanna Mackins,F,0.0,0.19,0.0,0.0,0.0
Ayiiia Elizarrarás,F,0.0,0.25,0.0,0.0,0.0
Bayleigh Dayton,F,0.54,0.3,1.0,0.43,0.76
Becky Blasband,F,0.0,0.2,0.0,0.0,0.0
Ben Davis,M,0.0,0.28,0.0,0.04,0.0
Berna Canbeldek,F,0.28,0.78,0.1,0.12,0.53
Beth Stolarczyk,F,0.39,1.24,1.19,0.48,0.0
Bettina Buchanan,F,0.16,0.41,0.6,0.18,0.0
Big Easy Banks,M,1.26,1.64,3.06,1.31,0.44
Big T Fazakerley,F,0.09,0.59,0.17,0.24,0.0
Blair Herter,M,0.4,0.57,0.4,0.37,0.0
Brad Fiorenza,M,2.37,1.29,4.39,1.68,3.15
Brandon Nelson,M,0.13,1.04,0.11,0.09,0.0
Brandon Swift,M,0.02,0.49,0.0,0.0,0.0
Brandon Tindel,M,0.0,0.18,0.0,0.0,0.0
Briana LaCuesta,F,0.0,0.3,0.0,0.0,0.0
Brianna Julig,F,0.27,0.0,0.31,0.0,0.75
Britni Thornton,F,0.33,0.5,1.67,0.34,0.0
Brittany Baldi,F,0.3,0.54,0.41,0.26,0.0
Brittini Sherrod,F,0.46,0.23,0.55,0.41,0.73
Brooke LaBarbera,F,0.0,0.81,0.0,0.0,0.0
CJ Koegel,M,0.0,0.4,0.0,0.0,0.0
CT Tamburello,M,7.59,4.98,9.42,11.35,7.16
Cameran Eubanks,F,0.03,0.98,0.0,0.0,0.0
Camila Nakagawa,F,1.81,1.18,1.7,2.74,2.42
Cara Maria Sorbello,F,6.2,4.77,6.4,6.26,7.2
Cara Zavaleta,F,0.85,0.0,1.21,1.44,0.66
Carley Johnson,F,1.04,0.35,1.26,1.38,1.07
Casey Cooper,F,0.76,0.47,0.58,0.89,1.56
Cedric Hodges,M,0.62,0.15,0.86,0.59,0.84
Chanda Sneed,F,0.2,0.0,0.0,0.12,0.17
Chauncey Palmer,M,0.02,0.11,0.0,0.0,0.0
Chet Cannon,M,0.25,0.19,0.82,0.0,0.94
Cheyenne Floyd,F,0.37,0.67,0.0,0.0,0.73
Christena Pyle,F,0.48,0.0,0.9,0.92,0.34
Christina LeBlanc,F,0.0,0.01,0.0,0.0,0.0
Cohutta Grindstaff,M,0.6,1.01,0.86,0.57,0.0
Colin Mortensen,M,0.65,0.33,0.64,0.61,0.74
