season_id,player,partner_order,partner
s21_rivals,Leroy Garrett,1,Adam Royer
s21_rivals,Leroy Garrett,2,Michael Ross
s23_battle_of_the_seasons_2012,Cara Maria Sorbello,1,Big Easy Banks
s23_battle_of_the_seasons_2012,Cara Maria Sorbello,2,Brandon Nelson
s23_battle_of_the_seasons_2012,Big Easy Banks,1,Cara Maria Sorbello
s23_battle_of_the_seasons_2012,Big Easy Banks,2,Camila Nakagawa
s23_battle_of_the_seasons_2012,Dustin Zito,1,Nany González
s23_battle_of_the_seasons_2012,Dustin Zito,2,Trishelle Cannatella
s23_battle_of_the_seasons_2012,Nany González,1,Dustin Zito
s23_battle_of_the_seasons_2012,Nany González,2,Alton Williams
s25_free_agents,Laurel Stucky,1,Cohutta Grindstaff
s25_free_agents,Laurel Stucky,2,Theresa Jones
s25_free_agents,Nany González,1,Theresa Jones
s25_free_agents,Nany González,2,Johnny Bananas
s25_free_agents,Theresa Jones,1,Nany González
s25_free_agents,Theresa Jones,2,Laurel Stucky
s25_free_agents,CT Tamburello,1,Zach Nichols
s25_free_agents,CT Tamburello,2,Johnny Bananas
s25_free_agents,Johnny Bananas,1,Nany González
s25_free_agents,Johnny Bananas,2,CT Tamburello
s26_battle_of_the_exes_ii,Theresa Jones,1,Wes Bergmann
s26_battle_of_the_exes_ii,Theresa Jones,2,Leroy Garrett
s26_battle_of_the_exes_ii,Leroy Garrett,1,Nia Moore
s26_battle_of_the_exes_ii,Leroy Garrett,2,Theresa Jones
s29_invasion_of_the_champions,Darrell Taylor,1,Johnny Bananas
s29_invasion_of_the_champions,Darrell Taylor,2,CT Tamburello
s29_invasion_of_the_champions,Laurel Stucky,1,Cara Maria Sorbello
s29_invasion_of_the_champions,Laurel Stucky,2,Camila Nakagawa
s33_war_of_the_worlds,Georgia Harrison,1,Hunter Barfield
s33_war_of_the_worlds,Georgia Harrison,2,Paulie Calafiore
s33_war_of_the_worlds,Paulie Calafiore,1,Natalie Duran
s33_war_of_the_worlds,Paulie Calafiore,2,Georgia Harrison
s33_war_of_the_worlds,Natalie Duran,1,Paulie Calafiore
s33_war_of_the_worlds,Natalie Duran,2,Turbo Çamkıran
s33_war_of_the_worlds,Wes Bergmann,1,Dee Nguyen
s33_war_of_the_worlds,Wes Bergmann,2,Da'Vonne Rogers
s33_war_of_the_worlds,Turbo Çamkıran,1,Nany González
s33_war_of_the_worlds,Turbo Çamkıran,2,Natalie Duran
s33_war_of_the_worlds,Da'Vonne Rogers,1,Stephen Bear
s33_war_of_the_worlds,Da'Vonne Rogers,2,Wes Bergmann
s36_double_agents,Aneesa Ferreira,1,Faysal Shafaat
s36_double_agents,Aneesa Ferreira,2,Leroy Garrett
s36_double_agents,Aneesa Ferreira,3,Kyle Christie
s36_double_agents,Faysal Shafaat,1,Aneesa Ferreira
s36_double_agents,Faysal Shafaat,2,Amber Borzotra
s36_double_agents,Ashley Mitchell,1,CT Tamburello
s36_double_agents,Ashley Mitchell,2,Cory Wharton
s36_double_agents,CT Tamburello,1,Ashley Mitchell
s36_double_agents,CT Tamburello,2,Big T Fazakerley
s36_double_agents,CT Tamburello,3,Amber Borzotra
s36_double_agents,Big T Fazakerley,1,Joseph Allen
s36_double_agents,Big T Fazakerley,2,CT Tamburello
s36_double_agents,Big T Fazakerley,3,Cory Wharton
s36_double_agents,Big T Fazakerley,4,CT Tamburello
s36_double_agents,Kyle Christie,1,Nany González
s36_double_agents,Kyle Christie,2,Kam Williams
s36_double_agents,Kyle Christie,3,Nany González
s36_double_agents,Kyle Christie,4,Aneesa Ferreira
s36_double_agents,Kyle Christie,5,Amber Borzotra
s36_double_agents,Kyle Christie,6,Nany González
s36_double_agents,Nany González,1,Kyle Christie
s36_double_agents,Nany González,2,Josh Martinez
s36_double_agents,Nany González,3,Kyle Christie
s36_double_agents,Leroy Garrett,1,Kaycee Clark
s36_double_agents,Leroy Garrett,2,Aneesa Ferreira
s36_double_agents,Leroy Garrett,3,Kaycee Clark
s36_double_agents,Devin Walker,1,Nicole Zanatta
s36_double_agents,Devin Walker,2,Tori Deal
s36_double_agents,Devin Walker,3,Gabby Allen
s36_double_agents,Amber Martinez,1,Nelson Thomas
