player,gender,peak_rating,peak_ranking_id,peak_season_id,active_rating,active_ranking_id,active_season_id,era_n_snapshots,era_rating
CT Tamburello,M,1.3130656311259985,657,s29_invasion_of_the_champions,0.0219248274832733,1036,s41_vets_and_new_threats,30,8.743593494478024
Jodi Weatherton,F,1.2988918261106843,239,s13_the_duel,-0.2972072178784461,996,s40_battle_of_the_eras,7,1.4958057840474064
Ashley Kelsey,F,1.2936762597993972,482,s23_battle_of_the_seasons_2012,-0.3526750548863415,687,s30_xxx_dirty_30,5,1.2936762597993972
Yeremi Hykel,M,1.2898549645152406,1036,s41_vets_and_new_threats,1.2898549645152406,1036,s41_vets_and_new_threats,1,1.2898549645152406
Sam McGinn,F,1.287939813392834,482,s23_battle_of_the_seasons_2012,0.83040126259458,541,s25_free_agents,3,1.287939813392834
Jordan Wiseley,M,1.2242819240447962,687,s30_xxx_dirty_30,0.902961389656817,1036,s41_vets_and_new_threats,15,7.702782723810629
Turbo Çamkıran,M,1.1609026949685803,1036,s41_vets_and_new_threats,1.1609026949685803,1036,s41_vets_and_new_threats,7,3.0458684591018503
Carley Johnson,F,1.1599159936490684,353,s19_fresh_meat_ii,1.2994551966787455,404,s21_rivals,3,1.1599159936490684
Tori Deal,F,1.1504392340453522,946,s38_ride_or_dies,0.5634824719048844,1036,s41_vets_and_new_threats,12,4.121201691187896
Johnny Bananas,M,1.1442855045165918,638,s28_rivals_iii,0.2759619331813963,1036,s41_vets_and_new_threats,29,10.075373881162696
Landon Lueck,M,1.1396414153160883,353,s19_fresh_meat_ii,1.1126685101773997,404,s21_rivals,7,2.811086827043046
Rogan O'Connor,M,1.137951560282226,821,s34_war_of_the_worlds_2,-0.164593848258638,1036,s41_vets_and_new_threats,5,1.6197949324055343
Jamie Banks,M,1.1290402736820566,605,s27_battle_of_the_bloodlines,0.4040832412629163,657,s29_invasion_of_the_champions,3,1.941484970027528
Jenny West,F,1.1273803688004382,996,s40_battle_of_the_eras,1.0334340836421585,1036,s41_vets_and_new_threats,6,2.1482608935456065
Derrick Kosinski,M,1.1177798841887772,687,s30_xxx_dirty_30,0.009004163043361,1036,s41_vets_and_new_threats,17,3.6567800467814604
Natalie Duran,F,1.1124228139219403,805,s33_war_of_the_worlds,0.7257609557508105,858,s36_double_agents,4,2.0198935388646766
Ashley Mitchell,F,1.093727687686021,768,s32_final_reckoning,-0.2385770128763608,1036,s41_vets_and_new_threats,11,3.647815325733907
Wes Bergmann,M,1.0934496924293335,519,s24_rivals_ii,-0.3442881401978333,892,s37_spies_lies_allies,23,5.270236706274579
Rachel Robinson,F,1.0823796364974014,996,s40_battle_of_the_eras,1.0152813033238892,1036,s41_vets_and_new_threats,14,2.52404200088182
Susie Meister,F,1.0639542519426015,320,s18_the_ruins,1.0079947118971144,371,s20_cutthroat,8,1.6534232720102842
Devin Walker,M,1.055405653598673,946,s38_ride_or_dies,-0.5567538499072668,1036,s41_vets_and_new_threats,12,3.472029119595328
Sarah Rice,F,1.0550920654936853,582,s26_battle_of_the_exes_ii,1.0156339789531232,687,s30_xxx_dirty_30,13,3.9908639815474807
Hunter Barfield,M,1.033678528278009,768,s32_final_reckoning,0.1485729746206489,858,s36_double_agents,8,3.0693954105453147
Emily Schromm,F,1.032411634209197,519,s24_rivals_ii,-0.2300371192961274,996,s40_battle_of_the_eras,7,1.8255087157672034
Paula Meronek,F,1.032411634209197,519,s24_rivals_ii,1.0595148160983905,541,s25_free_agents,13,2.607539727450587
Camila Nakagawa,F,1.0322516221522462,687,s30_xxx_dirty_30,1.004938407604507,707,s31_vendettas,12,3.3367266302558747
Svetlana Shusterman,F,1.0238707851476196,239,s13_the_duel,0.6378310082794871,281,s16_the_island,4,1.0238707851476196
Laurel Stucky,F,1.0181495552784428,541,s25_free_agents,-0.2380605167703249,1036,s41_vets_and_new_threats,16,4.360640239986827
Theo Campbell,M,1.0127085784843626,805,s33_war_of_the_worlds,0.645116025838844,1036,s41_vets_and_new_threats,6,2.47659417279315
Leroy Garrett,M,1.0111416970626734,582,s26_battle_of_the_exes_ii,-0.2363698591927337,1036,s41_vets_and_new_threats,17,3.0252714201223823
Zach Nichols,M,1.0077410498155064,707,s31_vendettas,0.2902299024402552,858,s36_double_agents,13,3.2062663814743444
Evan Starkman,M,1.0075852165494603,302,s17_the_duel_ii,-0.5153147644410134,437,s22_battle_of_the_exes,11,2.5412120694644225
Trishelle Cannatella,F,1.000699259651428,482,s23_battle_of_the_seasons_2012,-0.3104573802463117,541,s25_free_agents,8,1.1994919486035052
Evelyn Smith,F,0.9839125597817696,404,s21_rivals,0.9442511048089078,437,s22_battle_of_the_exes,10,2.8523567110812014
Emanuel Neagu,M,0.9751105874600032,957,s39_battle_for_a_new_champion,1.138520007191396,996,s40_battle_of_the_eras,4,1.228938642810032
Cara Maria Sorbello,F,0.9724390936650168,605,s27_battle_of_the_bloodlines,-0.3098718953681987,1036,s41_vets_and_new_threats,20,7.19976976759411
Nany González,F,0.9722226877199396,946,s38_ride_or_dies,-0.0978488873752029,1036,s41_vets_and_new_threats,17,2.4019026224706526
Kenny Santucci,M,0.9711326413290658,353,s19_fresh_meat_ii,0.6943132325427224,437,s22_battle_of_the_exes,11,4.317924079186981
Johnny Reilly,M,0.9620075866246308,541,s25_free_agents,-0.0114116960866842,657,s29_invasion_of_the_champions,5,1.4380601854677946
Tori Hall,F,0.9503545429054886,371,s20_cutthroat,0.894058221842617,404,s21_rivals,6,1.9992169288827797
Tyler Duckworth,M,0.9419100103657144,404,s21_rivals,1.123881175934733,437,s22_battle_of_the_exes,9,1.7271342999283363
Amber Borzotra,F,0.938498357739868,858,s36_double_agents,-0.5347305365504419,996,s40_battle_of_the_eras,5,1.6289253513306732
Cedric Hodges,M,0.9282451478830288,1036,s41_vets_and_new_threats,0.9282451478830288,1036,s41_vets_and_new_threats,1,0.9282451478830288
Derek Chavez,M,0.9277812204304334,996,s40_battle_of_the_eras,0.3367435885923328,1036,s41_vets_and_new_threats,7,1.2645248090227663
Sylvia Elsrode,F,0.91866127389786,768,s32_final_reckoning,0.8149320278809646,821,s34_war_of_the_worlds_2,6,0.9582880121575819
Mike Mizanin,M,0.8783429904163316,41,s05_battle_of_the_seasons,0.4943463743414901,162,s11_the_gauntlet_2,7,1.7591275737815721
Coral Smith,F,0.8779811963060351,41,s05_battle_of_the_seasons,-0.5029014688823015,320,s18_the_ruins,14,1.563402026013799
Kaycee Clark,F,0.8761941111878483,840,s35_total_madness,-0.1999039465132837,1036,s41_vets_and_new_threats,7,2.506661292037082
Danny Roberts,M,0.8657930519134199,41,s05_battle_of_the_seasons,1.0939987179156485,86,s07_the_gauntlet,3,0.8657930519134199
Kelley Limp,F,0.8649397807984598,41,s05_battle_of_the_seasons,0.7531146488881847,86,s07_the_gauntlet,3,0.8649397807984598
Kyle Christie,M,0.8636624984865707,707,s31_vendettas,0.950433717695173,946,s38_ride_or_dies,8,2.7666261939558363
Elka Walker,F,0.8456181119745132,41,s05_battle_of_the_seasons,-0.4259268955399233,131,s09_battle_of_the_sexes_2,5,0.9309215033935041
Sean Duffy,M,0.8450170036126563,41,s05_battle_of_the_seasons,1.084572980866351,86,s07_the_gauntlet,3,0.8450170036126563
Olivia Kaiser,F,0.8415410496295062,1036,s41_vets_and_new_threats,0.8415410496295062,1036,s41_vets_and_new_threats,4,1.6452054074387132
Cory Wharton,M,0.841009623732048,858,s36_double_agents,-0.3330142760541988,1036,s41_vets_and_new_threats,12,4.482988373906968
Vince Gliatta,M,0.8341435168972029,638,s28_rivals_iii,0.4909650901700294,687,s30_xxx_dirty_30,4,0.8341435168972029
Joss Mooney,M,0.8337750917320597,768,s32_final_reckoning,0.0741223832541618,858,s36_double_agents,6,1.2628839595883332
Mitch Reid,M,0.8333258194017726,605,s27_battle_of_the_bloodlines,0.4741519685720869,657,s29_invasion_of_the_champions,3,0.8333258194017726
Nelson Thomas,M,0.8290291476270626,687,s30_xxx_dirty_30,-0.151719402435749,957,s39_battle_for_a_new_champion,11,2.3443662552876785
Dee Nguyen,F,0.8207022856668328,821,s34_war_of_the_worlds_2,0.0763622111330511,892,s37_spies_lies_allies,5,1.5305729721801045
Brittini Sherrod,F,0.8196299846659904,302,s17_the_duel_ii,0.664673929889828,353,s19_fresh_meat_ii,3,0.8196299846659904
Jamie Murray,M,0.8185621922829561,71,s06_battle_of_the_sexes,0.5931759080085697,162,s11_the_gauntlet_2,4,1.411738100291526
Darrell Taylor,M,0.8116938524060336,103,s08_the_inferno,-0.0812119507622575,996,s40_battle_of_the_eras,21,4.0837481580445285
Diem Brown,F,0.8113364687993632,437,s22_battle_of_the_exes,-0.1550796623002988,605,s27_battle_of_the_bloodlines,14,1.1781725803184586
Frank Roessler,M,0.8105076797022768,272,s15_the_gauntlet_iii,1.0383782554593777,320,s18_the_ruins,7,0.8713561293665234
Frank Fox,M,0.8040866370169248,519,s24_rivals_ii,-0.5291078886396617,707,s31_vendettas,5,2.1738901826149313
Nehemiah Clark,M,0.8030035504409195,302,s17_the_duel_ii,-0.5191773684974285,1036,s41_vets_and_new_threats,10,1.6413476240931366
Sarah Greyson,F,0.7999822471257353,86,s07_the_gauntlet,0.7468877849155265,131,s09_battle_of_the_sexes_2,3,0.7999822471257353
Brad Fiorenza,M,0.7936421903507611,302,s17_the_duel_ii,-0.3291011443535691,996,s40_battle_of_the_eras,15,3.2433534178445917
Cara Zavaleta,F,0.7772547889189702,86,s07_the_gauntlet,-0.1576989919233606,302,s17_the_duel_ii,8,0.8122645475431505
Jenna Compono,F,0.772110084473151,657,s29_invasion_of_the_champions,-0.2723088673056326,858,s36_double_agents,11,2.6187089806072747
Eric Nies,M,0.7689683040913284,131,s09_battle_of_the_sexes_2,0.7797880580308566,162,s11_the_gauntlet_2,6,0.7689683040913284
Kam Williams,F,0.7629454975849028,707,s31_vendettas,0.6876725987877151,892,s37_spies_lies_allies,7,1.761317428147485
Dan Setzler,M,0.756321541846603,131,s09_battle_of_the_sexes_2,0.8281478083876997,162,s11_the_gauntlet_2,6,1.052670029052184
Dave Giuntoli,M,0.7504601024530757,86,s07_the_gauntlet,0.7305348179649539,131,s09_battle_of_the_sexes_2,3,0.7504601024530757
Sydney Segal,F,0.7469684137306581,1036,s41_vets_and_new_threats,0.7469684137306581,1036,s41_vets_and_new_threats,1,0.7469684137306581
Mark Long,M,0.7345516219372386,71,s06_battle_of_the_sexes,-0.3483114657923671,996,s40_battle_of_the_eras,12,1.520976652104028
Roni Martin,F,0.7328693146880482,86,s07_the_gauntlet,0.7521162337852129,131,s09_battle_of_the_sexes_2,3,0.7328693146880482
Kailah Casillas-Bird,F,0.7283631946997797,707,s31_vendettas,-0.1431809299908894,946,s38_ride_or_dies,9,0.8836854135691511
Corey Lay,M,0.7176873463356719,957,s39_battle_for_a_new_champion,0.8637589700980451,996,s40_battle_of_the_eras,3,0.7176873463356719
Ellen Cho,F,0.7137076136658836,71,s06_battle_of_the_sexes,0.8794198155572602,103,s08_the_inferno,3,0.7137076136658836
Pete Connolly,M,0.7084590644144253,353,s19_fresh_meat_ii,0.4992441772070143,404,s21_rivals,3,0.7084590644144253
Sophia Pasquis,F,0.7064352983980763,131,s09_battle_of_the_sexes_2,0.8403612310409467,162,s11_the_gauntlet_2,3,0.7064352983980763
Paulie Calafiore,M,0.7055896178422701,768,s32_final_reckoning,-0.3242543410040293,996,s40_battle_of_the_eras,6,1.9548485778465299
Mattie Lynn Breaux,F,0.7024851355073816,805,s33_war_of_the_worlds,-0.2484257433257041,892,s37_spies_lies_allies,5,0.9995904723653033
Aneesa Ferreira,F,0.6974782187794738,946,s38_ride_or_dies,-0.511321632695445,1036,s41_vets_and_new_threats,30,2.1517085865791508
Natalie Negrotti,F,0.6955508470477606,768,s32_final_reckoning,0.0102110677054935,821,s34_war_of_the_worlds_2,4,1.4113817252530243
Theo von Kurnatowski,M,0.6914770075191768,86,s07_the_gauntlet,-0.3814316549734447,272,s15_the_gauntlet_iii,11,1.8458492004692981
Ruthie Alcaide,F,0.6911632174944846,71,s06_battle_of_the_sexes,-0.1556318561663952,320,s18_the_ruins,8,0.946517052718167
Devyn Simone,F,0.691013370299928,482,s23_battle_of_the_seasons_2012,0.3305187421327673,582,s26_battle_of_the_exes_ii,4,1.1050753600280532
Jamie Chung,F,0.6908370859412635,148,s10_the_inferno_ii,0.8846741253425406,162,s11_the_gauntlet_2,2,0.6908370859412635
Arissa Hill,F,0.6906840084423831,131,s09_battle_of_the_sexes_2,0.8293502169271515,162,s11_the_gauntlet_2,3,0.6906840084423831
Nia Moore,F,0.6873128619642845,582,s26_battle_of_the_exes_ii,-0.4234978890770819,1036,s41_vets_and_new_threats,5,0.8362157415108995
Adam Larson,M,0.6870507174037087,86,s07_the_gauntlet,-0.7656052868452687,162,s11_the_gauntlet_2,6,0.6870507174037087
Jillian Zoboroski,F,0.6815281627073673,272,s15_the_gauntlet_iii,0.6662604934472685,404,s21_rivals,8,1.3573982992430054
Janelle Casanave,F,0.6809245931805051,256,s14_the_inferno_3,-0.7069640827291104,320,s18_the_ruins,5,0.766842482644411
Johanna Botta,F,0.6744788329473339,272,s15_the_gauntlet_iii,-0.2794155280743379,371,s20_cutthroat,8,1.555014788019263
Theresa Jones,F,0.6732718873716297,582,s26_battle_of_the_exes_ii,0.0016911517284275,892,s37_spies_lies_allies,11,0.8365909660407439
Kyland Young,M,0.6707473020768575,996,s40_battle_of_the_eras,0.3026660940999091,1036,s41_vets_and_new_threats,3,0.6707473020768575
Dunbar Merrill,M,0.6669125129385424,371,s20_cutthroat,-0.2834624581016131,541,s25_free_agents,10,0.6669125129385424
Nurys Mateo,F,0.666776608164577,957,s39_battle_for_a_new_champion,0.405272578394538,996,s40_battle_of_the_eras,3,1.0852635619859157
Bayleigh Dayton,F,0.66448545848855,840,s35_total_madness,0.7299945090023884,892,s37_spies_lies_allies,3,0.66448545848855
