player,gender,finish,origin,team,pair_id
Beth Stolarczyk,,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Los Angeles,Real World,
Janet Choi,,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Seattle,Real World,
Jason Cornwell,,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Boston,Real World,
Montana McGlynn,,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Boston,Real World,
Nathan Blackburn,,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Seattle,Real World,
Neil Forrester,,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: London,Real World,
Anne Wharton,,Winners in Handsome Reward,w:c:roadrules:Road Rules: Northern Trail,Road Rules,
Kalle Dedolph,,Winners in Handsome Reward,w:c:roadrules:Road Rules: Islands,Road Rules,
Kefla Hare,,Winners in Handsome Reward,w:c:roadrules:Road Rules: Down Under,Road Rules,
Mark Long,,Winners in Handsome Reward,w:c:roadrules:Road Rules: USA – The First Adventure,Road Rules,
Noah Rickun,,Winners in Handsome Reward,w:c:roadrules:Road Rules: Northern Trail,Road Rules,
Roni Martin,,Winners in Handsome Reward,w:c:roadrules:Road Rules: Northern Trail,Road Rules,
