player,gender,finish,origin,team,pair_id
Amaya Brecher,,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Hawaii,Real World,
David Burns,,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Seattle,Real World,
Heather Gardner,,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: New York,Real World,
Kat Ogden,,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: London,Real World,
Mike Lambert,,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Miami,Real World,
Teck Holmes,,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Hawaii,Real World,
Dan Setzler,,Winners in Handsome Reward,w:c:roadrules:Road Rules: Northern Trail,Road Rules,
Holly Shand,,Winners in Handsome Reward,w:c:roadrules:Road Rules: Latin America,Road Rules,
Los Jackson,,Winners in Handsome Reward,w:c:roadrules:Road Rules: USA – The First Adventure,Road Rules,
Piggy Thomas,,Winners in Handsome Reward,w:c:roadrules:Road Rules: Down Under,Road Rules,
Veronica Portillo,,Winners in Handsome Reward,w:c:roadrules:Road Rules: Semester at Sea,Road Rules,
Yes Duffy,,Winners in Handsome Reward,w:c:roadrules:Road Rules: Semester at Sea,Road Rules,
