player,gender,finish,origin,team,pair_id
Sean Duffy,,Winners in Handsome Reward,w:c:mtvrealworld:The Real World: Boston,,row_002
Elka Walker,,Winners in Handsome Reward,w:c:mtvrealworld:The Real World: Boston,,row_002
Mike Mizanin,,Winners in Handsome Reward,w:c:mtvrealworld:The Real World: Back to New York,,row_003
Coral Smith,,Winners in Handsome Reward,w:c:mtvrealworld:The Real World: Back to New York,,row_003
Danny Roberts,,Winners in Handsome Reward,w:c:mtvrealworld:The Real World: New Orleans (2000),,row_004
Kelley Limp,,Winners in Handsome Reward,w:c:mtvrealworld:The Real World: New Orleans (2000),,row_004
Theo von Kurnatowski,,Runners-Up in Handsome Reward,w:c:roadrules:Road Rules: Maximum Velocity Tour,,row_005
Holly Brentson,,Runners-Up in Handsome Reward,w:c:roadrules:Road Rules: Maximum Velocity Tour,,row_005
Dan Setzler,,Runners-Up in Handsome Reward,w:c:roadrules:Road Rules: Northern Trail,,row_006
Tara McDaniel,,Runners-Up in Handsome Reward,w:c:roadrules:Road Rules: Northern Trail,,row_006
Timmy Beggy,,Runners-Up in Handsome Reward,w:c:roadrules:Road Rules: USA – The Second Adventure,,row_007
Emily Bailey,,Runners-Up in Handsome Reward,w:c:roadrules:Road Rules: USA – The Second Adventure,,row_007
Norman Korpi,,Eliminated in Ladder of Doom,w:c:The Real World: New York,,row_008
Becky Blasband,,Eliminated in Ladder of Doom,w:c:The Real World: New York,,row_008
Josh Florence,,Eliminated in Ladder of Doom,w:c:roadrules:Road Rules: Latin America,,row_009
Holly Shand,,Eliminated in Ladder of Doom,w:c:roadrules:Road Rules: Latin America,,row_009
Mike Lambert,,Eliminated in Slam Dunk,w:c:The Real World: Miami,,row_010
Flora Alekseyeva,,Eliminated in Slam Dunk,w:c:The Real World: Miami,,row_010
Adam Larson,,Eliminated in Slam Dunk,w:c:roadrules:Road Rules: The Quest,,row_011
Jisela Delgado,,Eliminated in Slam Dunk,w:c:roadrules:Road Rules: The Quest,,row_011
Chris Melling,,Eliminated in Slam Dunk,w:c:roadrules:Road Rules: Europe,,row_012
Belou Den Tex,,Eliminated in Slam Dunk,w:c:roadrules:Road Rules: Europe,,row_012
Stephen Williams,,Eliminated in Slam Dunk,w:c:mtvrealworld:The Real World: Seattle,,row_013
Lindsay Brien,,Eliminated in Slam Dunk,w:c:mtvrealworld:The Real World: Seattle,,row_013
Mike Johnson,,Eliminated in Musical Inner-Tube Tango,w:c:mtvrealworld:The Real World: London,,row_014
Sharon Gitau,,Eliminated in Musical Inner-Tube Tango,w:c:mtvrealworld:The Real World: London,,row_014
Chadwick Pelletier,,Eliminated in Musical Inner-Tube Tango,w:c:roadrules:Road Rules: Down Under,,row_015
Piggy Thomas,,Eliminated in Musical Inner-Tube Tango,w:c:roadrules:Road Rules: Down Under,,row_015
Yes Duffy,,Eliminated in Hang Man,w:c:roadrules:Road Rules: Semester at Sea,,row_016
Veronica Portillo,,Eliminated in Hang Man,w:c:roadrules:Road Rules: Semester at Sea,,row_016
Jon Brennan,,Eliminated in Hang Man,w:c:mtvrealworld:The Real World: Los Angeles,,row_017
Beth Stolarczyk,,Eliminated in Hang Man,w:c:mtvrealworld:The Real World: Los Angeles,,row_017
