episode,challenge,format,role,winner
1,Hang Man,pair,prize,Holly Brentson
1,Hang Man,pair,prize,Theo von Kurnatowski
1,Hang Man,pair,safety,Becky Blasband
1,Hang Man,pair,safety,Norman Korpi
1,,pair,prize,Emily Bailey
1,,pair,prize,Timmy Beggy
3/4,Musical Inner-Tube Tango,pair,prize,Lindsay Brien
3/4,Musical Inner-Tube Tango,pair,prize,Stephen Williams
3/4,Musical Inner-Tube Tango,pair,safety,Dan Setzler
3/4,Musical Inner-Tube Tango,pair,safety,Tara McDaniel
3/4,,pair,prize,Elka Walker
3/4,,pair,prize,Sean Duffy
5/6,Vertical Limit,pair,prize,Danny Roberts
5/6,Vertical Limit,pair,prize,Kelley Limp
5/6,Vertical Limit,pair,safety,Coral Smith
5/6,Vertical Limit,pair,safety,Mike Mizanin
5/6,,pair,prize,Emily Bailey
5/6,,pair,prize,Timmy Beggy
6,Slam Dunk,pair,prize,Holly Brentson
6,Slam Dunk,pair,prize,Theo von Kurnatowski
6,Slam Dunk,pair,safety,Coral Smith
6,Slam Dunk,pair,safety,Mike Mizanin
6,,pair,prize,Emily Bailey
6,,pair,prize,Timmy Beggy
7/8,Ladder of Doom,pair,prize,Holly Brentson
7/8,Ladder of Doom,pair,prize,Theo von Kurnatowski
7/8,Ladder of Doom,pair,safety,Dan Setzler
7/8,Ladder of Doom,pair,safety,Tara McDaniel
7/8,,pair,prize,Danny Roberts
7/8,,pair,prize,Kelley Limp
