episode,gender,game,winner,loser
1,,,Danny Roberts,Beth Stolarczyk
1,,,Danny Roberts,Jon Brennan
1,,,Kelley Limp,Beth Stolarczyk
1,,,Kelley Limp,Jon Brennan
1,,,Holly Brentson,Veronica Portillo
1,,,Holly Brentson,Yes Duffy
1,,,Theo von Kurnatowski,Veronica Portillo
1,,,Theo von Kurnatowski,Yes Duffy
3/4,,,Holly Brentson,Chadwick Pelletier
3/4,,,Holly Brentson,Piggy Thomas
3/4,,,Theo von Kurnatowski,Chadwick Pelletier
3/4,,,Theo von Kurnatowski,Piggy Thomas
3/4,,,Lindsay Brien,Mike Johnson
3/4,,,Lindsay Brien,Sharon Gitau
3/4,,,Stephen Williams,Mike Johnson
3/4,,,Stephen Williams,Sharon Gitau
5/6,,,Elka Walker,Lindsay Brien
5/6,,,Elka Walker,Stephen Williams
5/6,,,Sean Duffy,Lindsay Brien
5/6,,,Sean Duffy,Stephen Williams
5/6,,,Holly Brentson,Belou Den Tex
5/6,,,Holly Brentson,Chris Melling
5/6,,,Theo von Kurnatowski,Belou Den Tex
5/6,,,Theo von Kurnatowski,Chris Melling
6,,,Elka Walker,Flora Alekseyeva
6,,,Elka Walker,Mike Lambert
6,,,Sean Duffy,Flora Alekseyeva
6,,,Sean Duffy,Mike Lambert
6,,,Holly Brentson,Adam Larson
6,,,Holly Brentson,Jisela Delgado
6,,,Theo von Kurnatowski,Adam Larson
6,,,Theo von Kurnatowski,Jisela Delgado
7/8,,,Holly Brentson,Holly Shand
7/8,,,Holly Brentson,Josh Florence
7/8,,,Theo von Kurnatowski,Holly Shand
7/8,,,Theo von Kurnatowski,Josh Florence
7/8,,,Elka Walker,Becky Blasband
7/8,,,Elka Walker,Norman Korpi
7/8,,,Sean Duffy,Becky Blasband
7/8,,,Sean Duffy,Norman Korpi
