player,gender,finish,origin,team,pair_id
Mark Long,M,Winners in Handsome Reward,w:c:roadrules:Road Rules: USA – The First Adventure,,
Colin Mortensen,M,Winners in Handsome Reward,w:c:mtvrealworld:The Real World: Hawaii,,
Jamie Murray,M,Winners in Handsome Reward,w:c:mtvrealworld:The Real World: New Orleans (2000),,
Antoine de Bouverie,M,Eliminated in Maximum Velocity,w:c:roadrules:Road Rules: Europe,,
Shane Landrum,M,Eliminated in Razors Edge,w:c:roadrules:Road Rules: Campus Crawl,,
James Orlando,M,Eliminated in Human Aquarium,w:c:roadrules:Road Rules: Maximum Velocity Tour,,
Eric Nies,M,Eliminated in Spider Mon,w:c:mtvrealworld:The Real World: New York,,
Blair Herter,M,Eliminated in Collision Course,w:c:roadrules:Road Rules: The Quest,,
Syrus Yarbrough,M,Eliminated in Stairway to Heaven,w:c:mtvrealworld:The Real World: Boston,,
Theo Gantt,M,Eliminated in Leaky River,w:c:mtvrealworld:The Real World: Chicago,,
Jake Bronstein,M,Eliminated in Battle of the Opposite Sexes,w:c:roadrules:Road Rules: Islands,,
Dan Renzi,M,Eliminated in People Mover,w:c:mtvrealworld:The Real World: Miami,,
Puck Rainey,M,Quit in People Mover,w:c:mtvrealworld:The Real World: San Francisco,,
Yes Duffy,M,Eliminated in Seven Rings of Saturn,w:c:roadrules:Road Rules: Semester at Sea,,
David Broom,M,Eliminated in Breath-Hold Bungee,w:c:mtvrealworld:The Real World: New Orleans (2000),,
Eric Jones,M,Eliminated in Tree House,w:c:roadrules:Road Rules: Campus Crawl,,
Laterrian Wallace,M,Eliminated in Dead Man's Drop,w:c:roadrules:Road Rules: Maximum Velocity Tour,,
David Edwards,M,Quit in Sergeant Says,w:c:mtvrealworld:The Real World: Los Angeles,,
Ruthie Alcaide,F,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Hawaii,,
Ellen Cho,F,Runners-Up in Handsome Reward,w:c:roadrules:Road Rules: The Quest,,
Lori Trespicio,F,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Back to New York,,
Melissa Howard,F,Eliminated in Maximum Velocity,w:c:mtvrealworld:The Real World: New Orleans (2000),,
Genesis Moss,F,Eliminated in Razors Edge,w:c:mtvrealworld:The Real World: Boston,,
Emily Bailey,F,Quit in Razors Edge,w:c:roadrules:Road Rules: USA – The Second Adventure,,
Anne Wharton,F,Eliminated in Spider Mon,w:c:roadrules:Road Rules: Northern Trail,,
Ayanna Mackins,F,Eliminated in Collision Course,w:c:roadrules:Road Rules: Semester at Sea,,
Veronica Portillo,F,Eliminated in Stairway to Heaven,w:c:roadrules:Road Rules: Semester at Sea,,
Christina Pazsitzky,F,Eliminated in Leaky River,w:c:roadrules:Road Rules: Down Under,,
Tonya Cooley,F,Eliminated in Battle of the Opposite Sexes,w:c:mtvrealworld:The Real World: Chicago,,
Aneesa Ferreira,F,Eliminated in People Mover,w:c:mtvrealworld:The Real World: Chicago,,
Rachel Robinson,F,Eliminated in Freeze Your Butt Off,w:c:roadrules:Road Rules: Campus Crawl,,
Amaya Brecher,F,Eliminated in Seven Rings of Saturn,w:c:mtvrealworld:The Real World: Hawaii,,
Jisela Delgado,F,Eliminated in Breath-Hold Bungee,w:c:roadrules:Road Rules: The Quest,,
Gladys Sanabria,F,Eliminated in Tree House,w:c:roadrules:Road Rules: Latin America,,
Beth Stolarczyk,F,Eliminated in Dead Man's Drop,w:c:mtvrealworld:The Real World: Los Angeles,,
Julie Stoffer,F,Eliminated in Sergeant Says,w:c:mtvrealworld:The Real World: New Orleans (2000),,
