season_id,episode,challenge,format,role,winner
s06_battle_of_the_sexes,1/2,Sergeant Says,pair,prize,Amaya Brecher
s06_battle_of_the_sexes,1/2,Sergeant Says,pair,prize,Melissa Howard
s06_battle_of_the_sexes,1/2,Sergeant Says,individual,safety,Dan Renzi
s06_battle_of_the_sexes,1/2,,individual,prize,Aneesa Ferreira
s06_battle_of_the_sexes,1/2,,individual,safety,Genesis Moss
s06_battle_of_the_sexes,3,Dead Man's Drop,individual,safety,Gladys Sanabria
s06_battle_of_the_sexes,3,,individual,prize,Jamie Murray
s06_battle_of_the_sexes,4,Tree House,pair,prize,Dan Renzi
s06_battle_of_the_sexes,4,Tree House,pair,prize,Jamie Murray
s06_battle_of_the_sexes,4,Tree House,individual,safety,Puck Rainey
s06_battle_of_the_sexes,4,,individual,prize,Jamie Murray
s06_battle_of_the_sexes,5,Breath-Hold Bungee,individual,prize,James Orlando
s06_battle_of_the_sexes,5,Breath-Hold Bungee,individual,safety,Emily Bailey
s06_battle_of_the_sexes,5,,individual,prize,Ruthie Alcaide
s06_battle_of_the_sexes,7,Seven Rings of Saturn,pair,prize,Puck Rainey
s06_battle_of_the_sexes,7,Seven Rings of Saturn,pair,prize,Theo Gantt
s06_battle_of_the_sexes,7,Seven Rings of Saturn,individual,safety,Colin Mortensen
s06_battle_of_the_sexes,7,,individual,prize,Jamie Murray
s06_battle_of_the_sexes,8,Freeze Your Butt Off,individual,prize,Ellen Cho
s06_battle_of_the_sexes,8,Freeze Your Butt Off,individual,safety,Tonya Cooley
s06_battle_of_the_sexes,8,,individual,prize,Emily Bailey
s06_battle_of_the_sexes,9,People Mover,pair,prize,Ayanna Mackins
s06_battle_of_the_sexes,9,People Mover,pair,prize,Ellen Cho
s06_battle_of_the_sexes,9,People Mover,individual,safety,Tonya Cooley
s06_battle_of_the_sexes,9,,individual,prize,Emily Bailey
s06_battle_of_the_sexes,10,Battle of the Opposite Sexes,individual,prize,Jake Bronstein
s06_battle_of_the_sexes,10,Battle of the Opposite Sexes,individual,safety,Blair Herter
s06_battle_of_the_sexes,10,,individual,prize,Jamie Murray
s06_battle_of_the_sexes,11,Leaky River,individual,prize,Eric Nies
s06_battle_of_the_sexes,11,Leaky River,individual,safety,Ellen Cho
s06_battle_of_the_sexes,11,,individual,prize,Jamie Murray
s06_battle_of_the_sexes,12,Stairway to Heaven,individual,prize,Jamie Murray
s06_battle_of_the_sexes,12,Stairway to Heaven,individual,safety,Blair Herter
s06_battle_of_the_sexes,12,,individual,prize,Emily Bailey
s06_battle_of_the_sexes,13,Collision Course,individual,prize,James Orlando
s06_battle_of_the_sexes,13,Collision Course,individual,safety,Blair Herter
s06_battle_of_the_sexes,13,,individual,prize,Jamie Murray
s06_battle_of_the_sexes,14,Spider Mon,individual,prize,Shane Landrum
s06_battle_of_the_sexes,14,Spider Mon,individual,safety,Genesis Moss
s06_battle_of_the_sexes,14,,individual,prize,Emily Bailey
s06_battle_of_the_sexes,15,Human Aquarium,individual,prize,Antoine de Bouverie
s06_battle_of_the_sexes,15,Human Aquarium,individual,safety,Shane Landrum
s06_battle_of_the_sexes,15,,individual,prize,Jamie Murray
s06_battle_of_the_sexes,16,Razor's Edge,individual,prize,Antoine de Bouverie
s06_battle_of_the_sexes,16,Razor's Edge,individual,safety,Shane Landrum
s06_battle_of_the_sexes,16,,individual,prize,Jamie Murray
s06_battle_of_the_sexes,17,Maximum Velocity,individual,safety,Ellen Cho
s06_battle_of_the_sexes,17,,individual,prize,Jamie Murray
