season_id,episode,gender,game,winner,loser
s06_battle_of_the_sexes,1/2,,,Melissa Howard,Julie Stoffer
s06_battle_of_the_sexes,3,,,Ruthie Alcaide,Beth Stolarczyk
s06_battle_of_the_sexes,3,,,Theo Gantt,Laterrian Wallace
s06_battle_of_the_sexes,4,M,,Ruthie Alcaide,Gladys Sanabria
s06_battle_of_the_sexes,4,,,Puck Rainey,Eric Jones
s06_battle_of_the_sexes,5,M,,Jamie Murray,David Broom
s06_battle_of_the_sexes,5,,,Veronica Portillo,Jisela Delgado
s06_battle_of_the_sexes,7,M,,Ruthie Alcaide,Amaya Brecher
s06_battle_of_the_sexes,7,,,Mark Long,Yes Duffy
s06_battle_of_the_sexes,8,,,Theo Gantt,Dan Renzi
s06_battle_of_the_sexes,8,,,Ruthie Alcaide,Rachel Robinson
s06_battle_of_the_sexes,9,,,Mark Long,Dan Renzi
s06_battle_of_the_sexes,9,,,Ruthie Alcaide,Aneesa Ferreira
s06_battle_of_the_sexes,10,M,,Veronica Portillo,Tonya Cooley
s06_battle_of_the_sexes,10,,,Mark Long,Jake Bronstein
s06_battle_of_the_sexes,11,M,,Ruthie Alcaide,Christina Pazsitzky
s06_battle_of_the_sexes,11,,,Mark Long,Theo Gantt
s06_battle_of_the_sexes,12,M,,Mark Long,Syrus Yarbrough
s06_battle_of_the_sexes,12,,,Ruthie Alcaide,Veronica Portillo
s06_battle_of_the_sexes,13,M,,Ruthie Alcaide,Ayanna Mackins
s06_battle_of_the_sexes,13,,,Mark Long,Blair Herter
s06_battle_of_the_sexes,14,M,,Mark Long,Eric Nies
s06_battle_of_the_sexes,14,,,Ruthie Alcaide,Anne Wharton
s06_battle_of_the_sexes,15,M,,Ruthie Alcaide,Genesis Moss
s06_battle_of_the_sexes,15,,,Mark Long,James Orlando
s06_battle_of_the_sexes,16,M,,Ruthie Alcaide,Genesis Moss
s06_battle_of_the_sexes,16,,,Mark Long,Shane Landrum
s06_battle_of_the_sexes,17,,,Ruthie Alcaide,Melissa Howard
s06_battle_of_the_sexes,17,,,Mark Long,Antoine de Bouverie
