player,gender,finish,origin,team,pair_id
Alton Williams,,Runners-Up in Gold Rush Part 2,w:c:mtvrealworld:The Real World: Las Vegas (2002),Real World,
Coral Smith,,Runners-Up in Gold Rush Part 2,w:c:mtvrealworld:The Real World: Back to New York,Real World,
Mike Mizanin,,Runners-Up in Gold Rush Part 2,w:c:mtvrealworld:The Real World: Back to New York,Real World,
Nathan Blackburn,,Runners-Up in Gold Rush Part 2,w:c:mtvrealworld:The Real World: Seattle,Real World,
Norman Korpi,,Runners-Up in Gold Rush Part 2,w:c:mtvrealworld:The Real World: New York,Real World,
Theo Gantt,,Eliminated in Gold Rush Part 1,w:c:mtvrealworld:The Real World: Chicago,Real World,
Irulan Wilson,,Eliminated in Vertical Limit,w:c:mtvrealworld:The Real World: Las Vegas (2002),Real World,
Rachel Braband,,Eliminated in Rolling on the River,w:c:mtvrealworld:The Real World: Back to New York,Real World,
Trishelle Cannatella,,Eliminated in Inferno,w:c:mtvrealworld:The Real World: Las Vegas (2002),Real World,
Elka Walker,,Eliminated in Sink My Ship,w:c:mtvrealworld:The Real World: Boston,Real World,
Matt Smith,,Eliminated in Heavyweight Hustle,w:c:mtvrealworld:The Real World: New Orleans (2000),Real World,
Tonya Cooley,,Eliminated in Mud Bath,w:c:mtvrealworld:The Real World: Chicago,Real World,
Montana McGlynn,,Eliminated in Masquerade,w:c:mtvrealworld:The Real World: Boston,Real World,
David Broom,,Eliminated in Howdy Telluride,w:c:mtvrealworld:The Real World: New Orleans (2000),Real World,
Adam Larson,,Winners in Gold Rush Part 2,w:c:roadrules:Road Rules: The Quest,Road Rules,
Cara Zavaleta,,Winners in Gold Rush Part 2,w:c:roadrules:Road Rules: South Pacific,Road Rules,
Darrell Taylor,,Winners in Gold Rush Part 2,w:c:roadrules:Road Rules: Campus Crawl,Road Rules,
Dave Giuntoli,,Winners in Gold Rush Part 2,w:c:roadrules:Road Rules: South Pacific,Road Rules,
Rachel Robinson,,Winners in Gold Rush Part 2,w:c:roadrules:Road Rules: Campus Crawl,Road Rules,
Roni Martin,,Winners in Gold Rush Part 2,w:c:roadrules:Road Rules: Northern Trail,Road Rules,
Sarah Greyson,,Winners in Gold Rush Part 2,w:c:roadrules:Road Rules: Campus Crawl,Road Rules,
Theo von Kurnatowski,,Winners in Gold Rush Part 2,w:c:roadrules:Road Rules: Maximum Velocity Tour,Road Rules,
Veronica Portillo,,Winners in Gold Rush Part 2,w:c:roadrules:Road Rules: Semester at Sea,Road Rules,
Abram Boise,,Eliminated in All or Nothing,w:c:roadrules:Road Rules: South Pacific,Road Rules,
Laterrian Wallace,,Eliminated in Turntable,w:c:roadrules:Road Rules: Maximum Velocity Tour,Road Rules,
Steve Meinke,,Eliminated in Red Barron,w:c:roadrules:Road Rules: The Quest,Road Rules,
Tina Barta,,Eliminated in Holey Canoe,w:c:roadrules:Road Rules: South Pacific,Road Rules,
Katie Cooley,,Eliminated in I Scream,w:c:roadrules:Road Rules: The Quest,Road Rules,
