episode,challenge,format,role,winner
1,Snake Soup,individual,prize,David Broom
1,Snake Soup,individual,safety,Sarah Greyson
2,Masquerade,individual,prize,Montana McGlynn
2,Masquerade,individual,safety,Katie Cooley
3,Mud Bath,individual,prize,Tonya Cooley
3,Mud Bath,individual,safety,Steve Meinke
4,I Scream,individual,prize,Rachel Braband
4,I Scream,individual,safety,Katie Cooley
5,Holey Canoe,individual,prize,Coral Smith
5,Holey Canoe,individual,safety,Tina Barta
6,Heavyweight Hustle,individual,prize,Matt Smith
6,Heavyweight Hustle,individual,safety,Sarah Greyson
7,Sink My Ship,individual,prize,Norman Korpi
7,Sink My Ship,individual,safety,Dave Giuntoli
8,Red Barron,individual,prize,Nathan Blackburn
8,Red Barron,individual,safety,Adam Larson
9,Inferno,individual,prize,Alton Williams
9,Inferno,individual,safety,Theo von Kurnatowski
10,Rolling on a River,individual,prize,Mike Mizanin
10,Rolling on a River,individual,safety,Roni Martin
11,Turntable,individual,prize,Theo Gantt
11,Turntable,individual,safety,Veronica Portillo
12,All or Nothing,individual,prize,Alton Williams
12,All or Nothing,individual,safety,Theo von Kurnatowski
13,Vertical Sweep,individual,prize,Alton Williams
13,Vertical Sweep,individual,safety,Adam Larson
14/15,Dukes of Saturn,individual,prize,Alton Williams
14/15,Dukes of Saturn,individual,safety,Veronica Portillo
