player,gender,finish,origin,team,pair_id
Coral Smith,,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Back to New York,Real World,
CT Tamburello,,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Paris,Real World,
Mike Mizanin,,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Back to New York,Real World,
Syrus Yarbrough,,Runners-Up in Handsome Reward,w:c:mtvrealworld:The Real World: Boston,Real World,
David Burns,,Eliminated in The Final Burn,w:c:mtvrealworld:The Real World: Seattle,Real World,
Leah Gillingwater,,Eliminated in Window Washing,w:c:mtvrealworld:The Real World: Paris,Real World,
Julie Stoffer,,Eliminated in Balcony Swing,w:c:mtvrealworld:The Real World: New Orleans (2000),Real World,
Mallory Snyder,,Eliminated in Don't Yank My Chain,w:c:mtvrealworld:The Real World: Paris,Real World,
Trishelle Cannatella,,Eliminated in Climbing Wall,w:c:mtvrealworld:The Real World: Las Vegas (2002),Real World,
Ace Amerson,,Eliminated in Birdfeeder,w:c:mtvrealworld:The Real World: Paris,Real World,
Abram Boise,,Winners in Handsome Reward,w:c:roadrules:Road Rules: South Pacific,Road Rules,
Christena Pyle,,Winners in Handsome Reward,w:c:roadrules:Road Rules: South Pacific,Road Rules,
Darrell Taylor,,Winners in Handsome Reward,w:c:roadrules:Road Rules: Campus Crawl,Road Rules,
Holly Shand,,Winners in Handsome Reward,w:c:roadrules:Road Rules: Latin America,Road Rules,
Katie Cooley,,Winners in Handsome Reward,w:c:roadrules:Road Rules: The Quest,Road Rules,
Kendal Sheppard,,Winners in Handsome Reward,w:c:roadrules:Road Rules: Campus Crawl,Road Rules,
Timmy Beggy,,Winners in Handsome Reward,w:c:roadrules:Road Rules: USA – The Second Adventure,Road Rules,
Veronica Portillo,,Winners in Handsome Reward,w:c:roadrules:Road Rules: Semester at Sea,Road Rules,
Shane Landrum,,Eliminated in Bungee Bound,w:c:roadrules:Road Rules: Campus Crawl,Road Rules,
Jeremy Blossom,,Eliminated in Balls Out,w:c:roadrules:Road Rules: South Pacific,Road Rules,
