episode,challenge,format,role,winner
1,Grope the Rope,individual,prize,Ace Amerson
1,Grope the Rope,individual,safety,Syrus Yarbrough
2,Bird Feeder,individual,prize,Syrus Yarbrough
2,Bird Feeder,individual,safety,Darrell Taylor
3,Wreck N' Roll,individual,prize,Leah Gillingwater
3,Wreck N' Roll,individual,safety,Trishelle Cannatella
4,Climbing Wall,individual,prize,CT Tamburello
4,Climbing Wall,individual,safety,Timmy Beggy
5,Disco Domino Derby,individual,prize,David Burns
5,Disco Domino Derby,individual,safety,Mike Mizanin
6,Balls Out,individual,prize,CT Tamburello
6,Balls Out,individual,safety,Veronica Portillo
7,Ultimate Saturn Road Trip,individual,prize,Coral Smith
7,Ultimate Saturn Road Trip,individual,safety,Mallory Snyder
8,Don't Yank My Chain,individual,prize,Mike Mizanin
8,Don't Yank My Chain,individual,safety,Veronica Portillo
9,Come Sail Away,individual,prize,CT Tamburello
9,Come Sail Away,individual,safety,David Burns
10,Bungee Bound,individual,prize,CT Tamburello
10,Bungee Bound,individual,safety,Holly Shand
11,Twist and Shoot,individual,prize,Julie Stoffer
11,Twist and Shoot,individual,safety,Leah Gillingwater
12,Balcony Swing,individual,prize,CT Tamburello
12,Balcony Swing,individual,safety,Veronica Portillo
13,Fallen Angels,individual,prize,David Burns
13,Fallen Angels,individual,safety,Syrus Yarbrough
14/15,Saturn Valet Ballet,individual,prize,David Burns
14/15,Saturn Valet Ballet,individual,safety,Kendal Sheppard
15/16,Window Washing,individual,prize,Coral Smith
15/16,,individual,prize,Veronica Portillo
15/16,,individual,safety,David Burns
