season_id,episode,gender,game,winner,loser
s08_the_inferno,1,,,Jeremy Blossom,Timmy Beggy
s08_the_inferno,2,,Bug Helmet,Jeremy Blossom,Ace Amerson
s08_the_inferno,3,,,Holly Shand,Katie Cooley
s08_the_inferno,4,,Chili Counter,Holly Shand,Trishelle Cannatella
s08_the_inferno,5,,,Abram Boise,Jeremy Blossom
s08_the_inferno,6,,Human Candelabra,Mike Mizanin,Jeremy Blossom
s08_the_inferno,7,,,Christena Pyle,Katie Cooley
s08_the_inferno,8,,Noise Pollution,Christena Pyle,Mallory Snyder
s08_the_inferno,9,,,Abram Boise,Shane Landrum
s08_the_inferno,10,,Don't Toss Your Cookies,CT Tamburello,Shane Landrum
s08_the_inferno,11,,,Katie Cooley,Veronica Portillo
s08_the_inferno,12,,Scratchathon,Katie Cooley,Julie Stoffer
s08_the_inferno,13,,,Darrell Taylor,Timmy Beggy
s08_the_inferno,14/15,,Brick by Brick,Kendal Sheppard,Leah Gillingwater
s08_the_inferno,15/16,,,Katie Cooley,Veronica Portillo
s08_the_inferno,15/16,,Smell You Later,Katie Cooley,David Burns
