player,gender,finish,origin,team,pair_id
Dan Setzler,M,Winners in Episode 17,wikipedia:Road Rules: Northern Trail,,
Eric Nies,M,Winners in Episode 17,w:c:mtvrealworld:The Real World: New York,,
Theo von Kurnatowski,M,Winners in Episode 17,w:c:roadrules:Road Rules: Maximum Velocity Tour,,
Mark Long,M,Eliminated in Episode 16,w:c:roadrules:Road Rules: USA – The First Adventure,,
Brad Fiorenza,M,Eliminated in Episode 15,w:c:mtvrealworld:The Real World: San Diego (2004),,
Shane Landrum,M,Eliminated in Episode 14,w:c:roadrules:Road Rules: Campus Crawl,,
Steven Hill,M,Disqualified in Episode 13,w:c:mtvrealworld:The Real World: Las Vegas (2002),,
Randy Barry,M,Eliminated in Episode 12,w:c:mtvrealworld:The Real World: San Diego (2004),,
Frank Roessler,M,Eliminated in Episode 11,w:c:mtvrealworld:The Real World: Las Vegas (2002),,
Nick Haggart,M,Eliminated in Episode 10,w:c:roadrules:Road Rules: X-Treme,,
Chris Graebe,M,Eliminated in Episode 9,w:c:roadrules:Road Rules: South Pacific,,
Mike Mizanin,M,Eliminated in Episode 8,w:c:mtvrealworld:The Real World: Back to New York,,
Shawn Sealy,M,Eliminated in Episode 7,w:c:roadrules:Road Rules: Semester at Sea,,
Derrick Kosinski,M,Eliminated in Episode 6,w:c:roadrules:Road Rules: X-Treme,,
Abram Boise,M,Eliminated in Episode 5,w:c:roadrules:Road Rules: South Pacific,,
Adam King,M,Eliminated in Episode 4,w:c:mtvrealworld:The Real World: Paris,,
Ace Amerson,M,Eliminated in Episode 3,w:c:mtvrealworld:The Real World: Paris,,
Jacquese Smith,M,Eliminated in Episode 2,w:c:mtvrealworld:The Real World: San Diego (2004),,
Arissa Hill,F,Runners-Up in Episode 17,w:c:mtvrealworld:The Real World: Las Vegas (2002),,
Coral Smith,F,Runners-Up in Episode 17,w:c:mtvrealworld:The Real World: Back to New York,,
Sophia Pasquis,F,Runners-Up in Episode 17,w:c:roadrules:Road Rules: The Quest,,
Tina Barta,F,Eliminated in Episode 16,w:c:roadrules:Road Rules: South Pacific,,
Ruthie Alcaide,F,Eliminated in Episode 15,w:c:mtvrealworld:The Real World: Hawaii,,
Robin Hibbard,F,Eliminated in Episode 14,w:c:mtvrealworld:The Real World: San Diego (2004),,
Tonya Cooley,F,Eliminated in Episode 13,w:c:mtvrealworld:The Real World: Chicago,,
Ibis Nieves,F,Eliminated in Episode 12,w:c:roadrules:Road Rules: X-Treme,,
Veronica Portillo,F,Eliminated in Episode 11,w:c:roadrules:Road Rules: Semester at Sea,,
Aneesa Ferreira,F,Eliminated in Episode 10,w:c:mtvrealworld:The Real World: Chicago,,
Katie Cooley,F,Eliminated in Episode 9,w:c:roadrules:Road Rules: The Quest,,
Rachel Robinson,F,Eliminated in Episode 8,w:c:roadrules:Road Rules: Campus Crawl,,
Angela Trimbur,F,Eliminated in Episode 7,w:c:roadrules:Road Rules: X-Treme,,
Cynthia Roberts,F,Eliminated in Episode 6,w:c:mtvrealworld:The Real World: Miami,,
Ayanna Mackins,F,Eliminated in Episode 5,w:c:roadrules:Road Rules: Semester at Sea,,
Kina Dean,F,Eliminated in Episode 4,w:c:roadrules:Road Rules: X-Treme,,
Cameran Eubanks,F,Eliminated in Episode 3,w:c:mtvrealworld:The Real World: San Diego (2004),,
Genesis Moss,F,Eliminated in Episode 2,w:c:mtvrealworld:The Real World: Boston,,
