episode,gender,game,winner,loser
1/2,M,,Eric Nies,Jacquese Smith
1/2,,,Tina Barta,Genesis Moss
3,M,,Coral Smith,Cameran Eubanks
3,,,Theo von Kurnatowski,Ace Amerson
4,M,,Shawn Sealy,Adam King
5,M,,Steven Hill,Abram Boise
5,,,Sophia Pasquis,Ayanna Mackins
6,,,Randy Barry,Derrick Kosinski
6,,,Veronica Portillo,Cynthia Roberts
7,M,,Randy Barry,Shawn Sealy
7,,,Tonya Cooley,Angela Trimbur
8,M,,Nick Haggart,Mike Mizanin
8,,,Tonya Cooley,Rachel Robinson
9,M,,Theo von Kurnatowski,Chris Graebe
9,,,Ruthie Alcaide,Katie Cooley
10,M,,Robin Hibbard,Aneesa Ferreira
10,,,Steven Hill,Nick Haggart
11,,,Theo von Kurnatowski,Frank Roessler
11,,,Tina Barta,Veronica Portillo
12,M,,Shane Landrum,Randy Barry
12,,,Ruthie Alcaide,Ibis Nieves
14,M,,Mark Long,Shane Landrum
14,,,Tina Barta,Robin Hibbard
15,M,,Eric Nies,Brad Fiorenza
15,,,Tina Barta,Ruthie Alcaide
16,,,Coral Smith,Tina Barta
16,,,Theo von Kurnatowski,Mark Long
