season_id,player,gender,finish,origin,team,pair_id
s10_the_inferno_ii,Abram Boise,,Runners-Up in Episode 16,w:c:roadrules:Road Rules: South Pacific,Bad Asses,
s10_the_inferno_ii,CT Tamburello,,Runners-Up in Episode 16,w:c:mtvrealworld:The Real World: Paris,Bad Asses,
s10_the_inferno_ii,Derrick Kosinski,,Runners-Up in Episode 16,w:c:roadrules:Road Rules: X-Treme,Bad Asses,
s10_the_inferno_ii,Rachel Robinson,,Runners-Up in Episode 16,w:c:roadrules:Road Rules: Campus Crawl,Bad Asses,
s10_the_inferno_ii,Tina Barta,,Runners-Up in Episode 16,w:c:roadrules:Road Rules: South Pacific,Bad Asses,
s10_the_inferno_ii,Tonya Cooley,,Runners-Up in Episode 16,w:c:mtvrealworld:The Real World: Chicago,Bad Asses,
s10_the_inferno_ii,Veronica Portillo,,Runners-Up in Episode 16,w:c:roadrules:Road Rules: Semester at Sea,Bad Asses,
s10_the_inferno_ii,Dan Renzi,,Eliminated in Episode 14,w:c:mtvrealworld:The Real World: Miami,Bad Asses,
s10_the_inferno_ii,Karamo Brown,,Eliminated in Episode 6,w:c:mtvrealworld:The Real World: Philadelphia,Bad Asses,
s10_the_inferno_ii,Beth Stolarczyk,,Quit in Episode 5,w:c:mtvrealworld:The Real World: Los Angeles,Bad Asses,
s10_the_inferno_ii,Darrell Taylor,,Winners in infobox,w:c:roadrules:Road Rules: Campus Crawl,Good Guys,
s10_the_inferno_ii,Jamie Chung,,Winners in infobox,w:c:mtvrealworld:The Real World: San Diego (2004),Good Guys,
s10_the_inferno_ii,Landon Lueck,,Winners in infobox,w:c:mtvrealworld:The Real World: Philadelphia,Good Guys,
s10_the_inferno_ii,Mike Mizanin,,Winners in infobox,w:c:mtvrealworld:The Real World: Back to New York,Good Guys,
s10_the_inferno_ii,Shavonda Billingslea,,Eliminated in Episode 15,w:c:mtvrealworld:The Real World: Philadelphia,Good Guys,
s10_the_inferno_ii,Julie Stoffer,,Eliminated in Episode 12,w:c:mtvrealworld:The Real World: New Orleans (2000),Good Guys,
s10_the_inferno_ii,Brad Fiorenza,,Eliminated in Episode 10,w:c:mtvrealworld:The Real World: San Diego (2004),Good Guys,
s10_the_inferno_ii,Jodi Weatherton,,Eliminated in Episode 8,w:c:roadrules:Road Rules: X-Treme,Good Guys,
s10_the_inferno_ii,Robin Hibbard,,Eliminated in Episode 4,w:c:mtvrealworld:The Real World: San Diego (2004),Good Guys,
s10_the_inferno_ii,Jon Brennan,,Eliminated in Episode 2,w:c:mtvrealworld:The Real World: Los Angeles,Good Guys,
