season_id,episode,challenge,format,role,winner
s10_the_inferno_ii,2,Juice It Up,individual,prize,Mike Mizanin
s10_the_inferno_ii,2,Juice It Up,individual,safety,CT Tamburello
s10_the_inferno_ii,4,Run for Your Money,individual,prize,Mike Mizanin
s10_the_inferno_ii,4,Run for Your Money,individual,safety,Derrick Kosinski
s10_the_inferno_ii,6,Dodge Yer Balls,individual,prize,Landon Lueck
s10_the_inferno_ii,6,Dodge Yer Balls,individual,safety,CT Tamburello
s10_the_inferno_ii,8,Zip Up,individual,prize,Landon Lueck
s10_the_inferno_ii,8,Zip Up,individual,safety,CT Tamburello
s10_the_inferno_ii,10,What a Drag,individual,prize,Mike Mizanin
s10_the_inferno_ii,10,What a Drag,individual,safety,CT Tamburello
s10_the_inferno_ii,12,Time to Ride,individual,prize,Landon Lueck
s10_the_inferno_ii,12,Time to Ride,individual,safety,Derrick Kosinski
s10_the_inferno_ii,14,Crab Grab,individual,prize,Darrell Taylor
s10_the_inferno_ii,14,Crab Grab,individual,safety,CT Tamburello
