episode,gender,game,winner,loser
1,M,,Mike Mizanin,Dan Renzi
2,,Hang Tough,Dan Renzi,Jon Brennan
3,F,,Robin Hibbard,Tina Barta
4,,Shack Attack,Tina Barta,Robin Hibbard
5,M,,Mike Mizanin,Karamo Brown
6,,Knock Your Block Off,Landon Lueck,Karamo Brown
7,F,,Jodi Weatherton,Veronica Portillo
8,,That's a Wrap,Veronica Portillo,Jodi Weatherton
9,M,,Mike Mizanin,Abram Boise
10,,Balls In,Abram Boise,Brad Fiorenza
11,F,,Julie Stoffer,Tonya Cooley
12,,Patch Work,Tonya Cooley,Julie Stoffer
13,M,,Landon Lueck,Dan Renzi
14,,Pegged,Landon Lueck,Dan Renzi
15,F,,Shavonda Billingslea,Tonya Cooley
15,,Spinner,Tonya Cooley,Shavonda Billingslea
