player,gender,finish,origin,team,pair_id
Aneesa Ferreira,,Runners-Up in Don't Bet on It,w:c:mtvrealworld:The Real World: Chicago,Veterans,
David Burns,,Runners-Up in Don't Bet on It,w:c:mtvrealworld:The Real World: Seattle,Veterans,
Julie Stoffer,,Runners-Up in Don't Bet on It,w:c:mtvrealworld:The Real World: New Orleans (2000),Veterans,
Katie Cooley,,Runners-Up in Don't Bet on It,w:c:roadrules:Road Rules: The Quest,Veterans,
Mark Long,,Runners-Up in Don't Bet on It,w:c:roadrules:Road Rules: USA – The First Adventure,Veterans,
Robin Hibbard,,Runners-Up in Don't Bet on It,w:c:mtvrealworld:The Real World: San Diego (2004),Veterans,
Timmy Beggy,,Runners-Up in Don't Bet on It,w:c:roadrules:Road Rules: USA – The Second Adventure,Veterans,
Derrick Kosinski,,Eliminated in Don't Bet on It,w:c:roadrules:Road Rules: X-Treme,Veterans,
Brad Fiorenza,,"Eliminated in The Good, the Brad, and the Ugly",w:c:mtvrealworld:The Real World: San Diego (2004),Veterans,
Beth Stolarczyk,,Quit in Mac-Beth,w:c:mtvrealworld:The Real World: Los Angeles,Veterans,
Syrus Yarbrough,,Eliminated in Bucked!,w:c:mtvrealworld:The Real World: Boston,Veterans,
Montana McGlynn,,Eliminated in Walking the Line,w:c:mtvrealworld:The Real World: Boston,Veterans,
Ace Amerson,,Eliminated in Rookie Moves,w:c:mtvrealworld:The Real World: Paris,Veterans,
Ruthie Alcaide,,Eliminated in The Heat Is On,w:c:mtvrealworld:The Real World: Hawaii,Veterans,
Jisela Delgado,,Eliminated in Sloppy Seconds,w:c:roadrules:Road Rules: The Quest,Veterans,
Adam Larson,,Eliminated in Derrick Steps It Up,w:c:roadrules:Road Rules: The Quest,Veterans,
Alton Williams,,Winners in Don't Bet on It,w:c:mtvrealworld:The Real World: Las Vegas (2002),Rookies,
Ibis Nieves,,Winners in Don't Bet on It,w:c:roadrules:Road Rules: X-Treme,Rookies,
Jamie Murray,,Winners in Don't Bet on It,w:c:mtvrealworld:The Real World: New Orleans (2000),Rookies,
Jodi Weatherton,,Winners in Don't Bet on It,w:c:roadrules:Road Rules: X-Treme,Rookies,
Kina Dean,,Winners in Don't Bet on It,w:c:roadrules:Road Rules: X-Treme,Rookies,
Landon Lueck,,Winners in Don't Bet on It,w:c:mtvrealworld:The Real World: Philadelphia,Rookies,
MJ Garrett,,Winners in Don't Bet on It,w:c:mtvrealworld:The Real World: Philadelphia,Rookies,
Randy Barry,,Winners in Don't Bet on It,w:c:mtvrealworld:The Real World: San Diego (2004),Rookies,
Susie Meister,,Winners in Don't Bet on It,w:c:roadrules:Road Rules: Down Under,Rookies,
Jillian Zoboroski,,Eliminated in Blind Panic,w:c:roadrules:Road Rules: X-Treme,Rookies,
Jeremy Blossom,,"Eliminated in Tire Me Up, Tire Me Down",w:c:roadrules:Road Rules: South Pacific,Rookies,
Cara Zavaleta,,Eliminated in Victory at Last,w:c:roadrules:Road Rules: South Pacific,Rookies,
Adam King,,Eliminated in Watching Paint Dry,w:c:mtvrealworld:The Real World: Paris,Rookies,
Danny Dias,,"Eliminated in The $10,000 Pyramid",w:c:roadrules:Road Rules: X-Treme,Rookies,
Cameran Eubanks,,Quit in We Can Work It Out,w:c:mtvrealworld:The Real World: San Diego (2004),Rookies,
Jo Rhodes,,Quit in Derrick Steps It Up,w:c:mtvrealworld:The Real World: San Francisco,Rookies,
