episode,challenge,format,role,winner
2,Chock Full o' Coconuts,individual,prize,Adam Larson
2,Chock Full o' Coconuts,individual,safety,Derrick Kosinski
3,Team Builders,individual,prize,Kina Dean
3,Team Builders,individual,safety,Cameran Eubanks
4,Moving Pyramid,individual,prize,Alton Williams
4,Moving Pyramid,individual,safety,Danny Dias
5,Spongeworthy,individual,prize,Ruthie Alcaide
5,Spongeworthy,individual,safety,Jisela Delgado
6,Body Painters,individual,prize,Alton Williams
6,Body Painters,individual,safety,Adam King
7,Rickshaw Races,individual,prize,Ruthie Alcaide
7,Rickshaw Races,individual,safety,Beth Stolarczyk
8,Team Strength,individual,prize,Derrick Kosinski
8,Team Strength,individual,safety,Ace Amerson
9,Balancing Act,individual,prize,Beth Stolarczyk
9,Balancing Act,individual,safety,Montana McGlynn
10,Buck-A-Neer,individual,prize,Derrick Kosinski
10,Buck-A-Neer,individual,safety,Syrus Yarbrough
11,Pull Me,individual,prize,Kina Dean
11,Pull Me,individual,safety,Cara Zavaleta
12,Spare Tires,individual,prize,Alton Williams
12,Spare Tires,individual,safety,Jeremy Blossom
13,Easy Does It,individual,prize,Beth Stolarczyk
13,Easy Does It,individual,safety,Aneesa Ferreira
14,The Pit,individual,prize,Derrick Kosinski
14,The Pit,individual,safety,Brad Fiorenza
15,Blind Trust,individual,prize,Kina Dean
15,Blind Trust,individual,safety,Jillian Zoboroski
16/17,Piece by Piece,individual,prize,Derrick Kosinski
16/17,Piece by Piece,individual,safety,Timmy Beggy
