season_id,episode,gender,game,winner,loser
s11_the_gauntlet_2,1,,Royal Rumble,Adam Larson,Alton Williams
s11_the_gauntlet_2,1,,,Jo Rhodes,Ruthie Alcaide
s11_the_gauntlet_2,2,,Name That Coconut,Derrick Kosinski,Adam Larson
s11_the_gauntlet_2,4,,Beach Brawl,Alton Williams,Danny Dias
s11_the_gauntlet_2,5,,Reverse Tug-O-War,Ruthie Alcaide,Jisela Delgado
s11_the_gauntlet_2,6,,Capture The Flag,Alton Williams,Adam King
s11_the_gauntlet_2,7,,Reverse Tug-O-War,Beth Stolarczyk,Ruthie Alcaide
s11_the_gauntlet_2,8,,Beach Brawl,Derrick Kosinski,Ace Amerson
s11_the_gauntlet_2,9,,Reverse Tug-O-War,Beth Stolarczyk,Montana McGlynn
s11_the_gauntlet_2,10,,Beach Brawl,Derrick Kosinski,Syrus Yarbrough
s11_the_gauntlet_2,11,,Name That Coconut,Kina Dean,Cara Zavaleta
s11_the_gauntlet_2,12,,Capture The Flag,Alton Williams,Jeremy Blossom
s11_the_gauntlet_2,14,,Name That Coconut,Derrick Kosinski,Brad Fiorenza
s11_the_gauntlet_2,15,,Sticky Situation,Kina Dean,Jillian Zoboroski
s11_the_gauntlet_2,16/17,,Reverse Tug-O-War,Timmy Beggy,Derrick Kosinski
