player,gender,finish,origin,team,pair_id
Darrell Taylor,,Winners in And the Winners Are...,w:c:roadrules:Road Rules: Campus Crawl,,row_002
Aviv Melmed,,Winners in And the Winners Are...,,,row_002
Tina Barta,,Runners-Up in And the Winners Are...,w:c:roadrules:Road Rules: South Pacific,,row_003
Kenny Santucci,,Runners-Up in And the Winners Are...,,,row_003
Wes Bergmann,,Third Place in And the Winners Are...,w:c:mtvrealworld:The Real World: Austin,,row_004
Casey Cooper,,Third Place in And the Winners Are...,,,row_004
Derrick Kosinski,,Eliminated in The Death Roll,w:c:roadrules:Road Rules: X-Treme,,row_005
Diem Brown,,Eliminated in The Death Roll,,,row_005
Theo von Kurnatowski,,Eliminated in Kenny and Tina's Triumph,w:c:roadrules:Road Rules: Maximum Velocity Tour,,row_006
Chanda Sneed,,Eliminated in Kenny and Tina's Triumph,,,row_006
Shane Landrum,,Eliminated in Jump Down Under,w:c:roadrules:Road Rules: Campus Crawl,,row_007
Linette Gallo,,Eliminated in Jump Down Under,,,row_007
Coral Smith,,Medically Disqualified in Money or Friendship?,w:c:mtvrealworld:The Real World: Back to New York,,row_008
Evan Starkman,,Medically Disqualified in Money or Friendship?,,,row_008
Katie Cooley,,Eliminated in Game Over?,w:c:roadrules:Road Rules: The Quest,,row_009
Big Easy Banks,,Eliminated in Game Over?,,,row_009
Tonya Cooley,,Eliminated in Kayak Challenge,w:c:mtvrealworld:The Real World: Chicago,,row_010
Johnnie McBride,,Eliminated in Kayak Challenge,,,row_010
Johanna Botta,,Eliminated in Costume Extravaganza,w:c:mtvrealworld:The Real World: Austin,,row_011
Jesse Stark,,Eliminated in Costume Extravaganza,,,row_011
Melinda Collins,,Eliminated in Jailbirds,w:c:mtvrealworld:The Real World: Austin,,row_012
Ryan Kehoe,,Eliminated in Jailbirds,,,row_012
Danny Jamieson,,Eliminated in Anxieties Run High,w:c:mtvrealworld:The Real World: Austin,,row_013
Evelyn Smith,,Eliminated in Anxieties Run High,,,row_013
