episode,gender,game,winner,loser
1,,,Wes Bergmann,Danny Jamieson
1,,,Wes Bergmann,Evelyn Smith
1,,,Casey Cooper,Danny Jamieson
1,,,Casey Cooper,Evelyn Smith
2,,Beach Course,Wes Bergmann,Danny Jamieson
2,,Beach Course,Wes Bergmann,Evelyn Smith
2,,Beach Course,Casey Cooper,Danny Jamieson
2,,Beach Course,Casey Cooper,Evelyn Smith
3,,,Melinda Collins,Wes Bergmann
3,,,Melinda Collins,Casey Cooper
3,,,Ryan Kehoe,Wes Bergmann
3,,,Ryan Kehoe,Casey Cooper
4,,Forest Course,Wes Bergmann,Melinda Collins
4,,Forest Course,Wes Bergmann,Ryan Kehoe
4,,Forest Course,Casey Cooper,Melinda Collins
4,,Forest Course,Casey Cooper,Ryan Kehoe
5,,,Wes Bergmann,Johanna Botta
5,,,Wes Bergmann,Jesse Stark
5,,,Casey Cooper,Johanna Botta
5,,,Casey Cooper,Jesse Stark
6,,Cliffside Course,Wes Bergmann,Johanna Botta
6,,Cliffside Course,Wes Bergmann,Jesse Stark
6,,Cliffside Course,Casey Cooper,Johanna Botta
6,,Cliffside Course,Casey Cooper,Jesse Stark
7,,,Wes Bergmann,Tonya Cooley
7,,,Wes Bergmann,Johnnie McBride
7,,,Casey Cooper,Tonya Cooley
7,,,Casey Cooper,Johnnie McBride
8,,Forest Course,Wes Bergmann,Tonya Cooley
8,,Forest Course,Wes Bergmann,Johnnie McBride
8,,Forest Course,Casey Cooper,Tonya Cooley
8,,Forest Course,Casey Cooper,Johnnie McBride
9,,,Katie Cooley,Tina Barta
9,,,Katie Cooley,Kenny Santucci
9,,,Big Easy Banks,Tina Barta
9,,,Big Easy Banks,Kenny Santucci
10,,Beach Course,Tina Barta,Katie Cooley
10,,Beach Course,Tina Barta,Big Easy Banks
10,,Beach Course,Kenny Santucci,Katie Cooley
10,,Beach Course,Kenny Santucci,Big Easy Banks
11,,,Shane Landrum,Wes Bergmann
11,,,Shane Landrum,Casey Cooper
11,,,Linette Gallo,Wes Bergmann
11,,,Linette Gallo,Casey Cooper
12,,Cliffside Course,Wes Bergmann,Shane Landrum
12,,Cliffside Course,Wes Bergmann,Linette Gallo
12,,Cliffside Course,Casey Cooper,Shane Landrum
12,,Cliffside Course,Casey Cooper,Linette Gallo
13,,,Theo von Kurnatowski,Darrell Taylor
13,,,Theo von Kurnatowski,Aviv Melmed
13,,,Chanda Sneed,Darrell Taylor
13,,,Chanda Sneed,Aviv Melmed
14,,Beach Course,Tina Barta,Theo von Kurnatowski
14,,Beach Course,Tina Barta,Chanda Sneed
14,,Beach Course,Kenny Santucci,Theo von Kurnatowski
14,,Beach Course,Kenny Santucci,Chanda Sneed
15,,Forest Course,Darrell Taylor,Derrick Kosinski
15,,Forest Course,Darrell Taylor,Diem Brown
15,,Forest Course,Aviv Melmed,Derrick Kosinski
15,,Forest Course,Aviv Melmed,Diem Brown
