player,gender,finish,origin,team,pair_id
Wes Bergmann,M,Winner in The Big Payoff,w:c:mtvrealworld: The Real World: Austin,,
Brad Fiorenza,M,Runner-Up in The Big Payoff,w:c:mtvrealworld: The Real World: San Diego (2004),,
CT Tamburello,M,Disqualified in The Final Four,w:c:mtvrealworld: The Real World: Paris,,
Evan Starkman,M,Eliminated in Fallen Alliances,Real World/Road Rules Challenge: Fresh Meat,,
Big Easy Banks,M,Eliminated in Friend or Foe?,Real World/Road Rules Challenge: Fresh Meat,,
Derrick Kosinski,M,Eliminated in Until Next Time Derrick,w:c:roadrules:Road Rules: X-Treme,,
Nehemiah Clark,M,Eliminated in Nehemiah's Last Day,w:c:mtvrealworld: The Real World: Austin,,
Kenny Santucci,M,Eliminated in The Drama Mafia,Real World/Road Rules Challenge: Fresh Meat,,
Tyler Duckworth,M,Eliminated in Goodbye Tina and Tyler,w:c:mtvrealworld: The Real World: Key West,,
Johnny Bananas,M,Eliminated in Welcome to Brazil,w:c:mtvrealworld: The Real World: Key West,,
Jodi Weatherton,F,Winner in The Big Payoff,w:c:roadrules:Road Rules: X-Treme,,
Svetlana Shusterman,F,Runner-Up in The Big Payoff,w:c:mtvrealworld: The Real World: Key West,,
Aneesa Ferreira,F,Eliminated in The Final Four,w:c:mtvrealworld: The Real World: Chicago,,
Diem Brown,F,Eliminated in The Big Split,Real World/Road Rules Challenge: Fresh Meat,,
Kina Dean,F,Eliminated in Two for Two,w:c:roadrules:Road Rules: X-Treme,,
Robin Hibbard,F,Eliminated in Harsh Words,w:c:mtvrealworld: The Real World: San Diego (2004),,
Beth Stolarczyk,F,"Disqualified in What Goes Around, Comes Around",w:c:mtvrealworld: The Real World: Los Angeles,,
Casey Cooper,F,Eliminated in Goodbye Casey,Real World/Road Rules Challenge: Fresh Meat,,
Paula Meronek,F,Eliminated in Paula vs. Aneesa,w:c:mtvrealworld: The Real World: Key West,,
Tina Barta,F,Disqualified in Goodbye Tina and Tyler,w:c:roadrules:Road Rules: South Pacific,,
