season_id,episode,challenge,format,role,winner
s13_the_duel,1/2,Reaching Out,individual,prize,Robin Hibbard
s13_the_duel,1/2,Reaching Out,individual,safety,Big Easy Banks
s13_the_duel,2/3,Ring Toss,individual,prize,Kenny Santucci
s13_the_duel,2/3,Ring Toss,individual,safety,Diem Brown
s13_the_duel,3,Pass with Care,individual,prize,Jodi Weatherton
s13_the_duel,3,Pass with Care,individual,safety,Evan Starkman
s13_the_duel,4,Roller Derby,individual,prize,Brad Fiorenza
s13_the_duel,4,Roller Derby,individual,safety,Jodi Weatherton
s13_the_duel,5,Push Over,individual,prize,Beth Stolarczyk
s13_the_duel,5,Push Over,individual,safety,Derrick Kosinski
s13_the_duel,6,Flying Leap,individual,prize,CT Tamburello
s13_the_duel,6,Flying Leap,individual,safety,Svetlana Shusterman
s13_the_duel,7,Throwback,individual,prize,Kina Dean
s13_the_duel,7,Throwback,individual,safety,Evan Starkman
s13_the_duel,8,Rafty Race,individual,prize,CT Tamburello
s13_the_duel,8,Rafty Race,individual,safety,Jodi Weatherton
s13_the_duel,9,Pole Dance,individual,prize,Diem Brown
s13_the_duel,9,Pole Dance,individual,safety,Evan Starkman
s13_the_duel,10,Dine-N-Dash,individual,prize,Evan Starkman
s13_the_duel,10,Dine-N-Dash,individual,safety,Diem Brown
s13_the_duel,11,Stacking Stairs,individual,prize,Jodi Weatherton
s13_the_duel,11,Stacking Stairs,individual,safety,Evan Starkman
s13_the_duel,12,Ice Breakers,individual,prize,Evan Starkman
s13_the_duel,12,Ice Breakers,individual,safety,Jodi Weatherton
s13_the_duel,13,Sunken Treasure,individual,prize,Svetlana Shusterman
s13_the_duel,13,Sunken Treasure,individual,safety,Wes Bergmann
s13_the_duel,14,Around the Block,individual,prize,CT Tamburello
s13_the_duel,14,Around the Block,individual,safety,Jodi Weatherton
s13_the_duel,15,Paddle Me,individual,prize,Wes Bergmann
s13_the_duel,15,,individual,prize,Jodi Weatherton
