season_id,episode,gender,game,winner,loser
s13_the_duel,1/2,M,I Can,Tyler Duckworth,Johnny Bananas
s13_the_duel,3,M,Ascender,Derrick Kosinski,Tyler Duckworth
s13_the_duel,4,F,Pole Wrestle,Aneesa Ferreira,Paula Meronek
s13_the_duel,5,M,Ascender,Nehemiah Clark,Kenny Santucci
s13_the_duel,6,F,Pole Wrestle,Robin Hibbard,Casey Cooper
s13_the_duel,7,M,I Can,Big Easy Banks,Nehemiah Clark
s13_the_duel,8,F,Push Me,Svetlana Shusterman,Beth Stolarczyk
s13_the_duel,9,M,Pole Wrestle,Wes Bergmann,Derrick Kosinski
s13_the_duel,10,F,Ascender,Aneesa Ferreira,Robin Hibbard
s13_the_duel,11,M,Pole Wrestle,Brad Fiorenza,Big Easy Banks
s13_the_duel,12,F,Push Me,Svetlana Shusterman,Kina Dean
s13_the_duel,13,M,Ascender,CT Tamburello,Evan Starkman
s13_the_duel,14,F,I Can,Aneesa Ferreira,Diem Brown
s13_the_duel,15,M,Push Me,Brad Fiorenza,CT Tamburello
s13_the_duel,15,F,I Can,Svetlana Shusterman,Aneesa Ferreira
