player,gender,finish,origin,team,pair_id
Abram Boise,,Winners in The Big Five,w:c:roadrules:Road Rules: South Pacific,Bad Asses,
Derrick Kosinski,,Winners in The Big Five,w:c:roadrules:Road Rules: X-Treme,Bad Asses,
Evelyn Smith,,Winners in The Big Five,Real World/Road Rules Challenge: Fresh Meat,Bad Asses,
Janelle Casanave,,Winners in The Big Five,w:c:mtvrealworld:The Real World: Key West,Bad Asses,
Kenny Santucci,,Winners in The Big Five,Real World/Road Rules Challenge: Fresh Meat,Bad Asses,
Tonya Cooley,,Winners in The Big Five,w:c:mtvrealworld:The Real World: Chicago,Bad Asses,
Aneesa Ferreira,,Eliminated in Team Girl Squad,,Bad Asses,
Jenn Grijalva,,Eliminated in Match Point,w:c:mtvrealworld:The Real World: Denver,Bad Asses,
Danny Jamieson,,Eliminated in Off The Wall,w:c:mtvrealworld:The Real World: Austin,Bad Asses,
Tyri Ballard-Brown,,Eliminated in The Good Guys Strike Back!,w:c:mtvrealworld:The Real World: Denver,Bad Asses,
CT Tamburello,,"Disqualified in Welcome to Africa, Part 1",w:c:mtvrealworld:The Real World: Paris,Bad Asses,
Ace Amerson,,Runners-Up in The Big Five,w:c:mtvrealworld:The Real World: Paris,Good Guys,
Alton Williams,,Runners-Up in The Big Five,w:c:mtvrealworld:The Real World: Las Vegas (2002),Good Guys,
Cara Zavaleta,,Runners-Up in The Big Five,w:c:roadrules:Road Rules: South Pacific,Good Guys,
Johnny Bananas,,Runners-Up in The Big Five,w:c:mtvrealworld:The Real World: Key West,Good Guys,
Paula Meronek,,Runners-Up in The Big Five,w:c:mtvrealworld:The Real World: Key West,Good Guys,
Susie Meister,,Runners-Up in The Big Five,w:c:roadrules:Road Rules: Down Under,Good Guys,
Davis Mallory,,Eliminated in Hook The Man,w:c:mtvrealworld:The Real World: Denver,Good Guys,
Timmy Beggy,,Disqualified in Pane In The Glass,w:c:roadrules:Road Rules: USA – The Second Adventure,Good Guys,
Colie,,Eliminated in Walk This Way,w:c:mtvrealworld:The Real World: Denver,Good Guys,
Rachel Moyal,,Eliminated in Playing The Game,w:c:mtvrealworld:The Real World: Austin,Good Guys,
