season_id,episode,challenge,format,role,winner
s14_the_inferno_3,1,Unbraided,team,prize,Derrick Kosinski
s14_the_inferno_3,1,Unbraided,team,prize,Evelyn Smith
s14_the_inferno_3,1,Unbraided,team,prize,Janelle Casanave
s14_the_inferno_3,1,Unbraided,team,prize,Kenny Santucci
s14_the_inferno_3,1,Unbraided,team,prize,Tonya Cooley
s14_the_inferno_3,1,Unbraided,team,prize,Aneesa Ferreira
s14_the_inferno_3,1,Unbraided,team,prize,Jenn Grijalva
s14_the_inferno_3,1,Unbraided,team,prize,Danny Jamieson
s14_the_inferno_3,1,Unbraided,team,prize,Tyri Ballard-Brown
s14_the_inferno_3,1,Unbraided,team,prize,CT Tamburello
s14_the_inferno_3,2/3,Ladder Race,team,prize,Derrick Kosinski
s14_the_inferno_3,2/3,Ladder Race,team,prize,Evelyn Smith
s14_the_inferno_3,2/3,Ladder Race,team,prize,Janelle Casanave
s14_the_inferno_3,2/3,Ladder Race,team,prize,Kenny Santucci
s14_the_inferno_3,2/3,Ladder Race,team,prize,Tonya Cooley
s14_the_inferno_3,2/3,Ladder Race,team,prize,Aneesa Ferreira
s14_the_inferno_3,2/3,Ladder Race,team,prize,Jenn Grijalva
s14_the_inferno_3,2/3,Ladder Race,team,prize,Danny Jamieson
s14_the_inferno_3,2/3,Ladder Race,team,prize,CT Tamburello
s14_the_inferno_3,3,Battering Ram,team,prize,Ace Amerson
s14_the_inferno_3,3,Battering Ram,team,prize,Alton Williams
s14_the_inferno_3,3,Battering Ram,team,prize,Cara Zavaleta
s14_the_inferno_3,3,Battering Ram,team,prize,Johnny Bananas
s14_the_inferno_3,3,Battering Ram,team,prize,Paula Meronek
s14_the_inferno_3,3,Battering Ram,team,prize,Susie Meister
s14_the_inferno_3,3,Battering Ram,team,prize,Davis Mallory
s14_the_inferno_3,3,Battering Ram,team,prize,Timmy Beggy
s14_the_inferno_3,3,Battering Ram,team,prize,Colie
