episode,gender,game,winner,loser
1,,,Davis Mallory,Abram Boise
2/3,,Head Rush,Alton Williams,Tyri Ballard-Brown
3,,,Susie Meister,Jenn Grijalva
4,,Ejection,Jenn Grijalva,Rachel Moyal
5,,,Davis Mallory,Danny Jamieson
6,,Watch Your Back,Davis Mallory,Danny Jamieson
7,,,Susie Meister,Jenn Grijalva
8,,Spokesmodel,Jenn Grijalva,Colie
9,,,Ace Amerson,Kenny Santucci
10,,Smash House,Abram Boise,Timmy Beggy
11,,,Susie Meister,Jenn Grijalva
12,,Zero Gravity,Susie Meister,Jenn Grijalva
13,,,Davis Mallory,Derrick Kosinski
14,,Corner Ball,Derrick Kosinski,Davis Mallory
15,,Shimmy,Paula Meronek,Aneesa Ferreira
