player,gender,finish,origin,team,pair_id
Adam King,,Runners-Up in The Finale,w:c:mtvrealworld:The Real World: Paris,Veterans,
Brad Fiorenza,,Runners-Up in The Finale,w:c:mtvrealworld:The Real World: San Diego (2004),Veterans,
CT Tamburello,,Runners-Up in The Finale,w:c:mtvrealworld:The Real World: Paris,Veterans,
Diem Brown,,Runners-Up in The Finale,Real World/Road Rules Challenge: Fresh Meat,Veterans,
Big Easy Banks,,Runners-Up in The Finale,Real World/Road Rules Challenge: Fresh Meat,Veterans,
Evan Starkman,,Runners-Up in The Finale,Real World/Road Rules Challenge: Fresh Meat,Veterans,
Evelyn Smith,,Runners-Up in The Finale,Real World/Road Rules Challenge: Fresh Meat,Veterans,
Kenny Santucci,,Runners-Up in The Finale,Real World/Road Rules Challenge: Fresh Meat,Veterans,
Paula Meronek,,Runners-Up in The Finale,w:c:mtvrealworld:The Real World: Key West,Veterans,
Robin Hibbard,,Runners-Up in The Finale,w:c:mtvrealworld:The Real World: San Diego (2004),Veterans,
Danny Jamieson,,Eliminated in The Finale,w:c:mtvrealworld:The Real World: Austin,Veterans,
Katie Cooley,,Eliminated in Cold Blooded,w:c:roadrules:Road Rules: The Quest,Veterans,
Casey Cooper,,Eliminated in What Goes Around,Real World/Road Rules Challenge: Fresh Meat,Veterans,
Coral Smith,,Quit in What Goes Around,,Veterans,
Beth Stolarczyk,,Eliminated in Match-Up of the Century,w:c:mtvrealworld:The Real World: Los Angeles,Veterans,
Johnny Bananas,,Eliminated in Less Is More,w:c:mtvrealworld:The Real World: Key West,Veterans,
Frank Roessler,,Winners in The Finale,w:c:mtvrealworld:The Real World: Las Vegas,Rookies,
Jillian Zoboroski,,Winners in The Finale,w:c:roadrules:Road Rules: X-Treme,Rookies,
Johanna Botta,,Winners in The Finale,w:c:mtvrealworld:The Real World: Austin,Rookies,
Nehemiah Clark,,Winners in The Finale,w:c:mtvrealworld:The Real World: Austin,Rookies,
Rachel Moyal,,Winners in The Finale,w:c:mtvrealworld:The Real World: Austin,Rookies,
Tori Hall,,Winners in The Finale,w:c:roadrules:Road Rules 2007: Viewers' Revenge,Rookies,
Ryan Kehoe,,Eliminated in Cold Blooded,Real World/Road Rules Challenge: Fresh Meat,Rookies,
MJ Garrett,,Eliminated in All Alone,w:c:mtvrealworld:The Real World: Philadelphia,Rookies,
Melinda Collins,,Eliminated in All Alone,w:c:mtvrealworld:The Real World: Austin,Rookies,
Derek McCray,,Eliminated in Match-Up of the Century,w:c:roadrules:Road Rules 2007: Viewers' Revenge,Rookies,
Zach Mann,,Eliminated in It's Not Fair,w:c:mtvrealworld:The Real World: Key West,Rookies,
Janelle Casanave,,Eliminated in It's Not Fair,w:c:mtvrealworld:The Real World: Key West,Rookies,
Tyri Ballard-Brown,,Quit in Less Is More,w:c:mtvrealworld:The Real World: Denver,Rookies,
Brooke LaBarbera,,Eliminated in Less Is More,w:c:mtvrealworld:The Real World: Denver,Rookies,
Tyler Duckworth,,Eliminated in It's Personal,w:c:mtvrealworld:The Real World: Key West,Rookies,
Angel Turlington,,Eliminated in It's Personal,w:c:roadrules:Road Rules 2007: Viewers' Revenge,Rookies,
Alex Smith,,Eliminated in Viva Mexico,w:c:mtvrealworld:The Real World: Denver,Rookies,
