episode,challenge,format,role,winner
1,,individual,prize,Ryan Kehoe
1,,individual,safety,Nehemiah Clark
2,Screw You,individual,prize,Brooke LaBarbera
2,Screw You,individual,safety,Jillian Zoboroski
2,,individual,prize,Tyri Ballard-Brown
2,,individual,safety,Tyler Duckworth
3,Wring Out,individual,prize,Tori Hall
3,Wring Out,individual,safety,Jillian Zoboroski
3,,individual,prize,Adam King
3,,individual,safety,Evan Starkman
4,Push It,individual,prize,Johanna Botta
4,Push It,individual,safety,Janelle Casanave
4,,individual,prize,Ryan Kehoe
4,,individual,safety,Frank Roessler
5,Assembly Required,individual,prize,Casey Cooper
5,Assembly Required,individual,safety,Coral Smith
5,,individual,prize,MJ Garrett
5,,individual,safety,Derek McCray
6,Pole Push,individual,prize,Rachel Moyal
6,Pole Push,individual,safety,Melinda Collins
6,,individual,prize,Ryan Kehoe
6,,individual,safety,Frank Roessler
7,Over the Edge,individual,prize,Katie Cooley
7,Over the Edge,individual,safety,Evelyn Smith
7,,individual,prize,Frank Roessler
8/9,Chill Out,individual,prize,Diem Brown
8/9,Chill Out,individual,safety,Paula Meronek
8/9,,individual,prize,Big Easy Banks
8/9,,individual,safety,Adam King
