episode,gender,game,winner,loser
1,,Force Field,Nehemiah Clark,Alex Smith
2,F,Ram It Home,Jillian Zoboroski,Angel Turlington
2,,Force Field,Frank Roessler,Tyler Duckworth
3,F,Ball Brawl,Jillian Zoboroski,Brooke LaBarbera
3,,Sliders,Evan Starkman,Johnny Bananas
4,F,Ball Brawl,Jillian Zoboroski,Janelle Casanave
4,M,Sliders,Frank Roessler,Zach Mann
5,F,Ball Brawl,Coral Smith,Beth Stolarczyk
5,,Sliders,Ryan Kehoe,Derek McCray
6,F,Ball Brawl,Tori Hall,Melinda Collins
6,,Ankle Breaker,Frank Roessler,MJ Garrett
7,F,Ball Brawl,Evelyn Smith,Casey Cooper
7,M,Ram It Home,Nehemiah Clark,Ryan Kehoe
8/9,F,Sliders,Paula Meronek,Katie Cooley
8/9,,Ball Brawl,Adam King,Danny Jamieson
