player,gender,finish,origin,team,pair_id
Derrick Kosinski,M,Winners in Sailing to Victory,w:c:roadrules:Road Rules: X-Treme,,
Johnny Bananas,M,Winners in Sailing to Victory,w:c:mtvrealworld:The Real World: Key West,,
Kenny Santucci,M,Winners in Sailing to Victory,Real World/Road Rules Challenge: Fresh Meat,,
Ryan Kehoe,M,Runner-Up in Sailing to Victory,Real World/Road Rules Challenge: Fresh Meat,,
Dunbar Merrill,M,Eliminated in Sailing to Victory,w:c:mtvrealworld:The Real World: Sydney,,
Dan Walsh,M,Eliminated in Sailing to Victory,w:c:roadrules:Road Rules 2007: Viewers' Revenge,,
Cohutta Grindstaff,M,Eliminated in Island King,w:c:mtvrealworld:The Real World: Sydney,,
Tyri Ballard-Brown,M,Eliminated in Ev vs. the Island,w:c:mtvrealworld:The Real World: Denver,,
Abram Boise,M,Eliminated in Calling It Quits,w:c:roadrules:Road Rules: South Pacific,,
Dave Malinosky,M,Quit in Calling It Quits,w:c:mtvrealworld:The Real World: Hollywood,,
Evelyn Smith,F,Winner in Sailing to Victory,Real World/Road Rules Challenge: Fresh Meat,,
Jenn Grijalva,F,Runners-Up in Sailing to Victory,w:c:mtvrealworld:The Real World: Denver,,
Paula Meronek,F,Runners-Up in Sailing to Victory,w:c:mtvrealworld:The Real World: Key West,,
Robin Hibbard,F,Runners-Up in Sailing to Victory,w:c:mtvrealworld:The Real World: San Diego (2004),,
Johanna Botta,F,Eliminated in Sailing to Victory,w:c:mtvrealworld:The Real World: Austin,,
KellyAnne Judd,F,Eliminated in Sailing to Victory,w:c:mtvrealworld:The Real World: Sydney,,
Colie,F,Eliminated in Down to the Wire,w:c:mtvrealworld:The Real World: Denver,,
Ashli Robson,F,Eliminated in Are You a Quitter?,w:c:mtvrealworld:The Real World: Sydney,,
Rachel Robinson,F,Eliminated in Girl Fight,w:c:roadrules:Road Rules: Campus Crawl,,
Tonya Cooley,F,Eliminated in Welcome to the Island,w:c:mtvrealworld:The Real World: Chicago,,
