player,gender,finish,origin,team,pair_id
Evan Starkman,M,Winner in Duel or Die,Real World/Road Rules Challenge: Fresh Meat,,
Brad Fiorenza,M,Runner-Up in Duel or Die,w:c:mtvrealworld:The Real World: San Diego (2004),,
Mark Long,M,Third Place in Duel or Die,w:c:roadrules:Road Rules: USA – The First Adventure,,
Landon Lueck,M,Eliminated in Duel or Die,w:c:mtvrealworld:The Real World: Philadelphia,,
MJ Garrett,M,Eliminated in Duel or Die,w:c:mtvrealworld:The Real World: Philadelphia,,
Derek McCray,M,Eliminated in If These Duels Could Talk,w:c:roadrules:Road Rules 2007: Viewers' Revenge,,
Dunbar Merrill,M,Eliminated in Deja Duel,w:c:mtvrealworld:The Real World: Sydney,,
Big Easy Banks,M,Eliminated in Dueling for Dunbar,Real World/Road Rules Challenge: Fresh Meat,,
Isaac Stout,M,Eliminated in Duelers on the Verge of a Nervous Breakdown,w:c:mtvrealworld:The Real World: Sydney,,
Nehemiah Clark,M,Eliminated in Duel-ality,w:c:mtvrealworld:The Real World: Austin,,
Davis Mallory,M,Eliminated in Duel What You Gotta Duel,w:c:mtvrealworld:The Real World: Denver,,
Ryan Kehoe,M,Eliminated in Duel Unto Others,Real World/Road Rules Challenge: Fresh Meat,,
Nick Brown,M,Eliminated in Damned if You Duel...,w:c:mtvrealworld:The Real World: Hollywood,,
Adam King,M,Disqualified in Damned if You Duel...,w:c:mtvrealworld:The Real World: Paris,,
CT Tamburello,M,Disqualified in Damned if You Duel...,w:c:mtvrealworld:The Real World: Paris,,
Rachel Robinson,F,Winner in Duel or Die,w:c:roadrules:Road Rules: Campus Crawl,,
Brittini Sherrod,F,Runner-Up in Duel or Die,w:c:mtvrealworld:The Real World: Hollywood,,
Aneesa Ferreira,F,Third Place in Duel or Die,w:c:mtvrealworld:The Real World: Chicago,,
Diem Brown,F,Eliminated in Duel or Die,Real World/Road Rules Challenge: Fresh Meat,,
Tori Hall,F,Eliminated in Duel or Die,w:c:roadrules:Road Rules 2007: Viewers' Revenge,,
Jenn Grijalva,F,Eliminated in If These Duels Could Talk,w:c:mtvrealworld:The Real World: Denver,,
Paula Meronek,F,Eliminated in Deja Duel,w:c:mtvrealworld:The Real World: Key West,,
Kimberly Alexander,F,Eliminated in Dueling for Dunbar,w:c:mtvrealworld:The Real World: Hollywood,,
Ruthie Alcaide,F,Eliminated in Duelers on the Verge of a Nervous Breakdown,w:c:mtvrealworld:The Real World: Hawaii,,
Katie Cooley,F,Eliminated in Duel-ality,w:c:roadrules:Road Rules: The Quest,,
Brooke LaBarbera,F,Eliminated in Duel What You Gotta Duel,w:c:mtvrealworld:The Real World: Denver,,
Robin Hibbard,F,Eliminated in Duel Unto Others,w:c:mtvrealworld:The Real World: San Diego (2004),,
Shauvon Torres,F,Eliminated in Duel Unto Others,w:c:mtvrealworld:The Real World: Sydney,,
