episode,challenge,format,role,winner
1/2,Last Man Standing,individual,prize,Ryan Kehoe
1/2,Last Man Standing,individual,safety,Nick Brown
1/2,,individual,prize,Shauvon Torres
1/2,,individual,safety,Aneesa Ferreira
2,Freezing as Puck,individual,prize,Robin Hibbard
2,Freezing as Puck,individual,safety,Kimberly Alexander
2,,individual,prize,MJ Garrett
2,,individual,safety,Ryan Kehoe
3,All Shook Up,individual,prize,Brooke LaBarbera
3,All Shook Up,individual,safety,Brittini Sherrod
3,,individual,prize,Davis Mallory
3,,individual,safety,Evan Starkman
4,Luging My Mind,individual,prize,Jenn Grijalva
4,Luging My Mind,individual,safety,Katie Cooley
4,,individual,prize,Nehemiah Clark
4,,individual,safety,Evan Starkman
5,Don't Let Go,individual,prize,Isaac Stout
5,Don't Let Go,individual,safety,Landon Lueck
5,,individual,prize,Ruthie Alcaide
5,,individual,safety,Kimberly Alexander
6,Dangle Duo,individual,prize,Derek McCray
6,Dangle Duo,individual,safety,Big Easy Banks
6,,individual,prize,Kimberly Alexander
6,,individual,safety,Jenn Grijalva
7,Burnt,individual,prize,Dunbar Merrill
7,Burnt,individual,safety,MJ Garrett
7,,individual,prize,Paula Meronek
7,,individual,safety,Aneesa Ferreira
8,Upside Downer,individual,prize,Derek McCray
8,Upside Downer,individual,safety,Evan Starkman
8,,individual,prize,Jenn Grijalva
8,,individual,safety,Diem Brown
9/10,Spelling Air,individual,prize,MJ Garrett
9/10,Spelling Air,individual,safety,Brad Fiorenza
9/10,,individual,prize,Aneesa Ferreira
9/10,,individual,safety,Tori Hall
10,N/A,individual,prize,Brad Fiorenza
10,,individual,prize,Brittini Sherrod
10,,individual,safety,Brittini Sherrod
