season_id,episode,gender,game,winner,loser
s17_the_duel_ii,1/2,,The Elevator,Ryan Kehoe,Nick Brown
s17_the_duel_ii,1/2,,Back Off,Aneesa Ferreira,Shauvon Torres
s17_the_duel_ii,2,,Duel Pole Dancing,Kimberly Alexander,Robin Hibbard
s17_the_duel_ii,2,,Push Over,MJ Garrett,Ryan Kehoe
s17_the_duel_ii,3,,Back Off,Brittini Sherrod,Brooke LaBarbera
s17_the_duel_ii,3,,Spot On,Evan Starkman,Davis Mallory
s17_the_duel_ii,4,,Push Over,Jenn Grijalva,Katie Cooley
s17_the_duel_ii,4,,The Elevator,Evan Starkman,Nehemiah Clark
s17_the_duel_ii,5,,Spot On,Landon Lueck,Isaac Stout
s17_the_duel_ii,5,,Back Off,Kimberly Alexander,Ruthie Alcaide
s17_the_duel_ii,6,,Duel Pole Dancing,Derek McCray,Big Easy Banks
s17_the_duel_ii,6,,Push Over,Jenn Grijalva,Kimberly Alexander
s17_the_duel_ii,7,,The Elevator,MJ Garrett,Dunbar Merrill
s17_the_duel_ii,7,,Back Off,Aneesa Ferreira,Paula Meronek
s17_the_duel_ii,8,,Spot On,Evan Starkman,Derek McCray
s17_the_duel_ii,8,,Push Over,Diem Brown,Jenn Grijalva
s17_the_duel_ii,9/10,,Duel Pole Dancing,Brad Fiorenza,MJ Garrett
s17_the_duel_ii,9/10,,The Elevator,Aneesa Ferreira,Tori Hall
s17_the_duel_ii,10,,Back Off,Brad Fiorenza,Landon Lueck
s17_the_duel_ii,10,,Push Over,Brittini Sherrod,Diem Brown
