player,gender,finish,origin,team,pair_id
Derrick Kosinski,,Winners in Good Thai and Good Luck,w:c:roadrules:Road Rules: X-Treme,Champions,
Evan Starkman,,Winners in Good Thai and Good Luck,Real World/Road Rules Challenge: Fresh Meat,Champions,
Johnny Bananas,,Winners in Good Thai and Good Luck,w:c:mtvrealworld:The Real World: Key West,Champions,
Kenny Santucci,,Winners in Good Thai and Good Luck,Real World/Road Rules Challenge: Fresh Meat,Champions,
Susie Meister,,Winners in Good Thai and Good Luck,w:c:roadrules:Road Rules: Down Under,Champions,
Darrell Taylor,,Disqualified in Thai Me Up! Thai Me Down!,w:c:roadrules:Road Rules: Campus Crawl,Champions,
Johanna Botta,,Eliminated in Silence of the Ruins,w:c:mtvrealworld:The Real World: Austin,Champions,
Veronica Portillo,,Eliminated in Ruining on Empty,w:c:roadrules:Road Rules: Semester at Sea,Champions,
Syrus Yarbrough,,Eliminated in Ruining on Empty,w:c:mtvrealworld:The Real World: Boston,Champions,
Ibis Nieves,,Eliminated in Reversal of Fortune,w:c:roadrules:Road Rules: X-Treme,Champions,
Wes Bergmann,,Eliminated in Reversal of Fortune,w:c:mtvrealworld:The Real World: Austin,Champions,
Katie Cooley,,Eliminated in Girls Gone Wild,w:c:roadrules:Road Rules: The Quest,Champions,
Tonya Cooley,,Disqualified in Girls Gone Wild,w:c:mtvrealworld:The Real World: Chicago,Champions,
Evelyn Smith,,Eliminated in The Booby Trap,Real World/Road Rules Challenge: Fresh Meat,Champions,
KellyAnne Judd,,Runners-Up in Good Thai and Good Luck,w:c:mtvrealworld:The Real World: Sydney,Challengers,
Sarah Rice,,Runners-Up in Good Thai and Good Luck,w:c:mtvrealworld:The Real World: Brooklyn,Challengers,
Casey Cooper,,Eliminated in Muay So-Called Ruins,Real World/Road Rules Challenge: Fresh Meat,Challengers,
Dunbar Merrill,,Eliminated in Muay So-Called Ruins,w:c:mtvrealworld:The Real World: Sydney,Challengers,
Kimberly Alexander,,Eliminated in Muay So-Called Ruins,w:c:mtvrealworld:The Real World: Hollywood,Challengers,
Brad Fiorenza,,Disqualified in Thai Me Up! Thai Me Down!,w:c:mtvrealworld:The Real World: San Diego,Challengers,
Cohutta Grindstaff,,Eliminated in Silence of the Ruins,w:c:mtvrealworld:The Real World: Sydney,Challengers,
Danny Jamieson,,Eliminated in Girls Gone Wild,w:c:mtvrealworld:The Real World: Austin,Challengers,
Adam King,,Eliminated in The Road to Ruins,w:c:mtvrealworld:The Real World: Paris,Challengers,
Brianna Taylor,,Eliminated in The Road to Ruins,w:c:mtvrealworld:The Real World: Hollywood,Challengers,
Nick Brown,,Eliminated in The Booby Trap,w:c:mtvrealworld:The Real World: Hollywood,Challengers,
Shauvon Torres,,Medically Disqualified in The Booby Trap,w:c:mtvrealworld:The Real World: Sydney,Challengers,
Diem Brown,,Eliminated in Wes Side Story,Real World/Road Rules Challenge: Fresh Meat,Challengers,
Chet Cannon,,Eliminated in Wes Side Story,w:c:mtvrealworld:The Real World: Brooklyn,Challengers,
