episode,challenge,format,role,winner
1,Chain Gang,individual,prize,Darrell Taylor
1,Chain Gang,individual,safety,Kenny Santucci
1,,individual,prize,Susie Meister
1,,individual,safety,Tonya Cooley
2,Swing on By,individual,prize,Derrick Kosinski
2,Swing on By,individual,safety,Johnny Bananas
2,,individual,prize,Katie Cooley
2,,individual,safety,Susie Meister
3,Repo Race,individual,prize,Ibis Nieves
3,Repo Race,individual,safety,Susie Meister
3,,individual,prize,Kenny Santucci
3,,individual,safety,Syrus Yarbrough
4,Burning Bridge,individual,prize,Katie Cooley
4,Burning Bridge,individual,safety,Susie Meister
4,,individual,prize,Derrick Kosinski
4,,individual,safety,Johnny Bananas
5,Block Party,individual,prize,Evan Starkman
5,Block Party,individual,safety,Kenny Santucci
5,,individual,prize,Johanna Botta
5,,individual,safety,Veronica Portillo
6,Fruits of Your Labor,individual,prize,Derrick Kosinski
6,Fruits of Your Labor,individual,safety,Johnny Bananas
6,,individual,prize,Susie Meister
6,,individual,safety,Veronica Portillo
7,Rotary Club,individual,prize,Johanna Botta
7,Rotary Club,individual,safety,Susie Meister
7,,individual,prize,Evan Starkman
7,,individual,safety,Kenny Santucci
8/9,On the Fence,individual,prize,Susie Meister
8/9,On the Fence,individual,safety,Casey Cooper
8/9,,individual,prize,Johnny Bananas
8/9,,individual,safety,Kenny Santucci
9,Wall Walker,individual,prize,Susie Meister
9,Wall Walker,individual,safety,Casey Cooper
