episode,gender,game,winner,loser
1,,Shoots and Ladders,Wes Bergmann,Chet Cannon
1,,,Tonya Cooley,Diem Brown
2,,Shadowfighter,Wes Bergmann,Nick Brown
2,,,KellyAnne Judd,Evelyn Smith
3,,Burnout,Susie Meister,Brianna Taylor
3,,,Syrus Yarbrough,Adam King
4,,Oh-Ring,Sarah Rice,Katie Cooley
4,,,Darrell Taylor,Danny Jamieson
5,,Spool,Cohutta Grindstaff,Wes Bergmann
5,,,Kimberly Alexander,Ibis Nieves
6,,Hog Tie,Cohutta Grindstaff,Syrus Yarbrough
6,,,KellyAnne Judd,Veronica Portillo
7,,Crunch,Sarah Rice,Johanna Botta
7,,,Darrell Taylor,Cohutta Grindstaff
8/9,,Rag Doll,Susie Meister,Kimberly Alexander
8/9,,N/A,Johnny Bananas,Dunbar Merrill
9,,Muay Thai,Susie Meister,Casey Cooper
