player,gender,finish,origin,team,pair_id
Landon Lueck,,"Winners in Well Done, Meat",w:c:mtvrealworld:The Real World: Philadelphia,,row_002
Carley Johnson,,"Winners in Well Done, Meat",,,row_002
Kenny Santucci,,"Runners-Up in Well Done, Meat",Real World/Road Rules Challenge: Fresh Meat,,row_003
Laurel Stucky,,"Runners-Up in Well Done, Meat",,,row_003
Jillian Zoboroski,,"Third Place in Well Done, Meat",w:c:roadrules:Road Rules: X-Treme,,row_004
Pete Connolly,,"Third Place in Well Done, Meat",,,row_004
Jenn Grijalva,,"Fourth Place in Well Done, Meat",w:c:mtvrealworld:The Real World: Denver,,row_005
Noor Jehangir,,"Fourth Place in Well Done, Meat",,,row_005
Ryan Kehoe,,"Eliminated in Well Done, Meat",Real World/Road Rules Challenge: Fresh Meat,,row_006
Theresa Jones,,"Eliminated in Well Done, Meat",,,row_006
Evelyn Smith,,Eliminated in All U Can Eat Stakes,Real World/Road Rules Challenge: Fresh Meat,,row_007
Luke Wolfe,,Eliminated in All U Can Eat Stakes,,,row_007
Wes Bergmann,,Eliminated in Trimming the Fat,w:c:mtvrealworld:The Real World: Austin,,row_008
Mandi Moyer,,Eliminated in Trimming the Fat,,,row_008
CJ Koegel,,Eliminated in Checkmeat!,w:c:mtvrealworld:The Real World: Cancun,,row_009
Sydney Walker,,Eliminated in Checkmeat!,,,row_009
Danny Jamieson,,Eliminated in Road Kill,w:c:mtvrealworld:The Real World: Austin,,row_010
Sandy Kang,,Eliminated in Road Kill,,,row_010
Katelynn Cusanelli,,Disqualified in Meats 'N Potatoes,w:c:mtvrealworld:The Real World: Brooklyn,,row_011
Brandon Nelson,,Disqualified in Meats 'N Potatoes,,,row_011
Paula Meronek,,Eliminated in Sloppy Ho's,w:c:mtvrealworld:The Real World: Key West,,row_012
Jeff Barr,,Eliminated in Sloppy Ho's,,,row_012
Sarah Rice,,Eliminated in Meating of the Minds,w:c:mtvrealworld:The Real World: Brooklyn,,row_013
Vinny Foti,,Eliminated in Meating of the Minds,,,row_013
Darrell Taylor,,Eliminated in Nice to Meat You,w:c:roadrules:Road Rules: Campus Crawl,,row_014
Cara Maria Sorbello,,Eliminated in Nice to Meat You,,,row_014
