episode,challenge,format,role,winner
1,Dirty Mouth,pair,prize,Darrell Taylor
1,Dirty Mouth,pair,prize,Cara Maria Sorbello
1,Dirty Mouth,pair,safety,Jillian Zoboroski
1,Dirty Mouth,pair,safety,Pete Connolly
2,I'll Be There for You,pair,prize,Kenny Santucci
2,I'll Be There for You,pair,prize,Laurel Stucky
2,I'll Be There for You,pair,safety,Sarah Rice
2,I'll Be There for You,pair,safety,Vinny Foti
3,Water Logged,pair,prize,Evelyn Smith
3,Water Logged,pair,prize,Luke Wolfe
3,Water Logged,pair,safety,Paula Meronek
3,Water Logged,pair,safety,Jeff Barr
4,King of the Wall,pair,prize,CJ Koegel
4,King of the Wall,pair,prize,Sydney Walker
4,King of the Wall,pair,safety,Katelynn Cusanelli
4,King of the Wall,pair,safety,Brandon Nelson
5,Drop Out,pair,prize,Danny Jamieson
5,Drop Out,pair,prize,Sandy Kang
5,Drop Out,pair,safety,Jillian Zoboroski
5,Drop Out,pair,safety,Pete Connolly
6,Turn Style,pair,prize,Landon Lueck
6,Turn Style,pair,prize,Carley Johnson
6,Turn Style,pair,safety,CJ Koegel
6,Turn Style,pair,safety,Sydney Walker
7,Airheads,pair,prize,Wes Bergmann
7,Airheads,pair,prize,Mandi Moyer
7,Airheads,pair,safety,Evelyn Smith
7,Airheads,pair,safety,Luke Wolfe
8/9,Wrecking Ball,pair,prize,Evelyn Smith
8/9,Wrecking Ball,pair,prize,Luke Wolfe
8/9,Wrecking Ball,pair,safety,Landon Lueck
8/9,Wrecking Ball,pair,safety,Carley Johnson
9/10,Obstacle,team,prize,Jenn Grijalva
9/10,Obstacle,team,prize,Noor Jehangir
9/10,Obstacle,team,prize,Ryan Kehoe
9/10,Obstacle,team,prize,Theresa Jones
