season_id,episode,gender,game,winner,loser
s19_fresh_meat_ii,1,,Lost and Found,Jillian Zoboroski,Darrell Taylor
s19_fresh_meat_ii,1,,Lost and Found,Jillian Zoboroski,Cara Maria Sorbello
s19_fresh_meat_ii,1,,Lost and Found,Pete Connolly,Darrell Taylor
s19_fresh_meat_ii,1,,Lost and Found,Pete Connolly,Cara Maria Sorbello
s19_fresh_meat_ii,2,,Weight for Me,Kenny Santucci,Sarah Rice
s19_fresh_meat_ii,2,,Weight for Me,Kenny Santucci,Vinny Foti
s19_fresh_meat_ii,2,,Weight for Me,Laurel Stucky,Sarah Rice
s19_fresh_meat_ii,2,,Weight for Me,Laurel Stucky,Vinny Foti
s19_fresh_meat_ii,3,,Lost and Found,Evelyn Smith,Paula Meronek
s19_fresh_meat_ii,3,,Lost and Found,Evelyn Smith,Jeff Barr
s19_fresh_meat_ii,3,,Lost and Found,Luke Wolfe,Paula Meronek
s19_fresh_meat_ii,3,,Lost and Found,Luke Wolfe,Jeff Barr
s19_fresh_meat_ii,5,,Lost and Found,Jillian Zoboroski,Danny Jamieson
s19_fresh_meat_ii,5,,Lost and Found,Jillian Zoboroski,Sandy Kang
s19_fresh_meat_ii,5,,Lost and Found,Pete Connolly,Danny Jamieson
s19_fresh_meat_ii,5,,Lost and Found,Pete Connolly,Sandy Kang
s19_fresh_meat_ii,6,,Weight for Me,Landon Lueck,CJ Koegel
s19_fresh_meat_ii,6,,Weight for Me,Landon Lueck,Sydney Walker
s19_fresh_meat_ii,6,,Weight for Me,Carley Johnson,CJ Koegel
s19_fresh_meat_ii,6,,Weight for Me,Carley Johnson,Sydney Walker
s19_fresh_meat_ii,7,,Lost and Found,Evelyn Smith,Wes Bergmann
s19_fresh_meat_ii,7,,Lost and Found,Evelyn Smith,Mandi Moyer
s19_fresh_meat_ii,7,,Lost and Found,Luke Wolfe,Wes Bergmann
s19_fresh_meat_ii,7,,Lost and Found,Luke Wolfe,Mandi Moyer
s19_fresh_meat_ii,8/9,,Weight for Me: Black Out,Landon Lueck,Evelyn Smith
s19_fresh_meat_ii,8/9,,Weight for Me: Black Out,Landon Lueck,Luke Wolfe
s19_fresh_meat_ii,8/9,,Weight for Me: Black Out,Carley Johnson,Evelyn Smith
s19_fresh_meat_ii,8/9,,Weight for Me: Black Out,Carley Johnson,Luke Wolfe
s19_fresh_meat_ii,9/10,,Weight for Me: Black Out,Jenn Grijalva,Ryan Kehoe
s19_fresh_meat_ii,9/10,,Weight for Me: Black Out,Jenn Grijalva,Theresa Jones
s19_fresh_meat_ii,9/10,,Weight for Me: Black Out,Noor Jehangir,Ryan Kehoe
s19_fresh_meat_ii,9/10,,Weight for Me: Black Out,Noor Jehangir,Theresa Jones
