season_id,player,gender,finish,origin,team,pair_id
s20_cutthroat,Brad Fiorenza,,Winners in Czechmate,w:c:mtvrealworld:The Real World: San Diego (2004),Red Team,
s20_cutthroat,Dunbar Merrill,,Winners in Czechmate,w:c:mtvrealworld:The Real World: Syndey,Red Team,
s20_cutthroat,Tori Hall,,Winners in Czechmate,w:c:roadrules:Road Rules 2007: Viewers' Revenge,Red Team,
s20_cutthroat,Tyler Duckworth,,Winners in Czechmate,w:c:mtvrealworld:The Real World: Key West,Red Team,
s20_cutthroat,Paula Meronek,,Disqualified in Czechmate,w:c:mtvrealworld:The Real World: Key West,Red Team,
s20_cutthroat,Camila Nakagawa,,Eliminated in Hell Hath No Fury,,Red Team,
s20_cutthroat,Brandon Nelson,,Eliminated in Where the Red Team Blows,,Red Team,
s20_cutthroat,Melinda Collins,,Eliminated in Where the Red Team Blows,w:c:mtvrealworld:The Real World: Austin,Red Team,
s20_cutthroat,Chet Cannon,,Medically Disqualified in Where the Red Team Blows,w:c:mtvrealworld:The Real World: Brooklyn,Red Team,
s20_cutthroat,Mandi Moyer,,Eliminated in Newbie Doobie Doo,,Red Team,
s20_cutthroat,Abram Boise,,Runners-Up in Czechmate,w:c:roadrules:Road Rules: South Pacific,Grey Team,
s20_cutthroat,Cara Maria Sorbello,,Runners-Up in Czechmate,,Grey Team,
s20_cutthroat,Laurel Stucky,,Runners-Up in Czechmate,,Grey Team,
s20_cutthroat,Luke Wolfe,,Runners-Up in Czechmate,,Grey Team,
s20_cutthroat,Sarah Rice,,Runners-Up in Czechmate,w:c:mtvrealworld:The Real World: Brooklyn,Grey Team,
s20_cutthroat,Dan Walsh,,Eliminated in Hell Hath No Fury,w:c:roadrules:Road Rules 2007: Viewers' Revenge,Grey Team,
s20_cutthroat,Ayiiia Elizarrarás,,Eliminated in Swat the Hell?,w:c:mtvrealworld:The Real World: Cancun,Grey Team,
s20_cutthroat,Shauvon Torres,,Quit in Karma's a Bitch,w:c:mtvrealworld:The Real World: Syndey,Grey Team,
s20_cutthroat,Vinny Foti,,Eliminated in Karma's a Bitch,,Grey Team,
s20_cutthroat,JD Ordoñez,,Eliminated in Newbie Doobie Doo,w:c:mtvrealworld:The Real World: Brooklyn,Grey Team,
s20_cutthroat,Emily Schromm,,Third Place in Czechmate,w:c:mtvrealworld:The Real World: D.C.,Blue Team,
s20_cutthroat,Jenn Grijalva,,Third Place in Czechmate,w:c:mtvrealworld:The Real World: Denver,Blue Team,
s20_cutthroat,Derrick Kosinski,,Eliminated in Czechmate,w:c:roadrules:Road Rules: X-Treme,Blue Team,
s20_cutthroat,Johnny Bananas,,Eliminated in Always a Bridesmaid...,w:c:mtvrealworld:The Real World: Key West,Blue Team,
s20_cutthroat,Theresa Jones,,Eliminated in Always a Bridesmaid...,,Blue Team,
s20_cutthroat,Katie Cooley,,"Eliminated in Couching Tyger, Hidden Danimal",w:c:roadrules:Road Rules: The Quest,Blue Team,
s20_cutthroat,Ty Ruff,,"Disqualified in Couching Tyger, Hidden Danimal",w:c:mtvrealworld:The Real World: D.C.,Blue Team,
s20_cutthroat,Big Easy Banks,,Eliminated in Swat the Hell?,Real World/Road Rules Challenge: Fresh Meat,Blue Team,
s20_cutthroat,Emilee Fitzpatrick,,Eliminated in Czech Yourself Before You Wreck Yourself,w:c:mtvrealworld:The Real World: Cancun,Blue Team,
s20_cutthroat,Derek Chavez,,Eliminated in Czech Yourself Before You Wreck Yourself,w:c:mtvrealworld:The Real World: Cancun,Blue Team,
