episode,challenge,format,role,winner
1,Gas Problems,individual,prize,Brandon Nelson
1,Gas Problems,individual,safety,Derek Chavez
1,,individual,prize,Emilee Fitzpatrick
2,Brain Buster,individual,prize,Brandon Nelson
2,Brain Buster,individual,safety,JD Ordoñez
2,,individual,prize,Cara Maria Sorbello
3,Bed Head,individual,prize,Vinny Foti
3,Bed Head,individual,safety,Big Easy Banks
4,Bottleneck Stampede,individual,prize,Ayiiia Elizarrarás
4,Bottleneck Stampede,individual,safety,Katie Cooley
4,,individual,prize,Big Easy Banks
5,Surf's Up,individual,prize,Brandon Nelson
5,Surf's Up,individual,safety,Ty Ruff
5,,individual,prize,Katie Cooley
6,Sky Hook,individual,prize,Melinda Collins
6,Sky Hook,individual,safety,Emily Schromm
6,,individual,prize,Derrick Kosinski
7,Gimme a Hand,individual,prize,Dunbar Merrill
7,Gimme a Hand,individual,safety,Dan Walsh
7,,individual,prize,Laurel Stucky
8/9,High Ball,individual,prize,Tori Hall
8/9,High Ball,individual,safety,Theresa Jones
8/9,,individual,prize,Johnny Bananas
9/10,Riot Act,individual,prize,Tyler Duckworth
9/10,Riot Act,individual,safety,Derrick Kosinski
9/10,,individual,prize,Emily Schromm
