episode,gender,game,winner,loser
1,,Handcuffs,Brandon Nelson,Derek Chavez
1,,,Camila Nakagawa,Emilee Fitzpatrick
2,,Back Up Off Me,Brandon Nelson,JD Ordoñez
2,,,Cara Maria Sorbello,Mandi Moyer
3,,Die Hard,Big Easy Banks,Vinny Foti
3,,,Shauvon Torres,Katie Cooley
4,,Swat,Katie Cooley,Ayiiia Elizarrarás
4,,,Luke Wolfe,Big Easy Banks
5,,Pole Me Over,Brandon Nelson,Ty Ruff
5,,,Camila Nakagawa,Katie Cooley
6,,Handcuffs,Emily Schromm,Melinda Collins
6,,,Derrick Kosinski,Brandon Nelson
7,,Die Hard,Dunbar Merrill,Dan Walsh
7,,,Laurel Stucky,Camila Nakagawa
8/9,,Back Up Off Me,Tori Hall,Theresa Jones
8/9,,,Tyler Duckworth,Johnny Bananas
9/10,,Pole Me Over,Tyler Duckworth,Derrick Kosinski
9/10,,,Emily Schromm,Paula Meronek
