player,gender,finish,origin,team,pair_id
Johnny Bananas,,Winners in At the End of the World,w:c:mtvrealworld:The Real World: Key West,,row_002
Tyler Duckworth,,Winners in At the End of the World,w:c:mtvrealworld:The Real World: Key West,,row_002
Evelyn Smith,,Winners in At the End of the World,Real World/Road Rules Challenge: Fresh Meat,,row_003
Paula Meronek,,Winners in At the End of the World,w:c:mtvrealworld:The Real World: Key West,,row_003
Kenny Santucci,,Runners-Up in At the End of the World,Real World/Road Rules Challenge: Fresh Meat,,row_004
Wes Bergmann,,Runners-Up in At the End of the World,w:c:mtvrealworld:The Real World: Austin,,row_004
Cara Maria Sorbello,,Runners-Up in At the End of the World,,,row_005
Laurel Stucky,,Runners-Up in At the End of the World,,,row_005
Leroy Garrett,,Third Place in At the End of the World,w:c:mtvrealworld:The Real World: Las Vegas (2011),,row_006
Michael Ross,,Third Place in At the End of the World,w:c:mtvrealworld:The Real World: Las Vegas (2011),,row_006
Jenn Grijalva,,Third Place in At the End of the World,w:c:mtvrealworld:The Real World: Denver,,row_007
Mandi Moyer,,Third Place in At the End of the World,,,row_007
Adam King,,Eliminated in The Storm Before the Storm,w:c:mtvrealworld:The Real World: Paris,,row_008
CT Tamburello,,Eliminated in The Storm Before the Storm,w:c:mtvrealworld:The Real World: Paris,,row_008
Jasmine Reynaud,,Eliminated in Blood on the Dance Floor,w:c:mtvrealworld:The Real World: Cancun,,row_009
Jonna Mannion,,Eliminated in Blood on the Dance Floor,w:c:mtvrealworld:The Real World: Cancun,,row_009
Evan Starkman,,Eliminated in Blowup,Real World/Road Rules Challenge: Fresh Meat,,row_010
Nehemiah Clark,,Eliminated in Blowup,w:c:mtvrealworld:The Real World: Austin,,row_010
Katelynn Cusanelli,,Eliminated in Ill Communication,w:c:mtvrealworld:The Real World: Brooklyn,,row_011
Sarah Rice,,Eliminated in Ill Communication,w:c:mtvrealworld:The Real World: Brooklyn,,row_011
Brandon Nelson,,Eliminated in D-Day,w:c:mtvrealworld:The Real World: D.C.,,row_012
Ty Ruff,,Eliminated in D-Day,,,row_012
Camila Nakagawa,,Eliminated in Underdog Day Afternoon,,,row_013
Theresa Jones,,Eliminated in Underdog Day Afternoon,,,row_013
Davis Mallory,,Eliminated in Through the Looking Glass,w:c:mtvrealworld:The Real World: Denver,,row_014
Tyri Ballard-Brown,,Eliminated in Through the Looking Glass,w:c:mtvrealworld:The Real World: Denver,,row_014
Aneesa Ferreira,,Eliminated in Welcome to the Jungle,w:c:mtvrealworld:The Real World: Chicago,,row_015
Robin Hibbard,,Eliminated in Welcome to the Jungle,w:c:mtvrealworld:The Real World: San Diego (2004),,row_015
Adam Royer,,Disqualified in Welcome to the Jungle,w:c:mtvrealworld:The Real World: Las Vegas (2011),,
