season_id,episode,challenge,format,role,winner
s21_rivals,1,High Dive,pair,prize,Adam Royer
s21_rivals,1,High Dive,pair,prize,Leroy Garrett
s21_rivals,1,High Dive,pair,safety,Jasmine Reynaud
s21_rivals,1,High Dive,pair,safety,Jonna Mannion
s21_rivals,2,Car Crusher,pair,prize,Evelyn Smith
s21_rivals,2,Car Crusher,pair,prize,Paula Meronek
s21_rivals,2,Car Crusher,pair,safety,Adam King
s21_rivals,2,Car Crusher,pair,safety,CT Tamburello
s21_rivals,3,Sync or Swim,pair,prize,Adam King
s21_rivals,3,Sync or Swim,pair,prize,CT Tamburello
s21_rivals,3,Sync or Swim,pair,safety,Evelyn Smith
s21_rivals,3,Sync or Swim,pair,safety,Paula Meronek
s21_rivals,4,Hammock Crawl,pair,prize,Johnny Bananas
s21_rivals,4,Hammock Crawl,pair,prize,Tyler Duckworth
s21_rivals,4,Hammock Crawl,pair,safety,Kenny Santucci
s21_rivals,4,Hammock Crawl,pair,safety,Wes Bergmann
s21_rivals,5,Against the Current,pair,prize,Johnny Bananas
s21_rivals,5,Against the Current,pair,prize,Tyler Duckworth
s21_rivals,5,Against the Current,pair,safety,Jenn Grijalva
s21_rivals,5,Against the Current,pair,safety,Mandi Moyer
s21_rivals,6,Catch & Release,pair,prize,Cara Maria Sorbello
s21_rivals,6,Catch & Release,pair,prize,Laurel Stucky
s21_rivals,6,Catch & Release,pair,safety,Kenny Santucci
s21_rivals,6,Catch & Release,pair,safety,Wes Bergmann
s21_rivals,7,Sawed Off,pair,prize,Johnny Bananas
s21_rivals,7,Sawed Off,pair,prize,Tyler Duckworth
s21_rivals,7,Sawed Off,pair,safety,Evelyn Smith
s21_rivals,7,Sawed Off,pair,safety,Paula Meronek
s21_rivals,8/9,Bombs Away,pair,prize,Evelyn Smith
s21_rivals,8/9,Bombs Away,pair,prize,Paula Meronek
s21_rivals,8/9,Bombs Away,pair,safety,Leroy Garrett
s21_rivals,8/9,Bombs Away,pair,safety,Michael Ross
