season_id,episode,gender,game,winner,loser
s21_rivals,1,F,Hands On,Evelyn Smith,Aneesa Ferreira
s21_rivals,1,F,Hands On,Evelyn Smith,Robin Hibbard
s21_rivals,1,F,Hands On,Paula Meronek,Aneesa Ferreira
s21_rivals,1,F,Hands On,Paula Meronek,Robin Hibbard
s21_rivals,2,M,Blast Off,Kenny Santucci,Davis Mallory
s21_rivals,2,M,Blast Off,Kenny Santucci,Tyri Ballard-Brown
s21_rivals,2,M,Blast Off,Wes Bergmann,Davis Mallory
s21_rivals,2,M,Blast Off,Wes Bergmann,Tyri Ballard-Brown
s21_rivals,3,F,Door Jam,Cara Maria Sorbello,Camila Nakagawa
s21_rivals,3,F,Door Jam,Cara Maria Sorbello,Theresa Jones
s21_rivals,3,F,Door Jam,Laurel Stucky,Camila Nakagawa
s21_rivals,3,F,Door Jam,Laurel Stucky,Theresa Jones
s21_rivals,4,M,Going Up,Kenny Santucci,Brandon Nelson
s21_rivals,4,M,Going Up,Kenny Santucci,Ty Ruff
s21_rivals,4,M,Going Up,Wes Bergmann,Brandon Nelson
s21_rivals,4,M,Going Up,Wes Bergmann,Ty Ruff
s21_rivals,5,F,Unburied,Jasmine Reynaud,Katelynn Cusanelli
s21_rivals,5,F,Unburied,Jasmine Reynaud,Sarah Rice
s21_rivals,5,F,Unburied,Jonna Mannion,Katelynn Cusanelli
s21_rivals,5,F,Unburied,Jonna Mannion,Sarah Rice
s21_rivals,6,M,Rail Slide,Adam King,Evan Starkman
s21_rivals,6,M,Rail Slide,Adam King,Nehemiah Clark
s21_rivals,6,M,Rail Slide,CT Tamburello,Evan Starkman
s21_rivals,6,M,Rail Slide,CT Tamburello,Nehemiah Clark
s21_rivals,7,F,Blast Off,Cara Maria Sorbello,Jasmine Reynaud
s21_rivals,7,F,Blast Off,Cara Maria Sorbello,Jonna Mannion
s21_rivals,7,F,Blast Off,Laurel Stucky,Jasmine Reynaud
s21_rivals,7,F,Blast Off,Laurel Stucky,Jonna Mannion
s21_rivals,8/9,M,T-Bone,Johnny Bananas,Adam King
s21_rivals,8/9,M,T-Bone,Johnny Bananas,CT Tamburello
s21_rivals,8/9,M,T-Bone,Tyler Duckworth,Adam King
s21_rivals,8/9,M,T-Bone,Tyler Duckworth,CT Tamburello
