player,gender,finish,origin,team,pair_id
Camila Nakagawa,,Winners in I Will Always Love You,w:c:mtvrealworld:The Real World: Key West,,row_002
Johnny Bananas,,Winners in I Will Always Love You,,,row_002
CT Tamburello,,Runners-Up in I Will Always Love You,w:c:mtvrealworld:The Real World: Paris,,row_003
Diem Brown,,Runners-Up in I Will Always Love You,Real World/Road Rules Challenge: Fresh Meat,,row_003
Emily Schromm,,Third Place in I Will Always Love You,w:c:mtvrealworld:The Real World: D.C.,,row_004
Ty Ruff,,Third Place in I Will Always Love You,w:c:mtvrealworld:The Real World: D.C.,,row_004
Mark Long,,Eliminated in Will You Still Love Me Tomorrow?,w:c:roadrules:Road Rules: USA – The First Adventure,,row_005
Robin Hibbard,,Eliminated in Will You Still Love Me Tomorrow?,w:c:mtvrealworld:The Real World: San Diego (2004),,row_005
Dunbar Merrill,,Eliminated in On the Wings of Love,w:c:mtvrealworld:The Real World: Sydney,,row_006
Paula Meronek,,Eliminated in On the Wings of Love,w:c:mtvrealworld:The Real World: Key West,,row_006
Aneesa Ferreira,,Eliminated in Tainted Love,w:c:mtvrealworld:The Real World: Chicago,,row_007
Rachel Robinson,,Eliminated in Tainted Love,w:c:roadrules:Road Rules: Campus Crawl,,row_007
Abram Boise,,Eliminated in Crazy in Love,w:c:roadrules:Road Rules: South Pacific,,row_008
Cara Maria Sorbello,,Eliminated in Crazy in Love,,,row_008
Jasmine Reynaud,,Eliminated in Love the Way You Lie,w:c:mtvrealworld:The Real World: Cancun,,row_009
Tyri Ballard-Brown,,Eliminated in Love the Way You Lie,w:c:mtvrealworld:The Real World: Denver,,row_009
Leroy Garrett,,Eliminated in Where Did Our Love Go?,w:c:mtvrealworld:The Real World: Las Vegas (2011),,row_010
Naomi Defensor,,Eliminated in Where Did Our Love Go?,w:c:mtvrealworld:The Real World: Las Vegas (2011),,row_010
Dustin Zito,,Medically Disqualified in Where Did Our Love Go?,w:c:mtvrealworld:The Real World: Las Vegas (2011),,row_011
Heather Marter,,Medically Disqualified in Where Did Our Love Go?,w:c:mtvrealworld:The Real World: Las Vegas (2011),,row_011
Mandi Moyer,,Eliminated in What's Love Got to Do with It?,w:c:mtvrealworld:The Real World: Austin,,row_012
Wes Bergmann,,Eliminated in What's Love Got to Do with It?,,,row_012
Sarah Rice,,Disqualified in What's Love Got to Do with It?,w:c:mtvrealworld:The Real World: Brooklyn,,row_013
Vinny Foti,,Disqualified in What's Love Got to Do with It?,,,row_013
Nate Stodghill,,Eliminated in Love Is a Battlefield,w:c:mtvrealworld:The Real World: San Diego,,row_014
Priscilla Mendez,,Eliminated in Love Is a Battlefield,w:c:mtvrealworld:The Real World: San Diego,,row_014
