season_id,episode,challenge,format,role,winner
s22_battle_of_the_exes,1,Give Me Some Honey,pair,prize,Camila Nakagawa
s22_battle_of_the_exes,1,Give Me Some Honey,pair,prize,Johnny Bananas
s22_battle_of_the_exes,2,Hook Up,pair,prize,Sarah Rice
s22_battle_of_the_exes,2,Hook Up,pair,prize,Vinny Foti
s22_battle_of_the_exes,3,Mental Connection,pair,prize,Dunbar Merrill
s22_battle_of_the_exes,3,Mental Connection,pair,prize,Paula Meronek
s22_battle_of_the_exes,4,Rolling in the Deep,pair,prize,Camila Nakagawa
s22_battle_of_the_exes,4,Rolling in the Deep,pair,prize,Johnny Bananas
s22_battle_of_the_exes,5,Don't Rock the Boat,pair,prize,Mark Long
s22_battle_of_the_exes,5,Don't Rock the Boat,pair,prize,Robin Hibbard
s22_battle_of_the_exes,6,Lube Me Up,pair,prize,Camila Nakagawa
s22_battle_of_the_exes,6,Lube Me Up,pair,prize,Johnny Bananas
s22_battle_of_the_exes,7/8,Race to the Altar,pair,prize,CT Tamburello
s22_battle_of_the_exes,7/8,Race to the Altar,pair,prize,Diem Brown
s22_battle_of_the_exes,8/9,Feel the Burn,pair,prize,CT Tamburello
s22_battle_of_the_exes,8/9,Feel the Burn,pair,prize,Diem Brown
