season_id,episode,gender,game,winner,loser
s22_battle_of_the_exes,1,,X Knocks the Spot,Mandi Moyer,Nate Stodghill
s22_battle_of_the_exes,1,,X Knocks the Spot,Mandi Moyer,Priscilla Mendez
s22_battle_of_the_exes,1,,X Knocks the Spot,Wes Bergmann,Nate Stodghill
s22_battle_of_the_exes,1,,X Knocks the Spot,Wes Bergmann,Priscilla Mendez
s22_battle_of_the_exes,2,,X Battle,Leroy Garrett,Mandi Moyer
s22_battle_of_the_exes,2,,X Battle,Leroy Garrett,Wes Bergmann
s22_battle_of_the_exes,2,,X Battle,Naomi Defensor,Mandi Moyer
s22_battle_of_the_exes,2,,X Battle,Naomi Defensor,Wes Bergmann
s22_battle_of_the_exes,3,,Banded Together,Emily Schromm,Leroy Garrett
s22_battle_of_the_exes,3,,Banded Together,Emily Schromm,Naomi Defensor
s22_battle_of_the_exes,3,,Banded Together,Ty Ruff,Leroy Garrett
s22_battle_of_the_exes,3,,Banded Together,Ty Ruff,Naomi Defensor
s22_battle_of_the_exes,4,,X Knocks the Spot,Aneesa Ferreira,Jasmine Reynaud
s22_battle_of_the_exes,4,,X Knocks the Spot,Aneesa Ferreira,Tyri Ballard-Brown
s22_battle_of_the_exes,4,,X Knocks the Spot,Rachel Robinson,Jasmine Reynaud
s22_battle_of_the_exes,4,,X Knocks the Spot,Rachel Robinson,Tyri Ballard-Brown
s22_battle_of_the_exes,5,,X Battle,Emily Schromm,Abram Boise
s22_battle_of_the_exes,5,,X Battle,Emily Schromm,Cara Maria Sorbello
s22_battle_of_the_exes,5,,X Battle,Ty Ruff,Abram Boise
s22_battle_of_the_exes,5,,X Battle,Ty Ruff,Cara Maria Sorbello
s22_battle_of_the_exes,6,,Banded Together,Dunbar Merrill,Aneesa Ferreira
s22_battle_of_the_exes,6,,Banded Together,Dunbar Merrill,Rachel Robinson
s22_battle_of_the_exes,6,,Banded Together,Paula Meronek,Aneesa Ferreira
s22_battle_of_the_exes,6,,Banded Together,Paula Meronek,Rachel Robinson
s22_battle_of_the_exes,7/8,,Hall Pass,Emily Schromm,Dunbar Merrill
s22_battle_of_the_exes,7/8,,Hall Pass,Emily Schromm,Paula Meronek
s22_battle_of_the_exes,7/8,,Hall Pass,Ty Ruff,Dunbar Merrill
s22_battle_of_the_exes,7/8,,Hall Pass,Ty Ruff,Paula Meronek
s22_battle_of_the_exes,8/9,,X Battle,Camila Nakagawa,Mark Long
s22_battle_of_the_exes,8/9,,X Battle,Camila Nakagawa,Robin Hibbard
s22_battle_of_the_exes,8/9,,X Battle,Johnny Bananas,Mark Long
s22_battle_of_the_exes,8/9,,X Battle,Johnny Bananas,Robin Hibbard
