episode,gender,game,winner,loser
1,,Hall Brawl,Cara Maria Sorbello,Lacey Buehler
1,,Hall Brawl,Cara Maria Sorbello,Wes Bergmann
1,,Hall Brawl,Big Easy Banks,Lacey Buehler
1,,Hall Brawl,Big Easy Banks,Wes Bergmann
2,,Balls Out,Camila Nakagawa,Danny Jamieson
2,,Balls Out,Camila Nakagawa,Melinda Collins
2,,Balls Out,Big Easy Banks,Danny Jamieson
2,,Balls Out,Big Easy Banks,Melinda Collins
3,,Knot So Fast,Chet Cannon,Brandon Nelson
3,,Knot So Fast,Chet Cannon,Cara Maria Sorbello
3,,Knot So Fast,Sarah Rice,Brandon Nelson
3,,Knot So Fast,Sarah Rice,Cara Maria Sorbello
4/5,,Water Torture,Devyn Simone,Camila Nakagawa
4/5,,Water Torture,Devyn Simone,Big Easy Banks
4/5,,Water Torture,JD Ordoñez,Camila Nakagawa
4/5,,Water Torture,JD Ordoñez,Big Easy Banks
5,,Balls Out,Chet Cannon,McKenzie Coburn
5,,Balls Out,Chet Cannon,Preston Roberson-Charles
5,,Balls Out,Sarah Rice,McKenzie Coburn
5,,Balls Out,Sarah Rice,Preston Roberson-Charles
6,,Knot So Fast,Dustin Zito,Laura Waller
6,,Knot So Fast,Dustin Zito,Trey Weatherholtz
6,,Knot So Fast,Nany González,Laura Waller
6,,Knot So Fast,Nany González,Trey Weatherholtz
7,,Water Torture,Sam McGinn,Jemmye Carroll
7,,Water Torture,Sam McGinn,Ryan Knight
7,,Water Torture,Zach Nichols,Jemmye Carroll
7,,Water Torture,Zach Nichols,Ryan Knight
8,,Hall Brawl,Sam McGinn,CJ Koegel
8,,Hall Brawl,Sam McGinn,Jasmine Reynaud
8,,Hall Brawl,Zach Nichols,CJ Koegel
8,,Hall Brawl,Zach Nichols,Jasmine Reynaud
9,,Balls Out,Marie Roda,Alton Williams
9,,Balls Out,Marie Roda,Nany González
9,,Balls Out,Robb Schreiber,Alton Williams
9,,Balls Out,Robb Schreiber,Nany González
10,,Water Torture,Dustin Zito,Marie Roda
10,,Water Torture,Dustin Zito,Robb Schreiber
10,,Water Torture,Trishelle Cannatella,Marie Roda
10,,Water Torture,Trishelle Cannatella,Robb Schreiber
11,,Knot So Fast,Ashley Kelsey,Derek Chavez
11,,Knot So Fast,Ashley Kelsey,Jonna Mannion
11,,Knot So Fast,Frank Fox,Derek Chavez
11,,Knot So Fast,Frank Fox,Jonna Mannion
