player,gender,finish,origin,team,pair_id
CT Tamburello,,Winners in The Island of Misfit Challengers,w:c:mtvrealworld:The Real World: Paris,,row_002
Wes Bergmann,,Winners in The Island of Misfit Challengers,w:c:mtvrealworld:The Real World: Austin,,row_002
Emily Schromm,,Winners in The Island of Misfit Challengers,w:c:mtvrealworld:The Real World: D.C.,,row_003
Paula Meronek,,Winners in The Island of Misfit Challengers,w:c:mtvrealworld:The Real World: Key West,,row_003
Frank Fox,,Runners-Up in The Island of Misfit Challengers,w:c:mtvrealworld:The Real World: San Diego (2011),,row_004
Johnny Bananas,,Runners-Up in The Island of Misfit Challengers,w:c:mtvrealworld:The Real World: Key West,,row_004
Cara Maria Sorbello,,Runners-Up in The Island of Misfit Challengers,w:c:mtvrealworld:The Real World: Las Vegas,,row_005
Heather Cooke,,Runners-Up in The Island of Misfit Challengers,,,row_005
Jordan Wiseley,,Third Place in The Island of Misfit Challengers,w:c:mtvrealworld:The Real World: Portland,,row_006
Marlon Williams,,Third Place in The Island of Misfit Challengers,w:c:mtvrealworld:The Real World: Portland,,row_006
Camila Nakagawa,,Third Place in Final Destination,w:c:mtvrealworld:The Real World: New Orleans (2010),,row_007
Jemmye Carroll,,Third Place in Final Destination,,,row_007
Aneesa Ferreira,,Eliminated in Final Destination,w:c:mtvrealworld:The Real World: Chicago,,row_008
Diem Brown,,Eliminated in Final Destination,Real World/Road Rules Challenge: Fresh Meat,,row_008
Preston Roberson-Charles,,Eliminated in Diemnesia,w:c:mtvrealworld:The Real World: New Orleans (2010),,row_009
Ryan Knight,,Eliminated in Diemnesia,w:c:mtvrealworld:The Real World: New Orleans (2010),,row_009
Jonna Mannion,,Eliminated in Thrilla in Camila,w:c:mtvrealworld:The Real World: Cancun,,row_010
Nany González,,Eliminated in Thrilla in Camila,w:c:mtvrealworld:The Real World: Las Vegas,,row_010
Leroy Garrett,,Eliminated in Crossing Jordan,w:c:mtvrealworld:The Real World: Las Vegas,,row_011
Ty Ruff,,Eliminated in Crossing Jordan,w:c:mtvrealworld:The Real World: D.C.,,row_011
Jasmine Reynaud,,Eliminated in Revenge Is a Dish Best Not Served,w:c:mtvrealworld:The Real World: Cancun,,row_012
Theresa Jones,,Eliminated in Revenge Is a Dish Best Not Served,,,row_012
Trey Weatherholtz,,Disqualified in What the Phuket?!,w:c:mtvrealworld:The Real World: St. Thomas,,row_013
Zach Nichols,,Disqualified in What the Phuket?!,w:c:mtvrealworld:The Real World: San Diego (2011),,row_013
Derek Chavez,,Eliminated in The Dark Knight Rises,w:c:mtvrealworld:The Real World: Cancun,,row_014
Robb Schreiber,,Eliminated in The Dark Knight Rises,w:c:mtvrealworld:The Real World: St. Thomas,,row_014
Sarah Rice,,Quit in The Dark Knight Rises,w:c:mtvrealworld:The Real World: Brooklyn,,row_015
Trishelle Cannatella,,Quit in The Dark Knight Rises,,,row_015
Anastasia Miller,,Eliminated in New Girl,w:c:mtvrealworld:The Real World: Portland,,row_016
Jessica McCain,,Eliminated in New Girl,w:c:mtvrealworld:The Real World: Portland,,row_016
Dunbar Merrill,,Eliminated in Rumble in the Jungle,w:c:mtvrealworld:The Real World: Sydney,,row_017
Tyri Ballard-Brown,,Eliminated in Rumble in the Jungle,w:c:mtvrealworld:The Real World: Denver,,row_017
Naomi Defensor,,Quit in Rumble in the Jungle,w:c:mtvrealworld:The Real World: Las Vegas,,
