episode,challenge,format,role,winner
1,Game of Inches,pair,prize,Emily Schromm
1,Game of Inches,pair,prize,Paula Meronek
1,Game of Inches,pair,safety,Trey Weatherholtz
1,Game of Inches,pair,safety,Zach Nichols
2,XXX Games,pair,prize,Trey Weatherholtz
2,XXX Games,pair,prize,Zach Nichols
2,XXX Games,pair,safety,Emily Schromm
2,XXX Games,pair,safety,Paula Meronek
3,Mind Over Splatter,pair,prize,Emily Schromm
3,Mind Over Splatter,pair,prize,Paula Meronek
3,Mind Over Splatter,pair,safety,Frank Fox
3,Mind Over Splatter,pair,safety,Johnny Bananas
4,Stumped,pair,prize,Jordan Wiseley
4,Stumped,pair,prize,Marlon Williams
4,Stumped,pair,safety,Emily Schromm
4,Stumped,pair,safety,Paula Meronek
5,Frog Smash,pair,prize,Jasmine Reynaud
5,Frog Smash,pair,prize,Theresa Jones
5,Frog Smash,pair,safety,CT Tamburello
5,Frog Smash,pair,safety,Wes Bergmann
6,Frenemies,pair,prize,Leroy Garrett
6,Frenemies,pair,prize,Ty Ruff
6,Frenemies,pair,safety,Emily Schromm
6,Frenemies,pair,safety,Paula Meronek
7,Blind Leading the Blind,pair,prize,Aneesa Ferreira
7,Blind Leading the Blind,pair,prize,Diem Brown
7,Blind Leading the Blind,pair,safety,Frank Fox
7,Blind Leading the Blind,pair,safety,Johnny Bananas
8,Swingers,pair,prize,CT Tamburello
8,Swingers,pair,prize,Wes Bergmann
8,Swingers,pair,safety,Camila Nakagawa
8,Swingers,pair,safety,Jemmye Carroll
9,Rampage,pair,prize,Emily Schromm
9,Rampage,pair,prize,Paula Meronek
9,Rampage,pair,safety,CT Tamburello
9,Rampage,pair,safety,Wes Bergmann
10/11,Color Correction,pair,prize,Cara Maria Sorbello
10/11,Color Correction,pair,prize,Heather Cooke
10/11,Color Correction,pair,safety,Aneesa Ferreira
10/11,Color Correction,pair,safety,Diem Brown
